,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,502,2,300000.0,1.17662360156545,,6975.0,2.325,502.0,0.0437349783240392,0.0095039541264572,0.0061274532624889,,11.478226793222662,26.68687729424269,,,
1,1,0.02,522,2,300000.0,1.184814908884,,6974.0,2.3246666666666664,522.0,0.0447250212999961,0.0116644148827769,0.0061884282769498,,11.671319204045751,27.13192670967169,,,
2,2,0.02,542,2,300000.0,1.19557065892945,,6649.0,2.216333333333333,542.0,0.0477903638259249,0.0099589563094352,0.0063208243089711,,11.34119844691327,25.135876157842112,,,
3,3,0.02,562,2,300000.0,1.20653239223348,,6168.0,2.056,562.0,0.0433493025218467,0.0111547295509625,0.0060629771865299,,12.964453112406334,26.654915599107422,,,
4,4,0.02,582,2,300000.0,1.21559007975785,,4489.0,1.4963333333333333,582.0,0.0454468825391813,0.010009777112609,0.0063200920253128,,12.806158915261944,19.162282456870287,,,
5,5,0.02,602,2,300000.0,1.22050059246538,,5327.0,1.7756666666666667,602.0,0.0509895057513176,0.0087468192727579,0.0066167591276515,,11.806350956528798,20.964143848476304,,,
6,6,0.02,622,2,300000.0,1.22741865002142,,5802.0,1.934,622.0,0.047498511408321,0.0097752727574545,0.0063352913731965,,13.095147227941007,25.32601473883791,,,
7,7,0.02,642,2,300000.0,1.23521015912391,,5938.0,1.9793333333333327,642.0,0.0498582153314828,0.0100309105246142,0.0064960952537414,,12.876513844943242,25.486913070424325,,,
8,8,0.02,662,2,300000.0,1.24314995045508,,6034.0,2.0113333333333334,662.0,0.046309549260286,0.0118088105159166,0.0064412650905241,,14.295107824936547,28.752226871889043,,,
9,9,0.02,682,2,300000.0,1.2512710931248,,6170.0,2.056666666666666,682.0,0.054317136816735,0.0098346018003663,0.0065249939281156,,12.555890092312032,25.823280623188413,,,
