,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,500000.0,,891.5,0.1783,500.0,0.0416573272302116,0.0085993606779494,0.0086855024779841,2473520816711.591,12.002854794381356,2.139997944733598,29687770409526.496,5.367321011244709e-05,3.0013211486240147e-05
1,1,0.03,500.2,2.25,1,500000.0,,861.0,0.1722,500.2,0.0375188193920621,0.0101171252035273,0.0094140632203588,2388621664570.2305,13.345402191299751,2.298078257341817,31877116796541.617,5.184976151611158e-05,2.8996306489299365e-05
2,2,0.03,500.4,2.25,1,500000.0,,839.5,0.1679,500.4,0.0413860709020639,0.0101951577673187,0.0098284896907198,2328707301457.377,12.311964596439402,2.071961839222252,28737299960321.1,5.056753147130632e-05,2.8281909348954077e-05
3,3,0.03,500.6,2.25,1,500000.0,,913.0,0.1825999999999999,500.6,0.0427256275297622,0.0103050548715085,0.0086316800622487,2532298914354.1626,11.721794841512583,2.139808721183254,29674892122551.6,5.500843974337889e-05,3.076857528658131e-05
4,4,0.03,500.8,2.25,1,500000.0,,895.5,0.1790999999999999,500.8,0.0383249562750619,0.010795526379371,0.0093808379078921,2483474828708.3247,13.085083004064323,2.341845452019073,32472999624871.227,5.396742382463184e-05,3.018914886218181e-05
5,5,0.03,501.0,2.25,1,500000.0,,903.0,0.1805999999999999,500.9999999999999,0.0397319570463707,0.0108238830099665,0.0093122490315695,2503986009582.7515,12.679071920213776,2.287022714364988,31709152161505.54,5.4432896715413806e-05,3.0452418069071813e-05
6,6,0.03,501.19999999999993,2.25,1,500000.0,,883.0,0.1766,501.1999999999999,0.0408897787784212,0.009960216911098,0.0089151328867741,2448244687961.669,12.257997934084566,2.164762435159335,30010578327167.65,5.324473115190291e-05,2.9788153033431183e-05
7,7,0.03,501.3999999999999,2.25,1,500000.0,,865.5,0.1730999999999999,501.3999999999999,0.035905584316282,0.0119966550649171,0.0091766417061663,2399446954881.214,14.174219745604288,2.465111797543296,34170450583807.15,5.220658977863284e-05,2.920780160100043e-05
8,8,0.03,501.5999999999999,2.25,1,500000.0,,896.0,0.1792,501.5999999999999,0.0389956345622692,0.0096952951775397,0.0090856766085947,2483716650828.509,12.91541952696348,2.315759951852697,32096493034254.29,5.406406049488842e-05,3.024745350261274e-05
9,9,0.03,501.7999999999999,2.25,1,500000.0,,868.0,0.1735999999999999,501.7999999999999,0.0410661417863309,0.0104765495449918,0.0091004948121611,2405823244559.793,12.277122755784657,2.1367002947875493,29611308962313.64,5.23917437259729e-05,2.931228193653978e-05
