,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,502,2,100000.0,1.17662360156545,,3476.0,3.476,502.0,0.0431259090648268,0.0124817236921315,0.0094876535795064,48166346999401.08,11.640334334643104,40.46180214721943,560672382751462.3,0.0010493864612401,0.0005871226807614
1,1,0.03,522,2,100000.0,1.184814908884,,3490.0,3.49,522.0,0.0418010432192659,0.0103147880008209,0.0097396696490882,47797321653189.58,12.487726616339865,43.58216589102613,596879885798293.1,0.0010837539420711,0.000609575276348
2,2,0.03,542,2,100000.0,1.19557065892945,,3361.0,3.361,542.0,0.0546131541625527,0.0106311389371925,0.0098307116665015,45460288086253.37,9.924348965210283,33.355736872071766,451163763026970.0,0.0010710071068477,0.0006063709911375
3,3,0.03,562,2,100000.0,1.20653239223348,,3191.0,3.1910000000000003,562.0,0.0419917676185832,0.0107107788635807,0.0097072718408854,42587526203833.1,13.383575683327264,42.70699000549731,569973380114683.4,0.0010367073846119,0.0005927932834364
4,4,0.03,582,2,100000.0,1.21559007975785,,2245.0,2.245,582.0,0.0406094857771677,0.0100471548374604,0.0095794659836213,29536235605909.367,14.33162693055384,32.174502459093375,423302309636833.94,0.0007452482412114,0.0004265267546925
5,5,0.03,602,2,100000.0,1.22050059246538,,2714.0,2.714,602.0,0.0473461424469405,0.0094497045710805,0.0092670495206026,35187814609702.54,12.714869023905033,34.50815453087826,447408453999819.8,0.0009191717008823,0.0005243826178749
6,6,0.03,622,2,100000.0,1.22741865002142,,2897.0,2.897,622.0,0.0521838605495759,0.0099084986916972,0.0098414906439703,36982075991215.805,11.919394108626465,34.53048473269086,440803938694473.8,0.0009988358029463,0.0005678448349168
7,7,0.03,642,2,100000.0,1.23521015912391,,3136.0,3.136,642.0,0.0551442942517041,0.0103227064860741,0.0092219365913493,39402598686233.41,11.642183633171792,36.509887873626745,458732289529302.9,0.0010989567251966,0.0006234041934652
8,8,0.03,662,2,100000.0,1.24314995045508,,3018.0,3.018,662.0,0.0593643859682515,0.0106984600151391,0.0092901294932516,37257175351901.766,11.151467149917828,33.655127858452005,415472167035460.7,0.0010723605745594,0.0006094766798097
9,9,0.03,682,2,100000.0,1.2512710931248,,3060.0,3.06,682.0,0.0484391603773701,0.0088059558392807,0.0091599310882809,37103640970350.41,14.079517371622671,43.08332315716538,522401357592499.3,0.0011006109652239,0.0006263114277005
