,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,910.125,0.182025,500.0,0.0371600836024654,0.0071004925568576,0.0097591436340601,2525197008760.108,13.681927025059906,2.489369712111297,34534536194047.29,5.479453769331565e-05,3.0640240161429404e-05
1,1,0.03,500.0,2.25,1,500000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,874.875,0.174975,500.0,0.0415435989465109,0.0089324452774624,0.0092079831313848,2427393745956.873,12.13491806145779,2.126549788435103,29501206783330.65,5.26722935469738e-05,2.945351474932625e-05
2,2,0.03,500.0,2.25,1,500000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,908.0,0.1815999999999999,500.0,0.0410805725710261,0.0070490068354345,0.0095593017916683,2519301067385.445,12.332958328597469,2.236857682919564,31031486498725.71,5.466660098945817e-05,3.056869997701184e-05
3,3,0.03,500.0,2.25,1,500000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,920.625,0.1841249999999999,500.0,0.040455954469742,0.0085158892939903,0.0095333613594496,2554329895552.561,12.669871318363848,2.332105466837838,32352840263546.234,5.542669552414089e-05,3.099373283737503e-05
4,4,0.03,500.0,2.25,1,500000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,891.375,0.178275,500.0,0.0399935777240045,0.0107830719904443,0.0094993611496085,2473173996630.728,12.698910362093024,2.2692926238955637,31481450052808.42,5.366568442398489e-05,3.0009003240097935e-05
5,5,0.03,500.0,2.25,1,500000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,868.375,0.173675,500.0,0.0408586797980916,0.0227372179431042,0.0095217464434524,2409359101752.022,12.35049655721389,2.1432549941916115,29732954815782.555,5.228095774693914e-05,2.9234685949931345e-05
6,6,0.03,500.0,2.25,1,500000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,892.0,0.1784,500.0,0.0421672160892825,0.0072768758084666,0.0096466291399235,2474908097035.04,11.957239340614118,2.133697347537758,29600363464368.758,5.370331286629592e-05,3.0030044470808992e-05
7,7,0.03,500.0,2.25,1,500000.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,904.75,0.18095,500.0,0.0414288987767079,0.0069422195404292,0.0097066463334304,2510283745283.019,12.209089923454384,2.208069241320714,30632110112996.934,5.447093308944084e-05,3.0459285577314384e-05
8,8,0.03,500.0,2.25,1,500000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,901.25,0.18025,500.0,0.039172897345935,0.0070461450212886,0.0095711489111865,2500572783018.868,12.88565541397612,2.3220660061732947,32213564801166.504,5.426021381249909e-05,3.0341454685332516e-05
9,9,0.03,500.0,2.25,1,500000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,918.75,0.18375,500.0,0.0391364528131461,0.0066548237827892,0.0095853420368507,2549127594339.623,12.829668816557437,2.3578647908717114,32710194297321.92,5.531381019720782e-05,3.093060914524188e-05
