,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12066.55,6.033274999999999,500.0,0.0421673159170552,0.0071593835208464,0.0096440527783208,83698436934636.14,11.899414563226442,71.78392757817933,995844302691776.6,0.0018161819222723,0.0010155802497455
1,1,0.03,500.0,2.25,1,200000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,12042.15,6.021075000000001,500.0,0.0438511338664539,0.0091219255097791,0.0097202667690493,83529188735175.22,11.427683669014051,68.80641591997053,954537869329012.2,0.0018125093863028,0.0010135266256281
2,2,0.03,500.0,2.25,1,200000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12109.4,6.054699999999999,500.0,0.0428863626741957,0.0074143390806199,0.0096401661100385,83995661743935.31,11.68110001851876,70.72559797044622,981162304286448.4,0.0018226314372844,0.0010191867166894
3,3,0.03,500.0,2.25,1,200000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12092.7,6.04635,500.0,0.0421184429572746,0.0089302232290513,0.0096515964213106,83879823836927.22,11.894035522848291,71.91686527777497,997688521240714.4,0.0018201178573381,0.0010177811624779
4,4,0.03,500.0,2.25,1,200000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12035.85,6.017925,500.0,0.0419437452362273,0.010545398260885,0.0096353964082479,83485489404986.52,11.942782001263147,71.87332099449232,997084439966746.6,0.0018115611495565,0.0010129963866142
5,5,0.03,500.0,2.25,1,200000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11827.2,5.913600000000001,500.0,0.0417104709478052,0.0228896923648487,0.0096453611342097,82038209207547.19,12.009136159485497,71.0282569169141,985361032297958.6,0.0017801564516037,0.0009954353754628
6,6,0.03,500.0,2.25,1,200000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12100.85,6.050425000000001,500.0,0.0431258956785313,0.0072562859701526,0.0096697231826138,83936355510107.81,11.62698258656287,70.34844458510486,975930129582381.8,0.0018213445445574,0.0010184671065991
7,7,0.03,500.0,2.25,1,200000.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12063.8,6.031900000000001,500.0,0.0429952892025709,0.0070212264993091,0.0096410362348673,83679361830188.7,11.663250691211234,70.36510072632254,976161196952140.4,0.0018157680094069,0.0010153487962077
8,8,0.03,500.0,2.25,1,200000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12068.8,6.034400000000001,500.0,0.0425470941500207,0.0073407663365374,0.0096435463956812,83714043838274.94,11.782747539345678,71.10953974788144,986488653018311.8,0.0018165205782531,0.0010157696208219
9,9,0.03,500.0,2.25,1,200000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12127.35,6.063674999999999,500.0,0.0424847906703404,0.0072671150215252,0.0096433766661285,84120170152964.97,11.798262556746629,71.53807379247999,992433621498312.8,0.0018253331594424,0.0010206974770545
10,10,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12087.35,6.043675,500.0,0.0437486736941763,0.007196917976968,0.0096385562690792,83842714088274.94,11.450627815435016,69.21082113993678,960148103372609.6,0.0018193126086726,0.0010173308801407
11,11,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12056.45,6.028225,500.0,0.0430716137466759,0.0073037683309408,0.0096597897464071,83628379278301.88,11.635193557424794,70.1375942251882,973005044027334.2,0.001814661733203,0.0010147301840248
