,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.2,0.3,,10839.0,5.4195,500.0,0.041801116480542,0.0107596700688526,0.0093200140708476,75183657129380.05,11.96140299823676,64.82482354894411,899302021805771.0,0.0016314187448368,0.0009122635987082
1,1,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.2,0.1,,10747.0,5.3735,500.0,0.0423118423071855,0.0108510339951385,0.0096331396272555,74545508180592.98,11.817022675826344,63.49877134855286,880905960551065.5,0.0016175714780663,0.0009045204258065
2,2,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.2,0.0,,10840.0,5.42,500.0,0.0463118857840072,0.0093289922353439,0.0086523254009554,75190593530997.3,10.796364508496511,58.5162956360511,811785055370846.6,0.001631569258606,0.000912347763631
3,3,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.05,0.3,,10952.0,5.476,500.0,0.0436727586483129,0.0106055936560046,0.0087513658861888,75967470512129.39,11.448784447677983,62.69354363548464,869735194928702.9,0.0016484268007614,0.0009217742349896
4,4,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.05,0.1,,10475.0,5.2375,500.0,0.0483305807926512,0.0113253089063418,0.0098368902626003,72658806940700.8,10.345416748561512,54.18412022059092,751685638254823.5,0.0015766317328319,0.0008816275667929
5,5,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.05,0.0,,10697.0,5.3485,500.0,0.0461246561013695,0.0108931199092988,0.0089473681541978,74198688099730.45,10.84018922333286,57.9787520609958,804327819124134.1,0.0016100457896041,0.0009003121796643
6,6,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.0,0.3,,10834.0,5.417000000000001,500.0,0.0447215497897559,0.0107898408332744,0.0096683008072564,75148975121293.81,11.180292327761222,60.56364353948255,840187509987720.1,0.0016306661759906,0.000911842774094
7,7,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.0,0.1,,10742.0,5.371,500.0,0.0432509352773422,0.0097958926560478,0.0102446836784798,74510826172506.75,11.560443648069125,62.09114283377927,861378207138338.2,0.0016168189092201,0.0009040996011923
8,8,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.3,0.0,0.0,,10848.0,5.424,500.0,0.0451858262023279,0.0103641253367371,0.0090383200379093,75246084743935.3,11.065416791565507,60.0188206774513,832629289625102.8,0.00163277336876,0.0009130210830138
9,9,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.2,0.3,,10712.0,5.356000000000001,500.0,0.0437442180293601,0.0110713902170776,0.0094965681574559,74302734123989.23,11.430082020540665,61.21951930201581,849286345387622.8,0.0016123034961428,0.000901574653507
10,10,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.2,0.1,,10776.0,5.388,500.0,0.0427263879402062,0.011096252769007,0.0094727583321755,74746663827493.25,11.702369989705868,63.052369504535214,874713115605490.1,0.0016219363773744,0.000906961208569
11,11,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.2,0.0,,10644.0,5.322,500.0,0.0429390713039765,0.0116423758535681,0.0104965734456385,73831058814016.17,11.64440647680462,61.97153126955418,859718859443272.6,0.0016020685598342,0.0008958514387536
12,12,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.05,0.3,,10891.0,5.4455,500.0,0.0396127015770844,0.0107258411616797,0.0095482434304589,75544350013477.1,12.62221409027163,68.73426682857415,953536959180522.2,0.0016392454608375,0.0009166401746961
13,13,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.2,0.1,0.05,0.1,,10717.0,5.3585,500.0,0.0472060097067128,0.0098810839401353,0.0096918239459684,74337416132075.47,10.591871736383988,56.7565446994136,787372376885145.2,0.001613056064989,0.0009019954781212
