,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500,2,500000.0,1.17577026432641,,18426.0,0.0005981484194706,500.0,0.0467376968704229,0.0109606997022234,0.0095591060373834,8297995328.344767,10.69800254356169,0.0063989933129247,88771975129.09534,1.8005914636387065e-07,1.0068623114825525e-07
1,1,0.03,502,2,500000.0,1.17662360156545,,18686.0,0.0005286890247236,502.0,0.0470792414838001,0.009983512082255,0.0093901948059841,7325954838.784453,10.662873576090576,0.005637344231695,78115730270.10764,1.596084881332836e-07,8.929957349968788e-08
2,2,0.03,504,2,500000.0,1.17747901516844,,18753.0,0.0004524057971745,504.0,0.0500886541784666,0.0110468965004933,0.0099159113589853,6261685506.001726,10.06215895129145,0.0045521790416563,63006074864.3872,1.3697518056885932e-07,7.667853238589884e-08
3,3,0.03,506,2,500000.0,1.17837189466193,,18655.0,0.0003748919588317,506.0,0.0454034879186906,0.0111266454532966,0.0095882297538842,5182839792.61035,11.144518256089787,0.0041779902792617,57760252687.13465,1.1382519295784749e-07,6.376126827469874e-08
4,4,0.03,508,2,500000.0,1.1791362468331,,18815.0,0.0003103603510238,508.0,0.0489477772980535,0.0106104567185675,0.0092954469632266,4285740621.50538,10.378407928651768,0.0032210463278046,44479164446.3764,9.450216355721717e-08,5.2970123110527893e-08
5,5,0.03,510,2,500000.0,1.18000708146274,,18736.0,0.0002415946943699,510.0,0.0479426816666546,0.0105782455187881,0.0098595530145044,3332302741.467994,10.637702820756443,0.0025700125617786,35448046272.52852,7.37841288016133e-08,4.137851370592129e-08
6,6,0.03,512,2,500000.0,1.18089388467086,,18672.0,0.0001878315790532,512.0,0.0428869915492668,0.0100195003573718,0.0095314172307955,2587751052.261373,11.938351968844318,0.0022423995016009,30893482869.64352,5.751441014353196e-08,3.2275124414132344e-08
7,7,0.03,514,2,500000.0,1.18169303123046,,18933.0,0.000151596058577,514.0,0.0472903333719614,0.0108367371806267,0.0096247489491073,2086113997.638853,10.869028897663728,0.0016477019414463,22674033324.15749,4.655662994178757e-08,2.6134063647861026e-08
8,8,0.03,516,2,500000.0,1.18256256858225,,18370.0,0.0001093826628216,516.0,0.0476109384450182,0.011062093581936,0.0094567467946605,1503468303.6264706,10.837845605498478,0.0011854724115798,16294357347.464394,3.3692754915720136e-08,1.89188710452808e-08
9,9,0.03,518,2,500000.0,1.18333929872482,,18730.0,8.282332116302582e-05,518.0,0.0489859077714527,0.0103453759896961,0.0097038235475169,1137086485.5317173,10.574469751928785,0.0008758127043926,12024086646.582151,2.558278635641483e-08,1.4372592243431672e-08
10,10,0.03,520,2,500000.0,1.18413280440169,,18882.0,5.797888099759863e-05,520.0,0.0466478797429772,0.0105012798397543,0.0093425874537029,795069638.5684812,11.147344806776244,0.0006463105779912,8862915406.521824,1.7956971746367096e-08,1.0094763607291984e-08
11,11,0.03,522,2,500000.0,1.184814908884,,18755.0,3.224396195003139e-05,522.0,0.0440641266328611,0.0101244555354856,0.0097980863477084,441597427.1343428,11.846371184189412,0.0003819739417089,5231327035.816463,1.00127566966585e-08,5.631840119268463e-09
12,12,0.03,524,2,500000.0,1.18564428721044,,18564.0,2.26394962321196e-05,524.0,0.0499491297816803,0.010176471987269,0.009737968503414,309652574.2059119,10.490673256777855,0.0002375035576692,3248463979.1143804,7.047946642644363e-09,3.966796456493474e-09
13,13,0.03,526,2,500000.0,1.18623535979449,,18531.0,1.3515363874701646e-05,526.0,0.0426090186484771,0.0106558359191447,0.0098131393686263,184614041.8000688,12.344804379079497,0.0001668445231452,2279024231.653054,4.218316265311123e-09,2.3756371563607387e-09
14,14,0.03,528,2,500000.0,1.18691311580508,,18501.0,6.093019411835177e-06,528.0,0.0469490449397653,0.0106633608208821,0.0097980825473179,83118529.22896197,11.24623516149078,6.852352914902663e-05,934770525.9861512,1.906428119898577e-09,1.0744152945692719e-09
15,15,0.03,530,2,500000.0,1.18740617352132,,18403.0,4.06595092494476e-06,530.0,0.05068204552731,0.0099284065782045,0.0095816285657855,55393010.30550755,10.45735219416922,4.2519080826355466e-05,579264217.8599377,1.2754150414762187e-09,7.192785829918175e-10
16,16,0.03,532,2,500000.0,1.18810554884438,,18798.0,2.1156123233025687e-06,532.0,0.05165612702217,0.0093415926877243,0.0098827962266793,28787676.23972364,10.298875093203824,2.17884270633359e-05,296480681.8165053,6.654554956996154e-10,3.754806872010832e-10
17,17,0.03,534,2,500000.0,1.18943277689967,,18510.0,2.117669645305777e-06,534.0,0.0505954954331855,0.0110424382397584,0.0095208877621401,28781848.90969539,10.55429925980624,2.2350519169964907e-05,303772246.64345306,6.677481230926857e-10,3.7709190559230655e-10
18,18,0.03,536,2,500000.0,1.19165789569026,,18416.0,4.310438109996317e-06,536.0,0.0518791787905001,0.0112404647885555,0.0094441434636064,58515544.08619104,10.331697850586432,4.453414415613479e-05,604564921.0611956,1.362915208150382e-09,7.701158615964173e-10
19,19,0.03,538,2,500000.0,1.1933953170949,,18330.0,6.483541577857102e-06,538.0,0.0477435431379262,0.0112193576711944,0.0097559624925886,87912552.34690881,11.268539463980968,7.306004413644418e-05,990646065.5004344,2.0557108603261398e-09,1.162253497260948e-09
20,20,0.03,540,2,500000.0,1.19462031821519,,18399.0,2.8207851942079985e-05,540.0,0.0500666264684923,0.0120820808975391,0.0094746792957661,382029373.8984347,10.78562783413877,0.0003042393930477,4120426648.577564,8.967087324975941e-09,5.073653611624875e-09
21,21,0.03,542,2,500000.0,1.19557065892945,,18025.0,5.593225272125431e-05,542.0,0.0497688316070252,0.0100348113924126,0.0096649294366189,756529700.0956113,10.890350094606044,0.0006091218137144,8238873291.008524,1.782321932950478e-08,1.0090953739703514e-08
22,22,0.03,544,2,500000.0,1.19668353378915,,17720.0,8.280478819855791e-05,544.0,0.0499046749341687,0.0111575371074698,0.0092432590103538,1118514877.741498,10.9007823559138,0.00090263697418,12192687244.1116,2.6327645222364256e-08,1.4984365797216575e-08
23,23,0.03,546,2,500000.0,1.19757869607337,,17953.0,0.00028672416877,546.0,0.0533209211207577,0.0113184542163204,0.009810047617361,3867875546.912912,10.239883117612605,0.0029360219751999,39606593513.86014,9.138368109212905e-08,5.20436473882736e-08
24,24,0.03,548,2,500000.0,1.19860065465315,,17849.0,0.0004906286848479,548.0,0.0508761597295688,0.0097133911640316,0.0094852632881518,6609707323.894634,10.771253233594727,0.0052846858081629,71194831385.61482,1.567583262701155e-07,8.93273464318515e-08
25,25,0.03,550,2,500000.0,1.19963845879841,,17869.0,0.000888272970436,550.0,0.0459791988599818,0.0094207690231405,0.0097228316726098,11950775062.733685,11.961930908689558,0.0106254599004126,142954345605.71042,2.8447405871948133e-07,1.622234583354874e-07
26,26,0.03,552,2,500000.0,1.20065872263705,,17565.0,0.0019103719817644,552.0,0.0511645284576616,0.0108656801492206,0.0096803094236452,25667712561.82792,10.7887244667324,0.0206104769402227,276921878520.8474,6.132794061806148e-07,3.498815934679848e-07
27,27,0.03,554,2,500000.0,1.20181115118366,,17522.0,0.0029403670871679,554.0,0.0491552050202699,0.0106715439543114,0.0094345816863625,39453870817.3416,11.270423951472674,0.0331391836453397,444661850638.0755,9.462630659173109e-07,5.400668497102623e-07
28,28,0.03,556,2,500000.0,1.20295231364558,,17198.0,0.005252906098634,556.0,0.0478000683669961,0.0103032468498694,0.0093589483705668,70389156703.87886,11.63178252656839,0.0611006613717965,818751363008.0625,1.6948123532153171e-06,9.675988209954943e-07
29,29,0.03,558,2,500000.0,1.20410472404016,,17026.0,0.009037357159033,558.0,0.0499931436299903,0.0105176584333579,0.0094502992821384,120938575652.32588,11.161530551666736,0.1008707380368718,1349859607018.494,2.9219705859789347e-06,1.6695285183281145e-06
30,30,0.03,560,2,500000.0,1.20514112000624,,17025.0,0.0128735872313187,560.0,0.048980768331944,0.01010985153661,0.0091489471874885,172043979337.6322,11.43305870999948,0.1471844786239671,1966988916469.0864,4.172696270854466e-06,2.38515012674986e-06
31,31,0.03,562,2,500000.0,1.20653239223348,,16375.0,0.0286211191860753,562.0,0.0538440496877683,0.0105654674860407,0.0091541911862568,381981404989.03625,10.43755072768363,0.2987343833877408,3986950291604.93,9.298566473225366e-06,5.316956194903996e-06
32,32,0.03,564,2,500000.0,1.20811897847302,,15621.0,0.0474563724622918,564.0,0.0459069681623987,0.010203568590751,0.0099234114955841,632506613687.8484,12.285716582389316,0.5830355421000221,7770796992255.712,1.5451891063819507e-05,8.839701257388561e-06
33,33,0.03,566,2,500000.0,1.2098506842126,,15086.0,0.0652939657754289,566.0,0.0505562686170151,0.010632468809963,0.0092813582412868,869075915330.4647,11.19544648929071,0.7309950999123939,9729692905213.562,2.1308839497569835e-05,1.2195201534839934e-05
34,34,0.03,568,2,500000.0,1.21147483348648,,14206.0,0.1884118702547602,568.0,0.0537868911901568,0.0105378286723272,0.0095114201856171,2504414851890.0967,10.56019389542159,1.989665882089284,26447106430532.96,6.162491324911586e-05,3.528608202951108e-05
35,35,0.03,570,2,500000.0,1.21322571296527,,13149.0,0.2953095669882492,570.0,0.0529564493717771,0.0098880056560344,0.0096218968697156,3920018134008.807,10.763561506896998,3.17858268785314,42193356293555.39,9.68047725111514e-05,5.545725332259288e-05
36,36,0.03,572,2,500000.0,1.22040172983306,,3650.0,0.1006990753831222,572.0,0.0472796888993798,0.0105548720426161,0.0089544332303687,1334743675627.441,12.098218353706278,1.2182794020013417,16148020433969.283,3.308323981216344e-05,1.89480906541064e-05
37,37,0.03,574,2,500000.0,1.22372713714585,,485.0,0.0086352434103087,574.0,0.0534696711714559,0.0117471400782713,0.0085249009574988,114285804313.34448,10.735057602269714,0.0926998354192846,1226864692425.4775,2.8424065650454443e-06,1.62802981236363e-06
38,38,0.03,576,2,500000.0,1.22027554950736,,6418.0,0.0514753341033379,576.0,0.0457876167868107,0.0097514716316182,0.0095866589661811,680238497957.5951,12.579820493429096,0.647550462859281,8557278197026.381,1.6980324801937265e-05,9.723866093811486e-06
39,39,0.03,578,2,500000.0,1.21702969464689,,8541.0,0.0209386728965579,578.0,0.0536995347927131,0.011082761760753,0.0093575936736706,276283228235.7302,10.76359417695426,0.2253753776625407,2973800546628.2305,6.922405557490572e-06,3.963193116560386e-06
40,40,0.03,580,2,500000.0,1.21534946177801,,10579.0,0.0190627761406077,580.0,0.0483946323518011,0.0107974259196283,0.0097271524817569,251150391459.94537,11.984800210563291,0.228463563503876,3009987264452.206,6.3135310481339e-06,3.615287271444031e-06
41,41,0.03,582,2,500000.0,1.21559007975785,,11010.0,0.0126872835485226,582.0,0.0521330684148324,0.0110293518801898,0.0094610981815456,166919641910.08582,11.16373959362834,0.1416375296862317,1863447415345.889,4.211659576965191e-06,2.410452506822349e-06
42,42,0.03,584,2,500000.0,1.21587072513883,,11489.0,0.0104601801649761,584.0,0.049035264601116,0.011476015561469,0.0097258573720789,137430917344.33817,11.90979603659991,0.1245786122709537,1636774194693.889,3.479783484818777e-06,1.990958350297652e-06
43,43,0.03,586,2,500000.0,1.21614745395122,,11939.0,0.0099826594822924,586.0,0.0539230041429164,0.0097225630383633,0.0096612522180482,130977654134.18127,10.8673470500063,0.1084850250761084,1423379623271.8403,3.3278657827553405e-06,1.903557383940671e-06
44,44,0.03,588,2,500000.0,1.21641984515278,,12493.0,0.0095174868789899,588.0,0.0513716545780198,0.0105715163724933,0.0097302032957675,124703342101.08156,11.446000811731396,0.1089371625425615,1427354554914.5977,3.1794975346603604e-06,1.8182029768897808e-06
45,45,0.03,590,2,500000.0,1.21696884226858,,12547.0,0.009258999116042,590.0,0.0469156878573358,0.0105762021327915,0.0094761419422688,121150130883.37018,12.57575081908869,0.1164388657175067,1523553857689.2446,3.099409593012189e-06,1.7720997477283092e-06
46,46,0.03,592,2,500000.0,1.21747564218327,,12887.0,0.0092320991374457,592.0,0.0521761991753919,0.010216939503592,0.0096016419212164,120618531892.8444,11.346169505562742,0.1047489617056186,1368558308368.338,3.0966131707645496e-06,1.7698058221604394e-06
47,47,0.03,594,2,500000.0,1.21811891168984,,12878.0,0.0089808271688822,594.0,0.0505284952366764,0.0101196442474954,0.0097940977822915,117156320428.98376,11.75574291729236,0.1055762953820142,1377259584099.06,3.0183358068488456e-06,1.7243634245229334e-06
48,48,0.03,596,2,500000.0,1.21860384648691,,13330.0,0.0091756838224945,596.0,0.0537143605372421,0.0099459777810107,0.0097045492291202,119515054269.5923,11.095729224715832,0.1018109031460049,1326106680452.614,3.0892437283222044e-06,1.764580230001295e-06
49,49,0.03,598,2,500000.0,1.21910049382016,,13712.0,0.0093148258165569,598.0,0.0512701890772859,0.0100862280565708,0.0093402584004442,121141425270.80196,11.663697964884816,0.1086453149198323,1412956995394.2988,3.1423704081843254e-06,1.794202416809941e-06
50,50,0.03,600,2,500000.0,1.21985929056978,,13601.0,0.0091618804075692,600.0,0.0544594221386205,0.0101669624481496,0.0098824919650537,118969408858.01144,11.01737727720954,0.1009398930188646,1310730861835.3062,3.097036350992803e-06,1.7675768143940249e-06
51,51,0.03,602,2,500000.0,1.22050059246538,,13882.0,0.0093283869583046,602.0,0.0541999412071163,0.0086132605434017,0.0094880592948467,120945302467.3508,11.107023118337969,0.1036106096026918,1343342270559.2437,3.1593180939401387e-06,1.8023743455219623e-06
52,52,0.03,604,2,500000.0,1.22113579614298,,13990.0,0.0093780031170574,604.0,0.0621303865202662,0.0107019117310561,0.0093565177574401,121401367614.271,9.72149110649717,0.0911681738991763,1180202315578.7292,3.1817670231738384e-06,1.8146653746056583e-06
