# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	4.991475106187408528e-01	1.703264969740054258e-01	3.789791637309700839e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	3.409688788450833119e-01	1.894372021838074405e-01	3.624503121665699490e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	9.992892202477605679e-01	1.791057356818938628e-01	3.424805194823050958e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	9.938907067635227577e-01	1.838960766247120238e-01	3.290201983731674829e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	1.492667811128512767e+00	1.664598565378408446e-01	2.950461920689004952e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	1.488985191074334580e+00	1.623652867750526863e-01	3.178655965713525489e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	1.998237762328926692e+00	1.740884256155702248e-01	2.838330896905223721e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	1.997522819695859653e+00	1.650000369137136214e-01	2.990229979872437160e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	2.481389993353332102e+00	1.819212596247924973e-01	2.785178007766084263e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	2.478792193386198051e+00	1.692541143729277553e-01	3.072819529481458575e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	2.996960017452693137e+00	1.874146717457714773e-01	2.734906440300857375e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	2.993972563014267507e+00	1.710075194357187356e-01	2.934515770664957585e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	3.495602337809941673e+00	1.880020207121048115e-01	2.549507116560795900e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	3.486955035891696753e+00	1.660865804269674173e-01	2.581392615424867726e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	3.987117820389357803e+00	1.695926442825493596e-01	2.920473081223026388e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	3.989208813453842595e+00	1.919297398217178485e-01	2.840632390076887684e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	4.440882307386345929e+00	1.708944544446965030e-01	2.910807333838821495e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	4.495386186486939550e+00	1.882429986074423967e-01	2.795722212965968262e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	4.996071172678057337e+00	1.830719228490392259e-01	2.619239129450075948e-02
nan	5.000000000000000000e+04	1.000000000000000000e+02	nan	4.996996520088032412e+00	1.648374603670808569e-01	2.619790845162459081e-02
