,Simulation Number,CPMU20.photonEnergy,PG.lineDensity,PG.cFactor,ExitSlit.totalHeight,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,500,1200,2.25,0.05,2,50000,,3044.0,6.088,,0.03431519596779253,0.014965012871768052,0.018132513013099903
1,1,500,1200,2.25,0.01,2,50000,,490.0,0.98,,0.02142743396757396,0.01723617850966884,0.003048809235543331
2,2,1000,1200,2.25,0.05,2,50000,,4372.0,8.743999999999998,,0.09450030711639101,0.01921303860455133,0.01802954317634
3,3,1000,1200,2.25,0.01,2,50000,,818.0,1.636,,0.04690704707786608,0.014722071360640023,0.0035220046031406286
4,4,1500,1200,2.25,0.05,2,50000,,5486.0,10.972,,0.17404555681514466,0.01766857504836459,0.01853073072396069
5,5,1500,1200,2.25,0.01,2,50000,,1078.0,2.156,,0.07779518054985601,0.015370028712277892,0.003666404570824768
6,6,2000,1200,2.25,0.05,2,50000,,6432.0,12.864,,0.27601926012744116,0.017356918635402695,0.0188365912008108
7,7,2000,1200,2.25,0.01,2,50000,,1288.0,2.576,,0.11457469125343776,0.01730511679624851,0.003024463084359625
8,8,2500,1200,2.25,0.05,2,50000,,7037.0,14.074,,0.39539824188250344,0.01882127657597136,0.01887100902227512
9,9,2500,1200,2.25,0.01,2,50000,,1380.0,2.76,,0.1601545827602422,0.019224317654353368,0.0032354360902636958
10,10,3000,1200,2.25,0.05,2,50000,,7752.0,15.504,,0.4474738023200189,0.016193578011697383,0.017912104876511542
11,11,3000,1200,2.25,0.01,2,50000,,1527.0,3.054,,0.2162628785554261,0.0170182266306858,0.002935084991698473
12,12,3500,1200,2.25,0.05,2,50000,,8471.0,16.942,,0.5712186484238373,0.018251557682864288,0.018105505816961128
13,13,3500,1200,2.25,0.01,2,50000,,1784.0,3.5680000000000005,,0.26753711589617524,0.01816945190475735,0.0035443499722012466
14,14,4000,1200,2.25,0.05,2,50000,,8921.0,17.842,,0.7136411722226512,0.01957801912817004,0.0185462653187148
15,15,4000,1200,2.25,0.01,2,50000,,1850.0,3.7,,0.3273923688989271,0.01812375309338529,0.0029162615341185127
16,16,4500,1200,2.25,0.05,2,50000,,9624.0,19.248,,0.8170446066678778,0.01849435295145186,0.018617781756891553
17,17,4500,1200,2.25,0.01,2,50000,,1927.0,3.854,,0.4209351241370314,0.016414365968128293,0.003538733732090041
18,18,5000,1200,2.25,0.05,2,50000,,10223.0,20.446,,1.0484552941197762,0.019776656377860687,0.01855095703204448
19,19,5000,1200,2.25,0.01,2,50000,,2031.0,4.062,,0.4238192927132332,0.01665102756868326,0.0032665369850552956
