# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.596200000000000000e+04	7.192400000000000126e+00	nan	4.381326608989866145e-02	1.991002772778298693e-02	1.862652045975049866e-02
nan	6.503000000000000000e+03	1.300599999999999978e+00	nan	3.362611288110883834e-02	2.013179614727874517e-02	3.953540810116116730e-03
nan	3.988200000000000000e+04	7.976399999999999935e+00	nan	8.264584291441678943e-02	1.793328166902687787e-02	1.866242077782853670e-02
nan	7.569000000000000000e+03	1.513800000000000034e+00	nan	5.929580772158260515e-02	1.685757732836686007e-02	4.168768617090782766e-03
nan	4.331600000000000000e+04	8.663199999999999790e+00	nan	1.374613060065712489e-01	1.970417012780106489e-02	1.911167193221297717e-02
nan	8.465000000000000000e+03	1.693000000000000060e+00	nan	7.264278111711064412e-02	1.838045357760424020e-02	3.361896569883446491e-03
nan	4.606900000000000000e+04	9.213799999999999102e+00	nan	1.876041917932980141e-01	1.977668069734458273e-02	1.840196836136906780e-02
nan	9.037000000000000000e+03	1.807399999999999896e+00	nan	9.338239140288351336e-02	1.946032762331188770e-02	3.664991571780670809e-03
nan	4.955100000000000000e+04	9.910199999999999676e+00	nan	2.491179421203923994e-01	1.927219441629445668e-02	1.863090080086109157e-02
nan	9.830000000000000000e+03	1.965999999999999970e+00	nan	1.018435928026519832e-01	1.931532839842554222e-02	3.461486482086750891e-03
nan	5.221900000000000000e+04	1.044379999999999953e+01	nan	3.316024922282849730e-01	1.766425898654015725e-02	1.903043230881589984e-02
nan	1.032600000000000000e+04	2.065199999999999925e+00	nan	1.141067259804913192e-01	1.901329763562554370e-02	3.328885382194279874e-03
nan	5.577900000000000000e+04	1.115580000000000105e+01	nan	4.006060499837076350e-01	1.914441170517248297e-02	1.804640561798255896e-02
nan	1.114000000000000000e+04	2.228000000000000203e+00	nan	1.294880601608383586e-01	1.845048367222906771e-02	3.638034603994351121e-03
nan	5.866500000000000000e+04	1.173300000000000054e+01	nan	5.032716347550376668e-01	1.679084190961088047e-02	1.838660302760021861e-02
nan	1.163600000000000000e+04	2.327199999999999935e+00	nan	1.561538727910374291e-01	1.851960797758357008e-02	3.701205159698801005e-03
nan	6.164700000000000000e+04	1.232939999999999969e+01	nan	5.455438676326593850e-01	2.135970171631287190e-02	1.843260146598800844e-02
nan	1.225100000000000000e+04	2.450200000000000156e+00	nan	1.610644987486011814e-01	1.729206685430273102e-02	4.047458264710111775e-03
nan	6.472100000000000000e+04	1.294420000000000037e+01	nan	6.560332823855787865e-01	1.918023295072429288e-02	1.888790697489952514e-02
nan	1.301400000000000000e+04	2.602799999999999780e+00	nan	1.909446566141923540e-01	1.923861128118925165e-02	3.776216775626356752e-03
