,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,502,2,500000.0,1.17662360156545,,34000.0,10.0,,50.2,0.050158212631668565,0.017973635117679528,0.0038175551250584543,0.10008338845090536,10.008338845090536,
1,1,0.05,504,2,500000.0,1.17747901516844,,34000.0,10.0,,50.4,0.0486948233087417,0.0176437304952528,0.00374477182595752,0.10489514088710658,10.489514088710658,
2,2,0.05,506,2,500000.0,1.17837189466193,,34000.0,10.0,,50.6,0.05054579099994442,0.018195428785057383,0.003977607032596964,0.1001074469966989,10.01074469966989,
3,3,0.05,508,2,500000.0,1.1791362468331,,34000.0,10.0,,50.8,0.05076235623564116,0.01797749802502222,0.0038356961303985127,0.1000742234348247,10.00742234348247,
4,4,0.05,510,2,500000.0,1.18000708146274,,34000.0,10.0,,51.0,0.050971037096213645,0.0176990799564154,0.003873414139928704,0.1000568332515231,10.005683325152308,
5,5,0.05,512,2,500000.0,1.18089388467086,,34000.0,10.0,,51.2,0.05116353705262157,0.01787978645828195,0.003819324409078131,0.10007133105769957,10.007133105769956,
6,6,0.05,514,2,500000.0,1.18169303123046,,34000.0,10.0,,51.4,0.05129251408834647,0.017877474879906267,0.003824547400659185,0.10021096230126365,10.021096230126364,
7,7,0.05,516,2,500000.0,1.18256256858225,,34000.0,10.0,,51.6,0.05155666361545628,0.018172123649670833,0.00378858059741772,0.10008412130465838,10.008412130465835,
8,8,0.05,518,2,500000.0,1.18333929872482,,34000.0,10.0,,51.8,0.051747159937212926,0.018001933035257888,0.003809637447342705,0.10010220348744885,10.010220348744884,
9,9,0.05,520,2,500000.0,1.18413280440169,,34000.0,10.0,,52.0,0.05193604055456376,0.01792014856704741,0.003871713481682876,0.10012325571257868,10.01232557125787,
10,10,0.05,522,2,500000.0,1.184814908884,,34000.0,10.0,,52.2,0.052163538693000645,0.0178331675121942,0.00376391153986034,0.1000699260108852,10.006992601088516,
11,11,0.05,524,2,500000.0,1.18564428721044,,34000.0,10.0,,52.4,0.050669777318740915,0.01794660040068023,0.0037914387452954736,0.10481129071848452,10.481129071848452,
12,12,0.05,526,2,500000.0,1.18623535979449,,34000.0,10.0,,52.6,0.05082931300307488,0.01778157461367991,0.0037430293453851087,0.1048750743049826,10.48750743049826,
13,13,0.05,528,2,500000.0,1.18691311580508,,34000.0,10.0,,52.8,0.052763524480785695,0.01800821581650711,0.0038253822801032414,0.10006916663191084,10.006916663191085,
14,14,0.05,530,2,500000.0,1.18740617352132,,34000.0,10.0,,53.0,0.05297606791682028,0.01782975392811664,0.0037269857916454887,0.1000451797913244,10.00451797913244,
15,15,0.05,532,2,500000.0,1.18810554884438,,34000.0,10.0,,53.2,0.053182673958755235,0.01819359831905249,0.0038886931004596366,0.1000325817072292,10.003258170722923,
16,16,0.05,534,2,500000.0,1.18943277689967,,34000.0,10.0,,53.4,0.05164865313740962,0.01788150183385816,0.003755361183881049,0.10478541893036412,10.47854189303641,
17,17,0.05,536,2,500000.0,1.19165789569026,,34000.0,10.0,,53.6,0.051852595106204845,0.018507368859788063,0.0037970942402557927,0.10476361912182468,10.476361912182467,
18,18,0.05,538,2,500000.0,1.1933953170949,,34000.0,10.0,,53.8,0.05370063869021806,0.017857130445520987,0.003740455158453048,0.10018600057615952,10.01860005761595,
19,19,0.05,540,2,500000.0,1.19462031821519,,34000.0,10.0,,54.0,0.053948011239832575,0.01815874571447884,0.0038428772098180854,0.10009651961409652,10.00965196140965,
20,20,0.05,542,2,500000.0,1.19557065892945,,34000.0,10.0,,54.2,0.05414776270479024,0.018292876374287812,0.003716394103573041,0.1000965843363614,10.00965843363614,
21,21,0.05,544,2,500000.0,1.19668353378915,,34000.0,10.0,,54.4,0.05435985367747776,0.01817768491132461,0.003749841490023013,0.10007394026565788,10.007394026565787,
22,22,0.05,546,2,500000.0,1.19757869607337,,34000.0,10.0,,54.6,0.054528758040858064,0.018079166484004268,0.0037717514374749914,0.10013093615757768,10.013093615757768,
23,23,0.05,548,2,500000.0,1.19860065465315,,34000.0,10.0,,54.8,0.052989775715004336,0.017770678225375168,0.0036892558887432632,0.10481164333366336,10.481164333366335,
24,24,0.05,550,2,500000.0,1.19963845879841,,34000.0,10.0,,55.0,0.05494534995119693,0.018152910383637207,0.003736086901009805,0.10009960054162088,10.009960054162088,
25,25,0.05,552,2,500000.0,1.20065872263705,,34000.0,10.0,,55.2,0.05512224068120304,0.017913684609195655,0.00373422493427932,0.10014170807201014,10.014170807201015,
26,26,0.05,554,2,500000.0,1.20181115118366,,34000.0,10.0,,55.4,0.05519694333340567,0.018111783448012356,0.0036632530953565456,0.10037622286708121,10.037622286708125,
27,27,0.05,556,2,500000.0,1.20295231364558,,34000.0,10.0,,55.6,0.05380247498855661,0.01754334914974203,0.003721291505811816,0.10474111626384812,10.474111626384808,
28,28,0.05,558,2,500000.0,1.20410472404016,,34000.0,10.0,,55.8,0.055739474141396385,0.018383620870096706,0.003714931312104196,0.1001087819869534,10.01087819869534,
29,29,0.05,560,2,500000.0,1.20514112000624,,34000.0,10.0,,56.0,0.055956847747303286,0.018292873757381044,0.003756951844129536,0.1000771332603472,10.007713326034724,
30,30,0.05,562,2,500000.0,1.20653239223348,,34000.0,10.0,,56.2,0.05616570461555966,0.018116896425419964,0.0037009614595095233,0.10006109157345389,10.006109157345387,
31,31,0.05,564,2,500000.0,1.20811897847302,,34000.0,10.0,,56.4,0.056215596105263325,0.017618901860975308,0.0037653258283108617,0.10033176788628537,10.033176788628536,
32,32,0.05,566,2,500000.0,1.2098506842126,,34000.0,10.0,,56.6,0.056511212830841935,0.01780916720659616,0.0036846639788579473,0.10015765338023644,10.015765338023645,
33,33,0.05,568,2,500000.0,1.21147483348648,,34000.0,10.0,,56.8,0.05670505929821047,0.017835903174475004,0.003688192389788464,0.10016802035133635,10.016802035133635,
34,34,0.05,570,2,500000.0,1.21322571296527,,34000.0,10.0,,57.0,0.05697405955609497,0.017891878114408896,0.0038402661284849273,0.10004554554753473,10.004554554753472,
35,35,0.05,572,2,500000.0,1.22040172983306,,34000.0,10.0,,57.2,0.057129990939496327,0.018082598447191952,0.003755577159038396,0.10012267750275738,10.01226775027574,
36,36,0.05,574,2,500000.0,1.22372713714585,,34000.0,10.0,,57.4,0.057324251768993695,0.01775487935991868,0.0036864611775699135,0.10013264348629392,10.013264348629392,
37,37,0.05,576,2,500000.0,1.22027554950736,,34000.0,10.0,,57.6,0.0575568741474774,0.017658129197042717,0.00365154866112052,0.10007498888203029,10.007498888203028,
38,38,0.05,578,2,500000.0,1.21702969464689,,34000.0,10.0,,57.8,0.05773496241402996,0.017892911641330216,0.003661519604258492,0.1001127963272836,10.011279632728357,
39,39,0.05,580,2,500000.0,1.21534946177801,,34000.0,10.0,,58.0,0.05794116500933229,0.018429075646569967,0.0038458575000149377,0.10010167047630204,10.010167047630201,
40,40,0.05,582,2,500000.0,1.21559007975785,,34000.0,10.0,,58.2,0.05817054354041147,0.01814987180168408,0.003744242841603408,0.10005065570335228,10.005065570335228,
41,41,0.05,584,2,500000.0,1.21587072513883,,34000.0,10.0,,58.4,0.058324614632678046,0.018304318188298512,0.003715001419689539,0.10012961517547414,10.012961517547415,
42,42,0.05,586,2,500000.0,1.21614745395122,,34000.0,10.0,,58.6,0.05830768828300052,0.017908401911072812,0.003602697420667119,0.1005195782312788,10.05195782312788,
43,43,0.05,588,2,500000.0,1.21641984515278,,34000.0,10.0,,58.8,0.05876812444855432,0.0181341608382254,0.0037174812035564416,0.10005425436977358,10.005425436977358,
44,44,0.05,590,2,500000.0,1.21696884226858,,34000.0,10.0,,59.0,0.055162270838772655,0.017699665128578353,0.003606579374963784,0.1095137910511292,10.951379105112919,
45,45,0.05,592,2,500000.0,1.21747564218327,,34000.0,10.0,,59.2,0.05912580107810641,0.01783149920128077,0.0037440963277089847,0.10012556224593087,10.012556224593087,
46,46,0.05,594,2,500000.0,1.21811891168984,,34000.0,10.0,,59.4,0.05934960422784798,0.018156862124107147,0.003748391965591548,0.1000850163809884,10.00850163809884,
47,47,0.05,596,2,500000.0,1.21860384648691,,34000.0,10.0,,59.6,0.059511634816478816,0.017615024507850165,0.003683928404142989,0.10014906767361036,10.014906767361037,
48,48,0.05,598,2,500000.0,1.21910049382016,,34000.0,10.0,,59.8,0.05782009523962852,0.01806972513294404,0.0036314112698351024,0.10481198162594568,10.481198162594568,
49,49,0.05,600,2,500000.0,1.21985929056978,,34000.0,10.0,,60.0,0.059946442853041605,0.01767781298369698,0.003710302203960301,0.10008941787950199,10.0089417879502,
50,50,0.05,602,2,500000.0,1.22050059246538,,34000.0,10.0,,60.2,0.060155373408071,0.01822628737233775,0.0036164123427660936,0.10007423772099527,10.007423772099528,
51,51,0.05,604,2,500000.0,1.22113579614298,,34000.0,10.0,,60.4,0.06035739025558427,0.017788521175845434,0.0036293592890341295,0.10007064103933085,10.007064103933084,
52,52,0.05,606,2,500000.0,1.22175151083902,,34000.0,10.0,,60.6,0.06046821218388004,0.017869400844182832,0.003678973024794736,0.10022045921216632,10.022045921216632,
53,53,0.05,608,2,500000.0,1.22238215795596,,34000.0,10.0,,60.8,0.060765538088835454,0.017743012981961827,0.003606968589454941,0.10005672433851064,10.005672433851064,
54,54,0.05,610,2,500000.0,1.22318836533182,,34000.0,10.0,,61.0,0.058979125007498114,0.01788195844847435,0.003622026612555363,0.10482136914601863,10.482136914601863,
