# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	5.100000000000000000e+01	1.284000000000000072e-02	nan	5.000000000000000000e+01	2.136577463930102415e-03	2.239868663434547644e-02	1.377348647459699857e-02	2.374807017968846168e+01	3.036294845507341300e-01	nan
nan	8.715000000000000568e+01	2.146999999999999950e-02	nan	6.000000000000000000e+01	2.176211602699158754e-03	1.888059137938210424e-02	1.498144011416925256e-02	3.034247855966579976e+01	6.561379640311357786e-01	nan
nan	1.420500000000000114e+02	3.577000000000000318e-02	nan	7.000000000000000000e+01	2.625073882409684287e-03	1.777026061572643117e-02	1.547420367581722744e-02	2.946608081721944927e+01	1.051115576331441259e+00	nan
nan	1.961999999999999886e+02	4.904000000000000720e-02	nan	8.000000000000000000e+01	3.262439100165941304e-03	2.030352854569452553e-02	1.526735684839470274e-02	2.630757933235654988e+01	1.296962798968144703e+00	nan
nan	2.763500000000000227e+02	6.971000000000000807e-02	nan	9.000000000000000000e+01	3.631470293333167142e-03	1.844816350263170715e-02	1.587600191049338971e-02	2.570096331113683874e+01	1.793573576209003928e+00	nan
nan	3.685500000000000114e+02	9.254999999999999338e-02	nan	1.000000000000000000e+02	4.390673135086927206e-03	1.725636881596336741e-02	1.616367187353511328e-02	2.327687406303989093e+01	2.158873281289028334e+00	nan
nan	4.631000000000000227e+02	1.159000000000000030e-01	nan	1.100000000000000000e+02	4.853285965087650138e-03	1.708712596485776475e-02	1.684547245317783923e-02	2.409929864614531780e+01	2.787942434893546650e+00	nan
nan	5.493999999999999773e+02	1.371199999999999919e-01	nan	1.200000000000000000e+02	5.722306296929957972e-03	1.738710906240338930e-02	1.695710799690305220e-02	2.133958226731488850e+01	2.925084429426072052e+00	nan
nan	6.461000000000000227e+02	1.606199999999999850e-01	nan	1.300000000000000000e+02	5.762926208306850748e-03	1.784187963487727721e-02	1.714582532625019695e-02	2.395916832522729578e+01	3.857414990423714052e+00	nan
nan	7.136000000000000227e+02	1.799999999999999933e-01	nan	1.400000000000000000e+02	7.007140242282616956e-03	1.764305239405296669e-02	1.724240661345460834e-02	2.042134689096560152e+01	3.682530002514533329e+00	nan
