,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,50,2.25,1,500000.0,,500000.0,100.0,,50.0,0.0499768184913151,0.1996556847561592,0.09303857313262585,1.0004640571303884,100.04640571303882,
1,1,0.05,60,2.25,1,500000.0,,500000.0,100.0,,60.0,0.05995437449956853,0.19460918026651047,0.0853544197279722,1.00076175869033,100.076175869033,
2,2,0.05,70,2.25,1,500000.0,,500000.0,100.0,,70.0,0.06995977337160468,0.1908401117966968,0.08037561915749139,1.00057529274856,100.057529274856,
3,3,0.05,80,2.25,1,500000.0,,500000.0,100.0,,80.0,0.07987017515425805,0.1912342567761151,0.07561139742745955,1.0016283805883794,100.16283805883796,
4,4,0.05,90,2.25,1,500000.0,,500000.0,100.0,,90.0,0.0899864385333359,0.19045451458876217,0.07207978546690169,1.0001507158980416,100.01507158980417,
5,5,0.05,100,2.25,1,500000.0,,500000.0,100.0,,100.0,0.09993462447522176,0.18757706981971328,0.06860370353347495,1.0006546774640552,100.06546774640552,
6,6,0.05,110,2.25,1,500000.0,,500000.0,100.0,,110.0,0.10997438721163064,0.18970525043802,0.06581076686476903,1.0002329214408128,100.02329214408128,
7,7,0.05,120,2.25,1,500000.0,,500000.0,100.0,,120.0,0.11995756294215312,0.18680203016461347,0.0633497754348563,1.0003537927768729,100.03537927768733,
8,8,0.05,130,2.25,1,500000.0,,500000.0,100.0,,130.0,0.1297829828404929,0.1848699623192148,0.060883417990123166,1.0016800142671716,100.16800142671715,
9,9,0.05,140,2.25,1,500000.0,,500000.0,100.0,,140.0,0.13097725362869178,0.18571647799558555,0.06133926583213293,1.094750437972417,109.47504379724172,
10,10,0.05,150,2.25,1,500000.0,,500000.0,100.0,,150.0,0.1499403383724541,0.18927982569075624,0.058139826876598286,1.000398069968807,100.03980699688074,
11,11,0.05,160,2.25,1,500000.0,,500000.0,100.0,,160.0,0.159913676728695,0.18441246831608288,0.05680441066288477,1.00054002115423,100.054002115423,
12,12,0.05,170,2.25,1,500000.0,,500000.0,100.0,,170.0,0.1590328148908129,0.1826921796083556,0.05508178852987804,1.0947078766361833,109.47078766361832,
13,13,0.05,180,2.25,1,500000.0,,500000.0,100.0,,180.0,0.17992610569816633,0.18416939198304047,0.055059577406735435,1.0004107778606028,100.04107778606028,
14,14,0.05,190,2.25,1,500000.0,,500000.0,100.0,,190.0,0.18994766246659647,0.18263391972132467,0.05314181177463437,1.000275547617944,100.0275547617944,
15,15,0.05,200,2.25,1,500000.0,,500000.0,100.0,,200.0,0.19994587024054908,0.18808148978502,0.05180916048271613,1.0002707516189748,100.02707516189749,
16,16,0.05,210,2.25,1,500000.0,,500000.0,100.0,,210.0,0.20975511640142483,0.18499680963364648,0.05060636145002741,1.0011699874961817,100.11699874961813,
17,17,0.05,220,2.25,1,500000.0,,500000.0,100.0,,220.0,0.219917384951782,0.18085783965179075,0.05003477774475092,1.0003756854965604,100.03756854965609,
18,18,0.05,230,2.25,1,500000.0,,500000.0,100.0,,230.0,0.2299563737942094,0.18152311889051828,0.04926870295776436,1.000189725860442,100.01897258604421,
19,19,0.05,240,2.25,1,500000.0,,500000.0,100.0,,240.0,0.23991632871113208,0.17976184679539864,0.048484120948537775,1.000348797323651,100.03487973236508,
20,20,0.05,250,2.25,1,500000.0,,500000.0,100.0,,250.0,0.24984193246014,0.1808288212304852,0.04750071414232311,1.0006328959609114,100.06328959609112,
21,21,0.05,260,2.25,1,500000.0,,500000.0,100.0,,260.0,0.2599505656877227,0.1799501325117061,0.04819003895419872,1.0001901712117363,100.0190171211736,
22,22,0.05,270,2.25,1,500000.0,,500000.0,100.0,,270.0,0.2699382181564942,0.18258120106332212,0.04602730366825021,1.000228883183642,100.02288831836424,
23,23,0.05,280,2.25,1,500000.0,,500000.0,100.0,,280.0,0.24407277040668268,0.18050799921930652,0.04572411994440566,1.1885304183618994,118.85304183618992,
24,24,0.05,290,2.25,1,500000.0,,500000.0,100.0,,290.0,0.2898581129686249,0.1801708462243428,0.04537044801226922,1.0004895907104863,100.0489590710486,
25,25,0.05,300,2.25,1,500000.0,,500000.0,100.0,,300.0,0.2998870955876896,0.18164210419726864,0.044759430099897655,1.0003765832453129,100.03765832453128,
26,26,0.05,310,2.25,1,500000.0,,500000.0,100.0,,310.0,0.3097704165484515,0.17998217756281623,0.044343591286148384,1.0007412943356466,100.07412943356466,
27,27,0.05,320,2.25,1,500000.0,,500000.0,100.0,,320.0,0.31983951133453276,0.18069023483114452,0.04350239431538906,1.000502012786122,100.0502012786122,
28,28,0.05,330,2.25,1,500000.0,,500000.0,100.0,,330.0,0.28758869263660125,0.1811989043269288,0.04443520659468952,1.1889036584915944,118.89036584915944,
29,29,0.05,340,2.25,1,500000.0,,500000.0,100.0,,340.0,0.31806229741134934,0.1794880673576197,0.04332713422402668,1.0947016576116648,109.47016576116648,
30,30,0.05,350,2.25,1,500000.0,,500000.0,100.0,,350.0,0.34987395029822893,0.18109380373581913,0.042268266381092975,1.0003604109167015,100.03604109167016,
31,31,0.05,360,2.25,1,500000.0,,500000.0,100.0,,360.0,0.3596506723734251,0.18047761645295776,0.0419637804749203,1.0009723687205867,100.09723687205867,
32,32,0.05,370,2.25,1,500000.0,,500000.0,100.0,,370.0,0.3698039328762889,0.18139869859723187,0.04169899553944389,1.0005303459521486,100.05303459521488,
33,33,0.05,380,2.25,1,500000.0,,500000.0,100.0,,380.0,0.3798715840903583,0.18064246515561927,0.041646236044617736,1.000338069431915,100.03380694319152,
34,34,0.05,390,2.25,1,500000.0,,500000.0,100.0,,390.0,0.3898218319650028,0.1811450150877866,0.04117127275933134,1.0004571658846724,100.04571658846722,
35,35,0.05,400,2.25,1,500000.0,,500000.0,100.0,,400.0,0.3997416941884012,0.17789867021272834,0.0409601040151867,1.000646946524756,100.06469465247562,
36,36,0.05,410,2.25,1,500000.0,,500000.0,100.0,,410.0,0.40949548885020015,0.17823692470158042,0.040057184653278566,1.0012328455406663,100.12328455406661,
37,37,0.05,420,2.25,1,500000.0,,500000.0,100.0,,420.0,0.41932859851664256,0.17925507980545596,0.04020397290241594,1.0016080867461374,100.16080867461372,
38,38,0.05,430,2.25,1,500000.0,,500000.0,100.0,,430.0,0.4297022671473428,0.17986728559035867,0.0398892092469844,1.0006929718033288,100.06929718033285,
39,39,0.05,440,2.25,1,500000.0,,500000.0,100.0,,440.0,0.43977271702882487,0.18021754470701487,0.04007001935269194,1.0005170681388627,100.05170681388628,
40,40,0.05,450,2.25,1,500000.0,,500000.0,100.0,,450.0,0.449932685736303,0.1788454024258744,0.039275303662578046,1.0001496122148708,100.01496122148708,
41,41,0.05,460,2.25,1,500000.0,,500000.0,100.0,,460.0,0.4597048585259472,0.17992129006050883,0.038880568118766674,1.0006427634284796,100.06427634284796,
42,42,0.05,470,2.25,1,500000.0,,500000.0,100.0,,470.0,0.4697930574539896,0.17837668033394333,0.03918063688159226,1.0004406011198783,100.04406011198785,
43,43,0.05,480,2.25,1,500000.0,,500000.0,100.0,,480.0,0.47973505148607953,0.17867711309462692,0.03791718045810236,1.0005524341275105,100.05524341275105,
44,44,0.05,490,2.25,1,500000.0,,500000.0,100.0,,490.0,0.48974155516506246,0.17940695395089776,0.03853346676866872,1.000527988330698,100.05279883306976,
45,45,0.05,500,2.25,1,500000.0,,500000.0,100.0,,500.0,0.49983017805885765,0.17819242530808918,0.03847817829202737,1.0003399254115994,100.03399254115992,
46,46,0.05,510,2.25,1,500000.0,,500000.0,100.0,,510.0,0.5096311568628948,0.17985126485767572,0.03806252865749883,1.0007246239553382,100.07246239553383,
47,47,0.05,520,2.25,1,500000.0,,500000.0,100.0,,520.0,0.51982891448381,0.17984594465281223,0.03799291517947725,1.0003291757541677,100.03291757541676,
