,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,50,2.25,1,500000.0,,4.2,0.0008399999999999998,,10.0,0.0003988328423979818,0.0025107652607885287,0.001683620952597027,5.044624454986754,0.020887437105936223,
1,1,0.05,60,2.25,1,500000.0,,8.48,0.0016960000000000002,,12.0,0.0005561586649776676,0.0024560271688921958,0.001872360559033761,4.33479888030558,0.036975983760649936,
2,2,0.05,70,2.25,1,500000.0,,14.68,0.002936,,14.0,0.0006910019573794144,0.0025294619857674826,0.0016677363538877507,4.066008507206421,0.05961481602751244,
3,3,0.05,80,2.25,1,500000.0,,21.96,0.004392,,16.0,0.0006514775343459843,0.002342591031592006,0.001746776835083617,5.293155665362924,0.11824435789691792,
4,4,0.05,90,2.25,1,500000.0,,29.92,0.005983999999999999,,18.0,0.0006062544397292413,0.0016171348497748949,0.0019895495215942983,6.040192826017631,0.18183681222243647,
5,5,0.05,100,2.25,1,500000.0,,42.48,0.008496,,20.0,0.0009922165243364135,0.002170181098930585,0.0018872711162840916,4.403302321245697,0.18742305482634472,
6,6,0.05,110,2.25,1,500000.0,,52.04,0.010407999999999999,,22.0,0.0007645698688162382,0.0018304317078973113,0.0020176320058768204,6.043856503326066,0.3116310635204662,
7,7,0.05,120,2.25,1,500000.0,,60.36,0.012072,,24.0,0.0011801561049418297,0.0018048546860801884,0.002136649374931518,4.1194748245705615,0.2488414124023113,
8,8,0.05,130,2.25,1,500000.0,,78.59999999999998,0.01572,,26.0,0.001157255003130331,0.0019850544657871263,0.0020215149502715167,4.687431732143977,0.36739142763513527,
9,9,0.05,140,2.25,1,500000.0,,87.12,0.017424,,28.0,0.0012145155299424458,0.0019636446648727264,0.002151022554124435,4.683286375000655,0.40763121461330454,
10,10,0.05,150,2.25,1,500000.0,,89.76,0.017952000000000003,,30.0,0.0013996917509814463,0.0017941448633862695,0.002146223024197543,4.401262245399964,0.3941344632969103,
11,11,0.05,160,2.25,1,500000.0,,87.36,0.017472000000000005,,32.0,0.0015043574300659657,0.0020421068003737574,0.002100961508515036,4.389026899140672,0.38281224021947535,
12,12,0.05,170,2.25,1,500000.0,,73.76,0.014752,,34.0,0.001492859158123565,0.0018765056869828388,0.0020646852678947447,4.8813777329414805,0.36469316973816823,
13,13,0.05,180,2.25,1,500000.0,,58.64,0.011728,,36.0,0.0019767656190629165,0.0018462720319396297,0.002127309825641289,3.757214271836364,0.22155268773230236,
14,14,0.05,190,2.25,1,500000.0,,25.92,0.005183999999999999,,38.0,0.002282130537680587,0.0016490893732399182,0.0018233971304980313,3.4616047976939512,0.0913223258137064,
15,15,0.05,200,2.25,1,500000.0,,27.08,0.005416,,40.0,0.002326514679440379,0.0019031975743815969,0.0020088555206410302,3.750517038533767,0.10297002802619766,
16,16,0.05,210,2.25,1,500000.0,,26.04,0.005207999999999999,,42.0,0.002291916452678606,0.0017888895016328244,0.002026752898358671,3.7141349173751097,0.09687685297619458,
17,17,0.05,220,2.25,1,500000.0,,26.8,0.005359999999999999,,44.0,0.002452999089108516,0.001667708360315327,0.002164763950360253,3.97734825219986,0.10617629142511632,
18,18,0.05,230,2.25,1,500000.0,,29.12,0.005824,,46.0,0.0021530374598648905,0.00193830760230996,0.0019461762732871108,5.046346655768526,0.14992916131987283,
19,19,0.05,240,2.25,1,500000.0,,31.36,0.0062720000000000015,,48.0,0.0026889343874779573,0.0015233603141496742,0.002095055884262955,3.617672463721006,0.11349249415451113,
20,20,0.05,250,2.25,1,500000.0,,35.2,0.007039999999999999,,50.0,0.003132524836482844,0.0016670307237428219,0.002164332167859784,3.4043463068853974,0.11993136106154388,
21,21,0.05,260,2.25,1,500000.0,,35.480000000000004,0.007096,,52.0,0.0029765452732181076,0.0019477012458673456,0.0020236879702853782,3.621126689171076,0.12867806575628685,
22,22,0.05,270,2.25,1,500000.0,,37.4,0.00748,,54.0,0.0030749216701156,0.001774809629902401,0.0019790446369137974,3.6445713009058247,0.13657294864692435,
23,23,0.05,280,2.25,1,500000.0,,42.64,0.008527999999999999,,56.0,0.0030120106455638054,0.0016859139015908196,0.0019792963294218585,3.750465837879336,0.15979045232744765,
24,24,0.05,290,2.25,1,500000.0,,44.64,0.008928,,58.0,0.002959554746828417,0.0016569520265561632,0.0020759092114175526,3.9855709362538336,0.17902707977670124,
25,25,0.05,300,2.25,1,500000.0,,46.2,0.00924,,60.0,0.003552580535802008,0.0021532607507043426,0.0020027679044167866,3.4432689551818254,0.15966388350220623,
26,26,0.05,310,2.25,1,500000.0,,52.8,0.01056,,62.0,0.0035000664399831294,0.0017872917764671131,0.0021308866175214895,3.7064480518215097,0.19655545552930323,
