# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.700000000000000000e+01	5.399999999999999419e-03	nan	5.000000000000000000e+01	2.457970080067170635e-03	1.123290885153811411e-02	8.130954960258490044e-03	2.058426078484703936e+01	1.101066572583702941e-01	nan
nan	4.000000000000000000e+01	8.000000000000000167e-03	nan	6.000000000000000000e+01	2.731056602313297697e-03	1.198702763817300308e-02	8.496636212473315103e-03	2.211271853566764634e+01	1.780980319426000713e-01	nan
nan	7.059999999999999432e+01	1.411999999999999887e-02	nan	7.000000000000000000e+01	3.450041985861999720e-03	1.300399841860908588e-02	8.825526063908888802e-03	2.047701595701486355e+01	2.913519708330222224e-01	nan
nan	1.034000000000000057e+02	2.067999999999999700e-02	nan	8.000000000000000000e+01	3.173081839474767817e-03	1.095096120382632945e-02	9.129276804798861639e-03	2.664492803046990588e+01	5.551487348159639401e-01	nan
nan	1.501999999999999886e+02	3.004000000000000073e-02	nan	9.000000000000000000e+01	3.024174438186832872e-03	8.545269001949070548e-03	1.029833384782856062e-02	3.179160111825662938e+01	9.534692197544650805e-01	nan
nan	2.088000000000000114e+02	4.176000000000000545e-02	nan	1.000000000000000000e+02	4.153199329090284317e-03	9.620269300859705941e-03	1.098798184524010790e-02	2.454789124503622944e+01	1.018172887343489430e+00	nan
nan	2.700000000000000000e+02	5.400000000000000633e-02	nan	1.100000000000000000e+02	4.801794958910932283e-03	9.100183182371790816e-03	9.590366571415811711e-03	2.431560670775188626e+01	1.312092943002139522e+00	nan
nan	3.250000000000000000e+02	6.500000000000000222e-02	nan	1.200000000000000000e+02	5.375568780499407132e-03	9.377417319508581789e-03	1.013488212877627394e-02	2.312965984537816055e+01	1.505028444973614432e+00	nan
nan	3.830000000000000000e+02	7.660000000000001530e-02	nan	1.300000000000000000e+02	5.554339005300334975e-03	1.129079851292600842e-02	1.099536948549556525e-02	2.480345964465874431e+01	1.896566794324121563e+00	nan
nan	4.216000000000000227e+02	8.431999999999999218e-02	nan	1.400000000000000000e+02	6.623529844381437562e-03	8.579740554407000105e-03	1.142250620749253771e-02	2.200964283611126149e+01	1.849563622493930470e+00	nan
nan	4.500000000000000000e+02	8.999999999999999667e-02	nan	1.500000000000000000e+02	7.161255550022361041e-03	1.028277905492906361e-02	1.061444985994775513e-02	2.137485798574233087e+01	1.928825560677829731e+00	nan
nan	4.260000000000000000e+02	8.519999999999999796e-02	nan	1.600000000000000000e+02	7.970844323739356002e-03	9.019027383755512384e-03	1.085881755902588439e-02	2.043963812004567870e+01	1.748018467692468603e+00	nan
nan	3.616000000000000227e+02	7.232000000000000928e-02	nan	1.700000000000000000e+02	8.402063279936556120e-03	8.779322969393309542e-03	1.001715731570558023e-02	2.071532883541967962e+01	1.503008410724080646e+00	nan
nan	2.870000000000000000e+02	5.739999999999999269e-02	nan	1.800000000000000000e+02	7.687354589876349564e-03	9.972524000834735031e-03	1.010524069648578889e-02	2.448658952360228724e+01	1.400382918602102178e+00	nan
nan	1.345999999999999943e+02	2.691999999999999948e-02	nan	1.900000000000000000e+02	8.860115069370521484e-03	8.208336349404786458e-03	1.031947503410709545e-02	3.100712381983186816e+01	7.848116920509620176e-01	nan
nan	1.480000000000000000e+02	2.959999999999999784e-02	nan	2.000000000000000000e+02	1.109520193007256308e-02	9.265105776530960235e-03	1.005931971756038844e-02	1.835491284858197858e+01	5.427540683651010944e-01	nan
nan	1.398000000000000114e+02	2.795999999999999527e-02	nan	2.100000000000000000e+02	9.630082037983812154e-03	7.756003212925119406e-03	1.011953232011192708e-02	2.852669010865582067e+01	8.056442683602267341e-01	nan
nan	1.378000000000000114e+02	2.755999999999999422e-02	nan	2.200000000000000000e+02	1.109521233434520616e-02	8.712292143695982150e-03	8.861704054430883173e-03	2.041422841970315716e+01	5.653872055212381120e-01	nan
nan	1.428000000000000114e+02	2.855999999999999511e-02	nan	2.300000000000000000e+02	1.047772919839644670e-02	7.106009689445693181e-03	8.924039358526725599e-03	2.311541837013435696e+01	6.502537591078595414e-01	nan
nan	1.521999999999999886e+02	3.044000000000000525e-02	nan	2.400000000000000000e+02	1.364498922487769085e-02	1.061042543633487420e-02	7.251460525330684706e-03	1.869960725699534265e+01	5.715043994004572747e-01	nan
nan	1.804000000000000057e+02	3.608000000000000096e-02	nan	2.500000000000000000e+02	1.279484937280130942e-02	1.005367200750303253e-02	9.246864158393257316e-03	2.014216189539500235e+01	7.317475295276889558e-01	nan
