,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,50,2.25,1,500000.0,,4759.95,1.1888299999999998,,50.0,0.0018974215835793728,0.01980428136390633,0.018043248982268983,26.64900828251672,31.68845309032049,
1,1,0.05,60,2.25,1,500000.0,,6043.95,1.5149499999999996,,60.0,0.002403475632130991,0.02023706559532621,0.018145566259995173,25.016259360470503,37.90076503389342,
2,2,0.05,70,2.25,1,500000.0,,7215.649999999999,1.80485,,70.0,0.0029602939262204585,0.019692925765712247,0.01829264237222728,23.76860206226504,42.90600452743175,
3,3,0.05,80,2.25,1,500000.0,,8423.85,2.10705,,80.0,0.003590782545740012,0.019480204051264743,0.018300355685265814,22.372477736580187,47.15600938256441,
4,4,0.05,90,2.25,1,500000.0,,9517.25,2.3818899999999994,,90.0,0.004086867974120168,0.019450318457055946,0.01842267780572527,22.120169268645927,52.68086212553176,
5,5,0.05,100,2.25,1,500000.0,,10645.95,2.65811,,100.0,0.004617049327715961,0.019192551516132993,0.018357671469420373,21.742665861674116,57.78672468882162,
6,6,0.05,110,2.25,1,500000.0,,11713.4,2.93204,,110.0,0.005422188159453611,0.01901561176658656,0.01844138983817463,20.348984358750545,59.68650917911519,
7,7,0.05,120,2.25,1,500000.0,,12653.25,3.16725,,120.0,0.005944750322861836,0.019013338105084713,0.01843801807262523,20.239259792504615,64.09739836477675,
8,8,0.05,130,2.25,1,500000.0,,13681.7,3.42814,,130.0,0.006768355953026628,0.018986200063370207,0.018559182284381668,19.235944447517465,65.96329103735117,
9,9,0.05,140,2.25,1,500000.0,,14553.75,3.63047,,140.0,0.007461010353820541,0.018963908067472356,0.018337835006513478,18.81929778398766,68.33173636915924,
10,10,0.05,150,2.25,1,500000.0,,15465.2,3.8603200000000006,,150.0,0.007882705328159998,0.01881705683096094,0.018414973157345475,19.079071857857947,73.65911690580523,
11,11,0.05,160,2.25,1,500000.0,,16332.4,4.08508,,160.0,0.009187851692145444,0.018848653945601895,0.018497920803136524,17.468931672932253,71.35385373637199,
12,12,0.05,170,2.25,1,500000.0,,17199.05,4.29809,,170.0,0.00951618000566725,0.01892365794528809,0.01824553713039275,17.910626503720792,76.98252242622921,
13,13,0.05,180,2.25,1,500000.0,,17956.15,4.50335,,180.0,0.010739238739549248,0.01910045244881548,0.018478745971866904,16.796015891780563,75.62491142172702,
14,14,0.05,190,2.25,1,500000.0,,18749.9,4.68782,,190.0,0.01147626291745496,0.01880115224629659,0.018620656673432868,16.600976536816276,77.81432410882653,
15,15,0.05,200,2.25,1,500000.0,,19412.5,4.846900000000001,,200.0,0.012343118541345175,0.01867925902434472,0.018528995007043244,16.23664666764399,78.70774305412888,
16,16,0.05,210,2.25,1,500000.0,,20222.2,5.063959999999999,,210.0,0.012980204533174344,0.018637327315692537,0.018556267088790563,16.227909345720622,82.17640242372316,
17,17,0.05,220,2.25,1,500000.0,,20841.2,5.209039999999999,,220.0,0.014066174800591111,0.018568367244546656,0.018679567149022545,15.674040791312768,81.64845683187232,
18,18,0.05,230,2.25,1,500000.0,,21582.3,5.39674,,230.0,0.014491128146561038,0.018427000179272415,0.018421736330970648,15.905463288900307,85.84170104816108,
19,19,0.05,240,2.25,1,500000.0,,22256.65,5.56061,,240.0,0.015714499687587136,0.01897189388442465,0.01846616122564639,15.309504333644185,85.13023000739226,
20,20,0.05,250,2.25,1,500000.0,,22906.35,5.73051,,250.0,0.016800528150135108,0.0190122515608538,0.018580605397347044,14.913389230244656,85.45205974756915,
21,21,0.05,260,2.25,1,500000.0,,23464.9,5.87346,,260.0,0.017567046232687743,0.01892964149766946,0.018504346139298248,14.8495239893445,87.23318808797242,
22,22,0.05,270,2.25,1,500000.0,,24088.9,6.01546,,270.0,0.0188303921041296,0.019039490486571848,0.018644629658828692,14.38584160535072,86.535290246295,
23,23,0.05,280,2.25,1,500000.0,,24675.1,6.161420000000001,,280.0,0.020203440229914806,0.018754074383633888,0.01855122412169643,13.908453785391533,85.68373895625744,
