# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	6.355199999999999818e+02	1.271039999999999948e-01	nan	1.000000000000000000e+01	6.333871744556063320e-04	3.100939900254150779e-03	1.676005283771148015e-03	3.176342947546296536e+00	2.017858952484723467e+00	nan
nan	8.380399999999999636e+02	1.676080000000000070e-01	nan	1.200000000000000000e+01	7.687906964704893436e-04	3.133753003669705137e-03	1.736507702230128628e-03	3.134331297610133404e+00	2.627023866626699622e+00	nan
nan	1.025079999999999927e+03	2.050159999999999483e-01	nan	1.400000000000000000e+01	9.575349762116047280e-04	3.112396608884428900e-03	1.809011506175433074e-03	2.925166058666696323e+00	2.998949520121101386e+00	nan
nan	1.249839999999999918e+03	2.499680000000000235e-01	nan	1.600000000000000000e+01	1.048284664129255517e-03	2.983518672842572998e-03	1.734553067673711910e-03	3.057248152545379849e+00	3.820252897041031215e+00	nan
nan	1.448000000000000000e+03	2.895999999999999686e-01	nan	1.800000000000000000e+01	1.206644277460782204e-03	3.047785402809457568e-03	1.724538145963860642e-03	2.997822256108680694e+00	4.341847576060366976e+00	nan
nan	1.643240000000000236e+03	3.286479999999999957e-01	nan	2.000000000000000000e+01	1.348863653776106661e-03	2.968497759987042545e-03	1.782750074758014062e-03	2.969479694200756192e+00	4.878526809331357406e+00	nan
nan	1.853279999999999973e+03	3.706559999999999855e-01	nan	2.200000000000000000e+01	1.489031805822946817e-03	2.978898454904774229e-03	1.770588288013364483e-03	2.973287745525809989e+00	5.510324272941534041e+00	nan
nan	2.062400000000000091e+03	4.124799999999999578e-01	nan	2.400000000000000000e+01	1.611673702769280585e-03	3.096038388393210997e-03	1.732728996865546493e-03	2.980460504328165783e+00	6.146433739559199694e+00	nan
nan	2.256960000000000036e+03	4.513919999999999599e-01	nan	2.600000000000000000e+01	1.799870276715864704e-03	3.120367228448344635e-03	1.770797558100449922e-03	2.890999631723417451e+00	6.526119672789623571e+00	nan
nan	2.454640000000000327e+03	4.909279999999999755e-01	nan	2.800000000000000000e+01	1.968309210863026376e-03	3.061819229141482610e-03	1.730158928402776184e-03	2.850764142460263884e+00	6.997167022144834547e+00	nan
nan	2.628400000000000091e+03	5.256800000000000361e-01	nan	3.000000000000000000e+01	2.135434875361852305e-03	3.135332859319954393e-03	1.774787128827225906e-03	2.820649754961474631e+00	7.415390739343908244e+00	nan
nan	2.831880000000000109e+03	5.663760000000001016e-01	nan	3.200000000000000000e+01	2.379703742928995606e-03	2.969215112967991173e-03	1.771739815517344883e-03	2.691851726590218874e+00	7.623142294545372621e+00	nan
nan	3.006559999999999945e+03	6.013119999999999576e-01	nan	3.400000000000000000e+01	2.528671283889707445e-03	3.025233920556101835e-03	1.762057420996235952e-03	2.691952140334348265e+00	8.094164242692958311e+00	nan
nan	3.209079999999999927e+03	6.418160000000000531e-01	nan	3.600000000000000000e+01	2.745120705163799513e-03	3.021395756142505017e-03	1.755873189938013694e-03	2.623451287904609242e+00	8.419580420078627725e+00	nan
nan	3.376440000000000055e+03	6.752879999999999994e-01	nan	3.800000000000000000e+01	2.933017061189957617e-03	3.001162550275039437e-03	1.787195587701325208e-03	2.594242324713454728e+00	8.759894732990769484e+00	nan
nan	3.558159999999999854e+03	7.116320000000000423e-01	nan	4.000000000000000000e+01	3.139102793253414295e-03	2.964665539212455944e-03	1.737582746361094558e-03	2.561866279348322450e+00	9.116585094306994819e+00	nan
nan	3.730800000000000182e+03	7.461599999999999344e-01	nan	4.200000000000000000e+01	3.326463060758442537e-03	2.938521105111036556e-03	1.733489878755600138e-03	2.526499947434210913e+00	9.425344760114830578e+00	nan
nan	3.893080000000000382e+03	7.786159999999999748e-01	nan	4.400000000000000000e+01	3.536627479534217543e-03	2.947434208147019664e-03	1.777297696111404578e-03	2.493609269105555803e+00	9.709002882405156853e+00	nan
nan	4.074359999999999673e+03	8.148720000000000407e-01	nan	4.600000000000000000e+01	3.823620402619098881e-03	2.934555495143529626e-03	1.780517283159641691e-03	2.411075007412180504e+00	9.824840651163079031e+00	nan
nan	4.202719999999999345e+03	8.405439999999998468e-01	nan	4.800000000000000000e+01	4.096136790957416104e-03	2.809972052218912778e-03	1.793289505657077402e-03	2.355598809374614966e+00	9.899732062825467693e+00	nan
nan	4.376000000000000000e+03	8.752000000000000890e-01	nan	5.000000000000000000e+01	4.435370179611482049e-03	2.950384340362208809e-03	1.767222142548208847e-03	2.265193551145417761e+00	9.912531008137161592e+00	nan
nan	4.510880000000000109e+03	9.021759999999998669e-01	nan	5.200000000000000000e+01	4.571541436971528552e-03	2.992533532863887909e-03	1.760638547642560557e-03	2.280724456602652328e+00	1.028783390243151175e+01	nan
nan	4.671359999999999673e+03	9.342719999999999914e-01	nan	5.400000000000000000e+01	4.676010802211294330e-03	2.924628063468136859e-03	1.781891410174772043e-03	2.311910411722994496e+00	1.079842690424410101e+01	nan
nan	4.814119999999999891e+03	9.628240000000000132e-01	nan	5.600000000000000000e+01	4.885349404066800620e-03	2.821145088251431933e-03	1.750549564718257515e-03	2.293179908004703726e+00	1.104084559379317376e+01	nan
nan	4.966159999999999854e+03	9.932320000000001148e-01	nan	5.800000000000000000e+01	5.203358892838423795e-03	2.937792601196135677e-03	1.739114425724156169e-03	2.235899162506660875e+00	1.110376691099422786e+01	nan
nan	5.118039999999999964e+03	1.023608000000000073e+00	nan	6.000000000000000000e+01	5.401591268084758243e-03	3.055603644095895594e-03	1.708238887578300514e-03	2.229645044874902116e+00	1.141352336947399770e+01	nan
nan	5.245440000000000509e+03	1.049088000000000021e+00	nan	6.200000000000000000e+01	5.514272088487359551e-03	2.936765320036640019e-03	1.784049442209315831e-03	2.253910017927761356e+00	1.182144090054636543e+01	nan
nan	5.388399999999999636e+03	1.077679999999999971e+00	nan	6.400000000000000000e+01	5.753816690532857596e-03	2.799691295466798582e-03	1.757031751792091949e-03	2.227701976608577716e+00	1.200536641407184035e+01	nan
nan	5.538280000000000655e+03	1.107655999999999974e+00	nan	6.600000000000000000e+01	6.026262589991802053e-03	2.952801311915719505e-03	1.728654009313581198e-03	2.193471679338468316e+00	1.214771932217456296e+01	nan
nan	5.643680000000000291e+03	1.128735999999999740e+00	nan	6.800000000000000000e+01	6.176717726191327529e-03	2.893636058760424689e-03	1.718960441151867052e-03	2.203033110066913824e+00	1.243454383125364515e+01	nan
nan	5.786840000000000146e+03	1.157367999999999952e+00	nan	7.000000000000000000e+01	6.934524384982978726e-03	2.951349367359933952e-03	1.731801117358141694e-03	2.019820065265663267e+00	1.168847590140357440e+01	nan
nan	5.892000000000000000e+03	1.178400000000000114e+00	nan	7.200000000000000000e+01	6.506133948287242882e-03	2.910409050944446664e-03	1.755457866324617710e-03	2.216618070852660161e+00	1.305960648547944025e+01	nan
nan	6.053600000000000364e+03	1.210720000000000018e+00	nan	7.400000000000000000e+01	6.995597824775360088e-03	2.988896613702408771e-03	1.721547719229662293e-03	2.123776935411884281e+00	1.285963188454490513e+01	nan
nan	6.158000000000000000e+03	1.231599999999999806e+00	nan	7.600000000000000000e+01	7.352596203365919895e-03	2.936412551521576028e-03	1.764611473646885949e-03	2.075398614337199188e+00	1.277903077445019520e+01	nan
