,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,50,2.25,1,500000.0,,359.44,0.071888,,10.0,0.00038625253859635216,0.0021444862505511034,0.002270072762323516,5.197339552930657,1.8694869506004772,
1,1,0.05,60,2.25,1,500000.0,,591.64,0.118328,,12.0,0.00047693210283597406,0.002163580724101233,0.002269659353718325,5.035785303250838,2.9793471128720235,
2,2,0.05,70,2.25,1,500000.0,,758.6,0.15172000000000002,,14.0,0.0005809909849301676,0.00213057403109178,0.0022758648831063457,4.837859591054634,3.671758505901568,
3,3,0.05,80,2.25,1,500000.0,,900.92,0.18018400000000004,,16.0,0.0006997499388046436,0.0021525728771661567,0.0022542682965528285,4.611492131674305,4.155527018984673,
4,4,0.05,90,2.25,1,500000.0,,1047.36,0.209472,,18.0,0.0008316895878903097,0.0022149647142885877,0.0023152023076503368,4.358340611884296,4.568026147267709,
5,5,0.05,100,2.25,1,500000.0,,1193.4,0.23867999999999995,,20.0,0.0009444738343142944,0.002135020219944305,0.0022827086444989616,4.249686378226165,5.070400908820875,
6,6,0.05,110,2.25,1,500000.0,,1344.8799999999999,0.268976,,22.0,0.0010303734361679063,0.0022196299020193254,0.0023066909788986407,4.27547271831604,5.750843147062065,
7,7,0.05,120,2.25,1,500000.0,,1470.12,0.294024,,24.0,0.0011848124739196918,0.0022257430332980714,0.002307850609253263,4.0572548919831215,5.9665060177429705,
8,8,0.05,130,2.25,1,500000.0,,1613.76,0.322752,,26.0,0.0012994221226267655,0.0021726023175400403,0.002348168475311991,4.024506928582823,6.499202856637528,
9,9,0.05,140,2.25,1,500000.0,,1738.04,0.347608,,28.0,0.0014535956346685452,0.0022142980402410604,0.0023435388088977804,3.857068228917913,6.701540366539297,
10,10,0.05,150,2.25,1,500000.0,,1868.28,0.373656,,30.0,0.0015523396904893617,0.0020440969193637414,0.002315787461362274,3.9029935193189553,7.295328802915918,
11,11,0.05,160,2.25,1,500000.0,,2001.44,0.400288,,32.0,0.001740566058898594,0.0021505690041648366,0.002319664043520039,3.693837463762532,7.3912719399650495,
12,12,0.05,170,2.25,1,500000.0,,2106.6400000000003,0.421328,,34.0,0.0018143252022230169,0.0021811241638218138,0.002333334240875898,3.7513645485720857,7.903490822990226,
13,13,0.05,180,2.25,1,500000.0,,2260.52,0.452104,,36.0,0.0018760753885385384,0.00214540095038586,0.00234627056500212,3.8417106677068658,8.686335619887936,
14,14,0.05,190,2.25,1,500000.0,,2368.72,0.473744,,38.0,0.0020828309917965268,0.00206469312980525,0.002346003278644056,3.6831351933025696,8.71476922822291,
15,15,0.05,200,2.25,1,500000.0,,2492.72,0.498544,,40.0,0.002282510822435597,0.0022106953784302896,0.002307142405503777,3.509687752977229,8.748849167362248,
16,16,0.05,210,2.25,1,500000.0,,2603.72,0.520744,,42.0,0.0024662173218018774,0.002102237518978033,0.002328602403363419,3.4279451821950846,8.927856975636201,
17,17,0.05,220,2.25,1,500000.0,,2727.52,0.545504,,44.0,0.002664090561363537,0.0021532073658991112,0.0023643088649340773,3.3104389089945774,9.028336473915312,
18,18,0.05,230,2.25,1,500000.0,,2834.16,0.566832,,46.0,0.0027691397657633844,0.0019823631648217014,0.0023420505474371807,3.332218414459569,9.443595528113264,
19,19,0.05,240,2.25,1,500000.0,,2943.44,0.5886880000000001,,48.0,0.0030152398500365506,0.00215658416790916,0.002289445675709507,3.1878190827767448,9.385207331672689,
20,20,0.05,250,2.25,1,500000.0,,3041.12,0.6082239999999999,,50.0,0.003141775018515318,0.0021247075342676024,0.0023609114541191783,3.1976067414217755,9.723976752046086,
21,21,0.05,260,2.25,1,500000.0,,3168.6,0.6337200000000001,,52.0,0.0033057723875526785,0.002123252429567831,0.002325221132230461,3.151476410471881,9.987178781816382,
22,22,0.05,270,2.25,1,500000.0,,3242.12,0.6484240000000001,,54.0,0.0034125317111124783,0.0020820656755167416,0.002354050575522373,3.183737242648472,10.32388070504142,
23,23,0.05,280,2.25,1,500000.0,,3347.36,0.669472,,56.0,0.0035636525098948365,0.002089350077400651,0.002365362275597121,3.15032245251325,10.542991498783582,
24,24,0.05,290,2.25,1,500000.0,,3436.4800000000005,0.6872959999999999,,58.0,0.0037287558212960896,0.002156758957306904,0.0023228664585282924,3.125163990251212,10.74024978405174,
25,25,0.05,300,2.25,1,500000.0,,3539.44,0.7078880000000001,,60.0,0.003947510784494171,0.002134619330206684,0.002347679711923439,3.0458919110392135,10.780819316340628,
26,26,0.05,310,2.25,1,500000.0,,3666.2,0.73324,,62.0,0.004111492025642747,0.0020679843644360223,0.00230303250907292,3.0196053789114194,11.070006450868508,
27,27,0.05,320,2.25,1,500000.0,,3715.88,0.7431759999999998,,64.0,0.004402922437532197,0.0020562333291877038,0.0023395077826826754,2.911203716799519,10.819139800702173,
28,28,0.05,330,2.25,1,500000.0,,3828.8,0.76576,,66.0,0.004586282536668022,0.0021127182082289666,0.0023171909641748396,2.879662542388377,11.025751337489108,
29,29,0.05,340,2.25,1,500000.0,,3903.64,0.780728,,68.0,0.004832805530679707,0.0020656955832189295,0.0023367081405115888,2.816635884027054,10.99420422024274,
30,30,0.05,350,2.25,1,500000.0,,4002.96,0.8005919999999999,,70.0,0.005275660308543593,0.002201985554975139,0.0023770109519866607,2.658404868098969,10.643647374610582,
31,31,0.05,360,2.25,1,500000.0,,4090.24,0.818048,,72.0,0.005278628891483094,0.002151516043606431,0.002331464242778121,2.737186269213326,11.195586373489382,
32,32,0.05,370,2.25,1,500000.0,,4139.48,0.8278960000000003,,74.0,0.005372184740119792,0.002033057130284485,0.00229978989291822,2.7605987173839828,11.426345265042876,
33,33,0.05,380,2.25,1,500000.0,,4241.6,0.8483199999999999,,76.0,0.0056988540494990044,0.0021152464745661935,0.002375049357837903,2.671012267238903,11.327674026005816,
34,34,0.05,390,2.25,1,500000.0,,4325.76,0.8651519999999998,,78.0,0.0059766612762769,0.0021322789501811174,0.0023841337375158683,2.625348044137397,11.35385962411174,
35,35,0.05,400,2.25,1,500000.0,,4405.96,0.881192,,80.0,0.005950940618877212,0.0020275808532367445,0.002334271905899513,2.6977192669636394,11.887634548849912,
36,36,0.05,410,2.25,1,500000.0,,4485.2,0.8970400000000002,,82.0,0.00615209006549776,0.0022061558394206046,0.00234308471965241,2.667560200696996,11.96473217989765,
37,37,0.05,420,2.25,1,500000.0,,4575.48,0.915096,,84.0,0.0065847362917384085,0.0021661039826629657,0.0022892330967641907,2.562494583137443,11.726655316617064,
38,38,0.05,430,2.25,1,500000.0,,4634.0,0.9267999999999998,,86.0,0.006650505225402411,0.002209957985458783,0.0023230618568987086,2.5917164925508605,12.008570052312574,
39,39,0.05,440,2.25,1,500000.0,,4737.84,0.947568,,88.0,0.007134654040585246,0.0022491683242191183,0.00233949156238506,2.476342329261686,11.733161267912187,
40,40,0.05,450,2.25,1,500000.0,,4779.68,0.955936,,90.0,0.007222116532218478,0.0020536058842137808,0.002346534889259932,2.495913565603228,11.928021111576115,
41,41,0.05,460,2.25,1,500000.0,,4872.04,0.974408,,92.0,0.007339890745706725,0.0021148742747847385,0.002362675492740281,2.5083552237835933,12.221637072311264,
42,42,0.05,470,2.25,1,500000.0,,4939.92,0.987984,,94.0,0.007711297701923741,0.0021359330396573738,0.00235301090845452,2.4471847242144484,12.08806790423148,
43,43,0.05,480,2.25,1,500000.0,,5004.2,1.00084,,96.0,0.00784471886068559,0.0020974436332513906,0.0023772414686587164,2.4480177446841767,12.25014371761874,
44,44,0.05,490,2.25,1,500000.0,,5099.48,1.019896,,98.0,0.008114737982102722,0.0021060743811551577,0.002343761045646472,2.417513805565705,12.328811473102943,
45,45,0.05,500,2.25,1,500000.0,,5177.6,1.03552,,100.0,0.008292986439353169,0.002199194972585217,0.0023617518127450783,2.412523581230518,12.491667847214716,
46,46,0.05,510,2.25,1,500000.0,,5197.68,1.039536,,102.0,0.008525186640060838,0.0020518289697069505,0.0023633055059550014,2.3993459903651124,12.471186242109685,
47,47,0.05,520,2.25,1,500000.0,,5254.92,1.050984,,104.0,0.008903061445535059,0.002175374788622388,0.0022947094118348087,2.339570548872944,12.29465296019177,
48,48,0.05,530,2.25,1,500000.0,,5358.24,1.071648,,106.0,0.008946061813248888,0.002068185808135481,0.0023372982046388708,2.376180439087973,12.733721517877083,
49,49,0.05,540,2.25,1,500000.0,,5397.0,1.0794,,108.0,0.009201882924721757,0.002017341733048176,0.002341663769282917,2.352866369740013,12.698849585919191,
50,50,0.05,550,2.25,1,500000.0,,5484.24,1.096848,,110.0,0.009244816203340632,0.002158572387045605,0.0023287175670049,2.388506308926252,13.101352999113468,
51,51,0.05,560,2.25,1,500000.0,,5516.6,1.1033199999999999,,112.0,0.009879135965443313,0.002012362223327337,0.0023434176186106345,2.2702794778212545,12.523542512553908,
52,52,0.05,570,2.25,1,500000.0,,5587.52,1.1175039999999998,,114.0,0.010322924477118248,0.002058402269261505,0.002349832479669126,2.2093497121848804,12.3446751447865,
53,53,0.05,580,2.25,1,500000.0,,5661.68,1.132336,,116.0,0.010299559067007066,0.0020705116206738185,0.0023330732457013783,2.258755531922761,12.786602376551532,
54,54,0.05,590,2.25,1,500000.0,,5729.2,1.14584,,118.0,0.010540775164063232,0.0020875211862034625,0.002339534703026654,2.2408339513355005,12.838437420376994,
55,55,0.05,600,2.25,1,500000.0,,5791.04,1.158208,,120.0,0.010816328948621959,0.0019304114795010497,0.002333944259732116,2.230516142455237,12.913677121089538,
56,56,0.05,610,2.25,1,500000.0,,5846.32,1.1692639999999999,,122.0,0.010942740657374089,0.002120055839737465,0.0023445708878680792,2.2314937028811874,13.047348700922992,
57,57,0.05,620,2.25,1,500000.0,,5908.32,1.181664,,124.0,0.011171344570120707,0.002111260017260217,0.0023242278074779364,2.2286187608898,13.17017057178742,
58,58,0.05,630,2.25,1,500000.0,,5971.84,1.194368,,126.0,0.011282126415858329,0.002133466638134845,0.0023598596220462858,2.2351019754343304,13.34794347248522,
59,59,0.05,640,2.25,1,500000.0,,6024.52,1.204904,,128.0,0.011414968218268769,0.002030630573640216,0.0023252236141693807,2.246998000064476,13.536960280684225,
60,60,0.05,650,2.25,1,500000.0,,6071.92,1.214384,,130.0,0.012092022136844205,0.002070249815662356,0.002321560141623039,2.153395059988487,13.07225964452778,
61,61,0.05,660,2.25,1,500000.0,,6114.16,1.222832,,132.0,0.012787196908921033,0.0020162628008709325,0.002337791446500939,2.0663057709163803,12.633809757086755,
62,62,0.05,670,2.25,1,500000.0,,6159.32,1.2318639999999998,,134.0,0.012354159852643532,0.0020944835509606654,0.0023311215037298714,2.1730472196840287,13.38532470340228,
63,63,0.05,680,2.25,1,500000.0,,6244.2,1.24884,,136.0,0.012789600159971996,0.0020964816248230022,0.002335195009324952,2.132395189620083,13.313067938995422,
64,64,0.05,690,2.25,1,500000.0,,6287.56,1.257512,,138.0,0.01308128912936354,0.0021093627593192494,0.0023219978939356062,2.112465875408742,13.281604649394996,
65,65,0.05,700,2.25,1,500000.0,,6357.52,1.2715039999999995,,140.0,0.013461808686770382,0.0021557197729542956,0.00233610869579108,2.086376386055856,13.260523327544972,
66,66,0.05,710,2.25,1,500000.0,,6405.4400000000005,1.281088,,142.0,0.013867869322843944,0.001962002453247469,0.0023372674846869083,2.0546078082079124,13.162440565014927,
67,67,0.05,720,2.25,1,500000.0,,6443.4,1.2886799999999998,,144.0,0.014130040612876652,0.0020128718370621117,0.0023120624890585924,2.043078767132776,13.161359525912996,
68,68,0.05,730,2.25,1,500000.0,,6502.2,1.30044,,146.0,0.01443453583702194,0.0020515117560873024,0.0023474294305660007,2.027625199116226,13.18279534669411,
69,69,0.05,740,2.25,1,500000.0,,6588.56,1.3177120000000002,,148.0,0.014569166552369098,0.0021412680882968195,0.002362133508632479,2.042235048098,13.455451640047013,
70,70,0.05,750,2.25,1,500000.0,,6621.24,1.324248,,150.0,0.014446690143031444,0.002014276055168569,0.002376914487107131,2.0828863988732564,13.792568078653561,
71,71,0.05,760,2.25,1,500000.0,,6691.839999999999,1.3383679999999996,,152.0,0.015024219739698311,0.002072242639145687,0.002341231966600561,2.0256003230683,13.556327220235811,
72,72,0.05,770,2.25,1,500000.0,,6724.360000000001,1.344872,,154.0,0.015247298118474644,0.002136986562209848,0.002351450161661656,2.020210863368864,13.584288344672908,
73,73,0.05,780,2.25,1,500000.0,,6801.88,1.360376,,156.0,0.016113948230663484,0.002057558881033039,0.0023315150538101475,1.9402285967004225,13.19858882954774,
74,74,0.05,790,2.25,1,500000.0,,6814.2,1.3628399999999998,,158.0,0.01617147971682243,0.0020215449384806488,0.0023527363793473454,1.9548208175501136,13.321316030834023,
75,75,0.05,800,2.25,1,500000.0,,6875.56,1.375112,,160.0,0.016517134571672615,0.0019835501288678523,0.002349737127980541,1.940771284763856,13.343820034336307,
76,76,0.05,810,2.25,1,500000.0,,6925.8,1.38516,,162.0,0.016764938319706744,0.002093594964198831,0.002326557842964349,1.938208375675092,13.422349713236333,
77,77,0.05,820,2.25,1,500000.0,,6982.92,1.396584,,164.0,0.017213425693439605,0.0021725337352180734,0.002341653123469696,1.9078989679483007,13.32437137026348,
78,78,0.05,830,2.25,1,500000.0,,7048.48,1.4096959999999998,,166.0,0.01745275049130214,0.0020743410938043375,0.002374429332091182,1.9066572415772007,13.438561761655304,
79,79,0.05,840,2.25,1,500000.0,,7062.68,1.412536,,168.0,0.017765664204175663,0.002078825399810192,0.002359859365184295,1.8927887880927143,13.36756592692213,
80,80,0.05,850,2.25,1,500000.0,,7121.76,1.424352,,170.0,0.018021435852547257,0.00215498449770373,0.002314071991449736,1.8895608818710636,13.459028568507955,
81,81,0.05,860,2.25,1,500000.0,,7197.08,1.439416,,172.0,0.018553540878751842,0.0021230362478120795,0.0023782491706335193,1.8548284094751055,13.349797001090295,
82,82,0.05,870,2.25,1,500000.0,,7195.68,1.439136,,174.0,0.018240727292709376,0.0021414188341259766,0.0023475593388392686,1.908139810990152,13.730611115589962,
83,83,0.05,880,2.25,1,500000.0,,7252.36,1.450472,,176.0,0.019078509455671334,0.0020678304939253916,0.0023421799971415024,1.8458275148697836,13.385960871717739,
84,84,0.05,890,2.25,1,500000.0,,7282.76,1.4565519999999998,,178.0,0.019306513708888813,0.0021171962155850112,0.0023542897003251567,1.8464242430561248,13.44655954826182,
