,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,50,2.25,1,500000.0,,2388.6,0.47772,,50.0,0.0020135484124423897,0.011131535218547284,0.0117231994422216,25.0066565950108,11.937818753729786,
1,1,0.05,60,2.25,1,500000.0,,3097.4,0.61948,,60.0,0.002386939079707417,0.011245258888747434,0.011646581481524624,25.25305375994304,15.642434883859924,
2,2,0.05,70,2.25,1,500000.0,,3741.8,0.7483599999999998,,70.0,0.002961368333265568,0.01193082901408228,0.011596901393410752,23.68895920594268,17.72931108077414,
3,3,0.05,80,2.25,1,500000.0,,4466.6,0.89332,,80.0,0.0035605087788212588,0.010634583753827549,0.011536500372894092,22.506369585018103,20.10540615794884,
4,4,0.05,90,2.25,1,500000.0,,5254.2,1.05084,,90.0,0.004226671365043444,0.01085306823908525,0.01147436075840436,21.36734390046564,22.456911945844215,
5,5,0.05,100,2.25,1,500000.0,,5901.0,1.1802,,100.0,0.004542115575904404,0.011194648650035059,0.011439076725778556,22.07285841008045,26.060553919852094,
6,6,0.05,110,2.25,1,500000.0,,6708.6,1.34172,,110.0,0.005098524796869697,0.010586550069042747,0.011692072104825407,21.639091298359286,29.026551366727823,
7,7,0.05,120,2.25,1,500000.0,,7356.6,1.47132,,120.0,0.005851216707290519,0.010632877540072107,0.011519745901743693,20.65110471931437,30.382573181910363,
8,8,0.05,130,2.25,1,500000.0,,8083.6,1.61672,,130.0,0.0064611860561342395,0.010590432629750764,0.011592284333032596,20.25178505924385,32.74616650406367,
9,9,0.05,140,2.25,1,500000.0,,8754.8,1.7509600000000003,,140.0,0.007161296663502981,0.010749305314234688,0.011689341255148452,19.613639919707182,34.336584615067714,
10,10,0.05,150,2.25,1,500000.0,,9295.8,1.85916,,150.0,0.007709991372581726,0.010600189380792574,0.01154935296642572,19.511280209833583,36.2922934133398,
11,11,0.05,160,2.25,1,500000.0,,10084.6,2.01692,,160.0,0.008809006150255528,0.01038800507641709,0.011564306938276687,18.21717291267212,36.756386390746414,
12,12,0.05,170,2.25,1,500000.0,,10685.4,2.13708,,170.0,0.008959672616373381,0.010373032441354976,0.011546725283342291,18.985502340756696,40.5699815415712,
13,13,0.05,180,2.25,1,500000.0,,11279.8,2.25596,,180.0,0.010163490712653812,0.010814842396020633,0.011667482716189195,17.767049628769264,40.08696092428484,
14,14,0.05,190,2.25,1,500000.0,,11866.6,2.37332,,190.0,0.010736069308239848,0.010811035353067633,0.011608971869891264,17.763905950632626,42.15894716005918,
15,15,0.05,200,2.25,1,500000.0,,12419.0,2.4837999999999996,,200.0,0.01130385381222254,0.010435098349057226,0.011613820784477615,17.825828217569676,44.27844476250898,
16,16,0.05,210,2.25,1,500000.0,,13074.4,2.61488,,210.0,0.012540890401203342,0.010511426506777707,0.0116356119614324,16.815916157707846,43.96997978823872,
17,17,0.05,220,2.25,1,500000.0,,13627.2,2.72544,,220.0,0.012834792085436674,0.010597197268290498,0.011368140567738414,17.1643099059967,46.7756241338373,
18,18,0.05,230,2.25,1,500000.0,,14075.4,2.8150799999999996,,230.0,0.014544676518357844,0.010594349335158732,0.011767659095301156,15.847985377559999,44.61122340695529,
19,19,0.05,240,2.25,1,500000.0,,14692.8,2.93856,,240.0,0.014799543226610012,0.010634616083125008,0.011503912748183643,16.250513604858956,47.75676772999667,
