,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.05,502,2,500000.0,1.17662360156545,,22264.0,4.4528,,502.0,0.06985665427407639,0.014346890096751663,0.008622166405159332,7.186144329650364,31.998463471067144,
1,1,0.05,504,2,500000.0,1.17747901516844,,22511.0,4.5022,,504.0,0.0639848597346031,0.014050587196843546,0.008728415479680625,7.876863403162797,35.46321441371954,
2,2,0.05,506,2,500000.0,1.17837189466193,,22626.0,4.5252,,506.0,0.07096525738933224,0.013368215164459284,0.008779144310517377,7.130249626573804,32.265805610171775,
3,3,0.05,508,2,500000.0,1.1791362468331,,22460.0,4.492,,508.0,0.07647080097660819,0.014959711749096055,0.008584031077620232,6.643058442076384,29.840618521807116,
4,4,0.05,510,2,500000.0,1.18000708146274,,22338.0,4.4676,,510.0,0.07888284441492031,0.015039446747266774,0.008643898499625257,6.465284103060765,28.884303258834272,
5,5,0.05,512,2,500000.0,1.18089388467086,,22312.0,4.4624,,512.0,0.06664823189197477,0.012873873161997307,0.008411203251569372,7.682124273452043,34.2807113578524,
6,6,0.05,514,2,500000.0,1.18169303123046,,22367.0,4.473400000000001,,514.0,0.07619269563360832,0.015009695897908293,0.008218476587014785,6.746053486172716,30.177795665045032,
7,7,0.05,516,2,500000.0,1.18256256858225,,22599.0,4.5198,,516.0,0.07907763699813587,0.014669031218646692,0.00864220738520416,6.5252329177737565,29.492747741753824,
8,8,0.05,518,2,500000.0,1.18333929872482,,22364.0,4.4728,,518.0,0.07391326511231,0.01471058152609952,0.009152122177012577,7.008214279438305,31.346340829071647,
9,9,0.05,520,2,500000.0,1.18413280440169,,22292.0,4.4584,,520.0,0.07285937555036524,0.014246909338136078,0.008712563997212337,7.137036188850416,31.819762144370692,
10,10,0.05,522,2,500000.0,1.184814908884,,22562.0,4.5124,,522.0,0.07360180865975961,0.01578376620660654,0.00898123081267683,7.092217018919448,32.00292007617212,
11,11,0.05,524,2,500000.0,1.18564428721044,,22460.0,4.492,,524.0,0.06489547447449695,0.014356359717601932,0.008832782557370673,8.074522980888675,36.27075723015192,
12,12,0.05,526,2,500000.0,1.18623535979449,,22072.0,4.4144000000000005,,526.0,0.06521593881302579,0.013824928458310183,0.008850457313540765,8.065512964676365,35.604400431267344,
13,13,0.05,528,2,500000.0,1.18691311580508,,22335.0,4.4670000000000005,,528.0,0.07454094572085523,0.015209156174859573,0.008784162738852016,7.083355260574256,31.641347948985207,
14,14,0.05,530,2,500000.0,1.18740617352132,,22435.0,4.487,,530.0,0.06802970617491155,0.014455016060778666,0.008600957418363434,7.790714230593824,34.956934752674485,
15,15,0.05,532,2,500000.0,1.18810554884438,,22587.0,4.5174,,532.0,0.07193013417918337,0.013912067948678504,0.00887914793153935,7.39606572503741,33.410987306284,
16,16,0.05,534,2,500000.0,1.18943277689967,,22424.0,4.4848,,534.0,0.07325455468003382,0.015503285121521068,0.008799221305402682,7.289649119190487,32.69261836974549,
17,17,0.05,536,2,500000.0,1.19165789569026,,22087.0,4.4174,,536.0,0.07267676622882391,0.01579276444978965,0.008419358806901978,7.375121759165727,32.57886285893868,
18,18,0.05,538,2,500000.0,1.1933953170949,,22020.0,4.404,,538.0,0.08090581904048123,0.01518814859753952,0.008580560085873682,6.6497071085926684,29.28531010624211,
19,19,0.05,540,2,500000.0,1.19462031821519,,21989.0,4.3978,,540.0,0.07891156736263838,0.014920828292837904,0.008687640713556353,6.843103210945338,30.094599301095407,
20,20,0.05,542,2,500000.0,1.19557065892945,,22021.0,4.4042,,542.0,0.06629922803494992,0.01317753580419612,0.008582231517333333,8.175057479014422,36.00458814907532,
21,21,0.05,544,2,500000.0,1.19668353378915,,21911.0,4.3822,,544.0,0.07761319681139865,0.015483557398997013,0.008882655717189629,7.009117293827349,30.715353805010206,
22,22,0.05,546,2,500000.0,1.19757869607337,,21692.0,4.3384,,546.0,0.07894963264322995,0.015287365997174927,0.008775335513496102,6.915801653787939,30.003513894793596,
23,23,0.05,548,2,500000.0,1.19860065465315,,21573.0,4.3146,,548.0,0.06711043889060875,0.014894652067930024,0.009181443296239152,8.16564470533787,35.231490645650766,
24,24,0.05,550,2,500000.0,1.19963845879841,,21288.0,4.2576,,550.0,0.08150657356020474,0.014925932502278857,0.008898164929133786,6.747921989307318,28.72995266167484,
25,25,0.05,552,2,500000.0,1.20065872263705,,21163.0,4.232600000000001,,552.0,0.08121389134373658,0.014388031412716452,0.008734350645374681,6.796866778168138,28.768418325274464,
26,26,0.05,554,2,500000.0,1.20181115118366,,21349.0,4.2698,,554.0,0.0772507893597094,0.0149564474748812,0.008687575483600024,7.171447755962244,30.62064762840759,
27,27,0.05,556,2,500000.0,1.20295231364558,,20790.0,4.158,,556.0,0.06915885023147439,0.012744447479869093,0.008396231460021905,8.03946274611377,33.42808609834105,
28,28,0.05,558,2,500000.0,1.20410472404016,,20537.0,4.1074,,558.0,0.07393228775788428,0.01570952148745095,0.008709553725777043,7.547446682934463,31.00038250548501,
29,29,0.05,560,2,500000.0,1.20514112000624,,20316.0,4.0632,,560.0,0.07357138705583564,0.013941724099382744,0.008605356654360932,7.611654780614619,30.927675704593323,
30,30,0.05,562,2,500000.0,1.20653239223348,,19587.0,3.9174,,562.0,0.07940596709863712,0.01399587444895857,0.008670859309215562,7.07755374733854,27.725609049824005,
31,31,0.05,564,2,500000.0,1.20811897847302,,19110.0,3.822,,564.0,0.06834835992719945,0.015057311418829175,0.008883837999049059,8.251843944766762,31.538547556898564,
32,32,0.05,566,2,500000.0,1.2098506842126,,17954.0,3.5908,,566.0,0.07683252855599677,0.01567141729336902,0.008985501471787297,7.366671521001555,26.452244097612382,
33,33,0.05,568,2,500000.0,1.21147483348648,,17120.0,3.424,,568.0,0.0751076294120594,0.014402380415976692,0.008270017557586523,7.562480728606262,25.89393401474784,
34,34,0.05,570,2,500000.0,1.21322571296527,,15760.0,3.152,,570.0,0.07160141493488936,0.014248151551717547,0.00847402294116687,7.960736537376093,25.092241565809445,
35,35,0.05,572,2,500000.0,1.22040172983306,,4337.0,0.8673999999999998,,572.0,0.07533891170635344,0.012824963156723879,0.008654286447979569,7.5923581459401746,6.5856114557885075,
36,36,0.05,574,2,500000.0,1.22372713714585,,749.0,0.1498,,574.0,0.060600920747106095,0.013219059365433466,0.007492247277846376,9.471803281593052,1.4188761315826393,
37,37,0.05,576,2,500000.0,1.22027554950736,,7689.0,1.5377999999999998,,576.0,0.07337092884267805,0.014991339899740932,0.008779420788097327,7.850520759183235,12.07253082347198,
38,38,0.05,578,2,500000.0,1.21702969464689,,10076.0,2.0152,,578.0,0.0771148634939891,0.013489292808367649,0.008495457048233148,7.495312496339354,15.104553742623068,
39,39,0.05,580,2,500000.0,1.21534946177801,,12815.0,2.563,,580.0,0.08716291955249744,0.014582963263353628,0.00849707868145709,6.654205744573198,17.054729323341107,
40,40,0.05,582,2,500000.0,1.21559007975785,,13329.0,2.6658,,582.0,0.08953947123779926,0.01584739802099064,0.008728663089343697,6.499926702206252,17.327504602741428,
41,41,0.05,584,2,500000.0,1.21587072513883,,13768.0,2.7536,,584.0,0.06976323095864245,0.015415696951966798,0.008859383772125789,8.371171919290997,23.05085899695969,
42,42,0.05,586,2,500000.0,1.21614745395122,,14424.0,2.8848,,586.0,0.07889246388685933,0.013855315849269915,0.008638017237652042,7.427832407926693,21.42781093038692,
43,43,0.05,588,2,500000.0,1.21641984515278,,14995.0,2.999,,588.0,0.07459204969541133,0.013552267619171795,0.008915048595411998,7.882877631075098,23.640750015594215,
44,44,0.05,590,2,500000.0,1.21696884226858,,15180.0,3.036,,590.0,0.07933763392134097,0.013950305881065014,0.008655712377785908,7.436571660114714,22.577431560108266,
45,45,0.05,592,2,500000.0,1.21747564218327,,15370.0,3.074,,592.0,0.06878389044743471,0.014209853655123866,0.008745645291284377,8.606666417806244,26.456892568336393,
46,46,0.05,594,2,500000.0,1.21811891168984,,15642.0,3.1284,,594.0,0.08378699986883476,0.013876686148254696,0.0090838640525209,7.089405288766558,22.178495505377303,
47,47,0.05,596,2,500000.0,1.21860384648691,,15990.0,3.198,,596.0,0.08731643152350443,0.01419225335290329,0.008489215993311122,6.825748482856455,21.828743648174942,
48,48,0.05,598,2,500000.0,1.21910049382016,,16108.0,3.2216,,598.0,0.08108199102559865,0.014757993862975011,0.008707145074885621,7.375250563484605,23.760107215322,
49,49,0.05,600,2,500000.0,1.21985929056978,,16609.0,3.3218,,600.0,0.07813573713076492,0.013324951716708285,0.008582024906274374,7.678944642140678,25.507918312262905,
50,50,0.05,602,2,500000.0,1.22050059246538,,16924.0,3.3848,,602.0,0.08679836354849613,0.014745817284685332,0.008870540974265453,6.93561462899758,23.475668396231008,
51,51,0.05,604,2,500000.0,1.22113579614298,,16756.0,3.3512,,604.0,0.08410305210031765,0.013465906973245574,0.008760018649583097,7.181665646087995,24.067197913170087,
52,52,0.05,606,2,500000.0,1.22175151083902,,16830.0,3.366,,606.0,0.08564512603220464,0.013840176729189092,0.008915664072152803,7.075709127593896,23.81683692348105,
53,53,0.05,608,2,500000.0,1.22238215795596,,17126.0,3.4252,,608.0,0.07697922973534332,0.015329609581852217,0.00872944240158279,7.898234395048126,27.05303244991884,
54,54,0.05,610,2,500000.0,1.22318836533182,,17350.0,3.47,,610.0,0.07291343076337853,0.013186994483715731,0.008732845344337697,8.366085556714449,29.03031688179913,
55,55,0.05,612,2,500000.0,1.22388822314828,,17128.0,3.4256,,612.0,0.08121956999298163,0.01358416806960598,0.008693911767496076,7.535129772946154,25.812340550204343,
56,56,0.05,614,2,500000.0,1.2245971197151,,17061.0,3.4122,,614.0,0.08337802518440185,0.014770282273696214,0.008698130304830099,7.36405064334464,25.12761360522058,
57,57,0.05,616,2,500000.0,1.2252878876884,,17786.0,3.5572,,616.0,0.08392270758258745,0.01599389708965541,0.008857993837651233,7.340087298706381,26.110158538958338,
58,58,0.05,618,2,500000.0,1.225923815419,,17536.0,3.5072,,618.0,0.09048980605484755,0.013008741249740436,0.008552519628745966,6.829498558383676,23.952417343963237,
59,59,0.05,620,2,500000.0,1.22668718395639,,17966.0,3.5932,,620.0,0.08479294652033785,0.01457294676719912,0.009067701767567432,7.311928945071994,26.273223085432686,
60,60,0.05,622,2,500000.0,1.22741865002142,,17906.0,3.5811999999999995,,622.0,0.07359148150544571,0.015306258443950739,0.008761714569681894,8.452065202057014,30.268535901606576,
61,61,0.05,624,2,500000.0,1.22816432589286,,17904.0,3.5808,,624.0,0.08872444541157165,0.014331787657634931,0.008699059211081505,7.033010993818132,25.183805766663966,
62,62,0.05,626,2,500000.0,1.22887045718098,,17796.0,3.5592,,626.0,0.07860539916327981,0.0137017902612544,0.008392729547586518,7.9638295417808065,28.344862105106245,
63,63,0.05,628,2,500000.0,1.22959507691401,,18268.0,3.6536,,628.0,0.08951743669570078,0.01556223383079033,0.009070047691953288,7.015393013707247,25.6314399148808,
