# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.226400000000000000e+04	4.452799999999999869e+00	nan	5.020000000000000000e+02	6.985665427407639072e-02	1.434689009675166327e-02	8.622166405159333719e-03	7.186144329650365314e+00	3.199846347106714362e+01	nan
nan	2.251100000000000000e+04	4.502200000000000202e+00	nan	5.040000000000000000e+02	6.398485973460310561e-02	1.405058719684354647e-02	8.728415479680624867e-03	7.876863403162796651e+00	3.546321441371954108e+01	nan
nan	2.262600000000000000e+04	4.525199999999999889e+00	nan	5.060000000000000000e+02	7.096525738933223693e-02	1.336821516445928400e-02	8.779144310517376579e-03	7.130249626573803567e+00	3.226580561017177473e+01	nan
nan	2.246000000000000000e+04	4.491999999999999993e+00	nan	5.080000000000000000e+02	7.647080097660818865e-02	1.495971174909605482e-02	8.584031077620232070e-03	6.643058442076384296e+00	2.984061852180711583e+01	nan
nan	2.233800000000000000e+04	4.467600000000000016e+00	nan	5.100000000000000000e+02	7.888284441492032784e-02	1.503944674726677422e-02	8.643898499625254916e-03	6.465284103060764842e+00	2.888430325883427230e+01	nan
nan	2.231200000000000000e+04	4.462399999999999700e+00	nan	5.120000000000000000e+02	6.664823189197477404e-02	1.287387316199730888e-02	8.411203251569372014e-03	7.682124273452043184e+00	3.428071135785239676e+01	nan
nan	2.236700000000000000e+04	4.473400000000000709e+00	nan	5.140000000000000000e+02	7.619269563360830944e-02	1.500969589790829284e-02	8.218476587014782869e-03	6.746053486172716163e+00	3.017779566504503208e+01	nan
nan	2.259900000000000000e+04	4.519800000000000040e+00	nan	5.160000000000000000e+02	7.907763699813585845e-02	1.466903121864669181e-02	8.642207385204159209e-03	6.525232917773756469e+00	2.949274774175382419e+01	nan
nan	2.236400000000000000e+04	4.472799999999999443e+00	nan	5.180000000000000000e+02	7.391326511231000040e-02	1.471058152609952020e-02	9.152122177012576854e-03	7.008214279438305105e+00	3.134634082907164654e+01	nan
nan	2.229200000000000000e+04	4.458400000000000141e+00	nan	5.200000000000000000e+02	7.285937555036525737e-02	1.424690933813607847e-02	8.712563997212336570e-03	7.137036188850415463e+00	3.181976214437069572e+01	nan
nan	2.256200000000000000e+04	4.512399999999999523e+00	nan	5.220000000000000000e+02	7.360180865975962661e-02	1.578376620660653859e-02	8.981230812676830114e-03	7.092217018919448002e+00	3.200292007617211709e+01	nan
nan	2.246000000000000000e+04	4.491999999999999993e+00	nan	5.240000000000000000e+02	6.489547447449695028e-02	1.435635971760193356e-02	8.832782557370673013e-03	8.074522980888675150e+00	3.627075723015192210e+01	nan
nan	2.207200000000000000e+04	4.414400000000000546e+00	nan	5.260000000000000000e+02	6.521593881302578666e-02	1.382492845831018516e-02	8.850457313540765342e-03	8.065512964676365470e+00	3.560440043126734366e+01	nan
nan	2.233500000000000000e+04	4.467000000000000526e+00	nan	5.280000000000000000e+02	7.454094572085523396e-02	1.520915617485957272e-02	8.784162738852015900e-03	7.083355260574256462e+00	3.164134794898520653e+01	nan
nan	2.243500000000000000e+04	4.487000000000000099e+00	nan	5.300000000000000000e+02	6.802970617491155281e-02	1.445501606077866617e-02	8.600957418363433526e-03	7.790714230593824396e+00	3.495693475267449202e+01	nan
nan	2.258700000000000000e+04	4.517400000000000304e+00	nan	5.320000000000000000e+02	7.193013417918336927e-02	1.391206794867850573e-02	8.879147931539349559e-03	7.396065725037409777e+00	3.341098730628399949e+01	nan
nan	2.242400000000000000e+04	4.484799999999999898e+00	nan	5.340000000000000000e+02	7.325455468003383430e-02	1.550328512152106958e-02	8.799221305402681742e-03	7.289649119190487525e+00	3.269261836974549595e+01	nan
nan	2.208700000000000000e+04	4.417399999999999771e+00	nan	5.360000000000000000e+02	7.267676622882390802e-02	1.579276444978965077e-02	8.419358806901977577e-03	7.375121759165726765e+00	3.257886285893867750e+01	nan
nan	2.202000000000000000e+04	4.403999999999999915e+00	nan	5.380000000000000000e+02	8.090581904048121942e-02	1.518814859753951987e-02	8.580560085873684129e-03	6.649707108592668447e+00	2.928531010624211106e+01	nan
nan	2.198900000000000000e+04	4.397800000000000153e+00	nan	5.400000000000000000e+02	7.891156736263837956e-02	1.492082829283790379e-02	8.687640713556352839e-03	6.843103210945337800e+00	3.009459930109540693e+01	nan
nan	2.202100000000000000e+04	4.404199999999999449e+00	nan	5.420000000000000000e+02	6.629922803494991967e-02	1.317753580419612179e-02	8.582231517333333351e-03	8.175057479014423478e+00	3.600458814907531746e+01	nan
nan	2.191100000000000000e+04	4.382200000000000095e+00	nan	5.440000000000000000e+02	7.761319681139866589e-02	1.548355739899701274e-02	8.882655717189628583e-03	7.009117293827348938e+00	3.071535380501020640e+01	nan
nan	2.169200000000000000e+04	4.338400000000000034e+00	nan	5.460000000000000000e+02	7.894963264322996110e-02	1.528736599717492664e-02	8.775335513496101969e-03	6.915801653787939429e+00	3.000351389479359554e+01	nan
nan	2.157300000000000000e+04	4.314599999999999547e+00	nan	5.480000000000000000e+02	6.711043889060874790e-02	1.489465206793002573e-02	9.181443296239152202e-03	8.165644705337870235e+00	3.523149064565077282e+01	nan
nan	2.128800000000000000e+04	4.257600000000000051e+00	nan	5.500000000000000000e+02	8.150657356020474253e-02	1.492593250227885505e-02	8.898164929133785608e-03	6.747921989307317681e+00	2.872995266167484019e+01	nan
