# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.020000000000000000e+02	5.011595644522799375e-01	1.763872088393900472e-01	3.741773447473222686e-02	1.001676981958108614e+00	1.001676981958108570e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.040000000000000000e+02	5.038949219277810698e-01	1.817251627230085653e-01	3.783686087269995391e-02	1.000208531714939619e+00	1.000208531714939539e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.060000000000000000e+02	5.059826469602057841e-01	1.745705433392997774e-01	3.817977059890789032e-02	1.000034295721204058e+00	1.000034295721203961e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.080000000000000000e+02	5.079648440122923603e-01	1.782404618001287022e-01	3.814526316206760803e-02	1.000069209489833799e+00	1.000069209489833923e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.100000000000000000e+02	5.097700626600953910e-01	1.797403543441242202e-01	3.782238729841461145e-02	1.000451060893424726e+00	1.000451060893424682e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.120000000000000000e+02	5.115482622923082090e-01	1.792079390943949191e-01	3.806935147630534366e-02	1.000883079351433169e+00	1.000883079351433054e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.140000000000000000e+02	5.139012956954047695e-01	1.775843472739646600e-01	3.803268568717647902e-02	1.000192068604267126e+00	1.000192068604266922e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.160000000000000000e+02	5.157867834216176561e-01	1.760725163246917024e-01	3.740713758637555231e-02	1.000413381236657351e+00	1.000413381236657386e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.180000000000000000e+02	5.179469920827841634e-01	1.800580987038612468e-01	3.804971433104757661e-02	1.000102342359403762e+00	1.000102342359403877e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.200000000000000000e+02	5.199287928794547042e-01	1.795812561984438671e-01	3.736519318389497357e-02	1.000136955524526750e+00	1.000136955524526599e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.220000000000000000e+02	5.218148300409666263e-01	1.821689658025136549e-01	3.718220582592250689e-02	1.000354857601534420e+00	1.000354857601534349e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.240000000000000000e+02	5.236423354397174990e-01	1.813070042976670238e-01	3.795436121458268391e-02	1.000683032169242370e+00	1.000683032169242352e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.260000000000000000e+02	5.259472517659560253e-01	1.801763832837525725e-01	3.807919419928823546e-02	1.000100291871222513e+00	1.000100291871222709e+02	nan
