# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.541700000000000000e+04	3.083400000000000141e+00	nan	5.020000000000000000e+02	3.984268131813450964e-02	1.126760959972109184e-02	1.216346552426082576e-02	1.259955362922608479e+01	3.884946366035570975e+01	nan
nan	1.536700000000000000e+04	3.073399999999999910e+00	nan	5.040000000000000000e+02	4.192030782530764554e-02	9.318451476449241336e-03	1.144075425227463610e-02	1.202281247791150420e+01	3.695091186961321483e+01	nan
nan	1.538300000000000000e+04	3.076600000000000001e+00	nan	5.060000000000000000e+02	4.170377134300906619e-02	1.041118510534213247e-02	1.148595850956988552e-02	1.213319524122180759e+01	3.732898847914301399e+01	nan
nan	1.547800000000000000e+04	3.095600000000000129e+00	nan	5.080000000000000000e+02	4.829730553979061369e-02	9.842237438695666807e-03	1.150718245504184570e-02	1.051818511037794757e+01	3.256009382768598215e+01	nan
nan	1.549600000000000000e+04	3.099199999999999733e+00	nan	5.100000000000000000e+02	4.361560392987939849e-02	1.088085800784680153e-02	1.139189465359847359e-02	1.169306289602053006e+01	3.623914052734682656e+01	nan
nan	1.544400000000000000e+04	3.088799999999999990e+00	nan	5.120000000000000000e+02	4.919636592114784435e-02	1.062886094250415844e-02	1.134516970873568689e-02	1.040727278150251855e+01	3.214598416750497734e+01	nan
nan	1.545500000000000000e+04	3.091000000000000192e+00	nan	5.140000000000000000e+02	4.608426349466299143e-02	1.024007669846167985e-02	1.155478413389806822e-02	1.115348192685180351e+01	3.447541263589892679e+01	nan
nan	1.536700000000000000e+04	3.073399999999999910e+00	nan	5.160000000000000000e+02	4.819921142222938215e-02	9.834775857868197080e-03	1.131435809445759284e-02	1.070556933970960856e+01	3.290249680866350701e+01	nan
nan	1.521700000000000000e+04	3.043400000000000105e+00	nan	5.180000000000000000e+02	4.556369888609879126e-02	9.760067379820823105e-03	1.135762785336130731e-02	1.136869948365931826e+01	3.459950000856876784e+01	nan
nan	1.548800000000000000e+04	3.097599999999999909e+00	nan	5.200000000000000000e+02	4.290057353637166671e-02	1.107734241691954620e-02	1.146754906080220057e-02	1.212105007312168503e+01	3.754616470650172744e+01	nan
