# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.000000000000000000e+01	9.998125463836516139e-03	3.977172946357294264e-02	1.884197750348210257e-02	2.000374985406723205e-01	2.000374985406723027e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.000000000000000000e+01	9.990153639750757458e-03	3.951558402871633430e-02	1.884468575773479843e-02	2.001972005026842472e-01	2.001972005026842538e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.000000000000000000e+01	9.997700082328720220e-03	4.077428855655873541e-02	1.875079706817121480e-02	2.000460150549583371e-01	2.000460150549583460e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.000000000000000000e+01	9.992596543072522139e-03	3.984997352681811378e-02	1.871549139620228355e-02	2.001483213803129380e-01	2.001483213803129857e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.200000000000000000e+01	1.199688564590815042e-02	3.908432133686334103e-02	1.730334971239326849e-02	2.000519299927389361e-01	2.000519299927389483e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.200000000000000000e+01	1.122894798803347055e-02	3.906673720047756926e-02	1.782719439330187824e-02	2.188439529284110507e-01	2.188439529284110563e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.200000000000000000e+01	1.199784888024197499e-02	3.944132742760669830e-02	1.706219227294394208e-02	2.000358609954673850e-01	2.000358609954673739e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.200000000000000000e+01	1.198837620130802951e-02	3.912113303568204997e-02	1.706669503276459637e-02	2.001941278236878952e-01	2.001941278236878929e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.400000000000000000e+01	1.399814753430462209e-02	3.856608054338091229e-02	1.606523243154573538e-02	2.000264678155558307e-01	2.000264678155557974e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.400000000000000000e+01	1.220641896552309563e-02	3.862856135750047243e-02	1.655224316173131011e-02	2.376517688846700727e-01	2.376517688846700338e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.400000000000000000e+01	1.399215353880606597e-02	3.848475655619236491e-02	1.595566929413614471e-02	2.001121743743332071e-01	2.001121743743332004e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.400000000000000000e+01	1.399319614601495301e-02	3.830297749454061179e-02	1.597213318824213663e-02	2.000972674654984684e-01	2.000972674654985184e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.600000000000000000e+01	1.394635568946469076e-02	3.820007497436227195e-02	1.506000824032679986e-02	2.377109101986489836e-01	2.377109101986489748e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.600000000000000000e+01	1.599126011641715389e-02	3.826183801095772025e-02	1.517396871673640582e-02	2.001093836243570401e-01	2.001093836243570223e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.600000000000000000e+01	1.598790897400419880e-02	3.809885726087088031e-02	1.554551321887262527e-02	2.001513666931917790e-01	2.001513666931917612e+01	nan
nan	1.000000000000000000e+05	2.000000000000000000e+01	nan	1.600000000000000000e+01	1.599322287025699979e-02	3.808287414459420039e-02	1.515677027699580647e-02	2.000847754311000648e-01	2.000847754311000415e+01	nan
