,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.04,500,1.5,1,100000.0,,500000.0,100.0,,500.0,0.49986275618025494,0.1795803328660002,0.03812414901479351,1.0002746144036194,100.02746144036192,
1,1,0.04,500,2.25,1,100000.0,,500000.0,100.0,,500.0,0.4997482163416748,0.1841255274633773,0.03789128081141267,1.0005039707985817,100.05039707985816,
2,2,0.04,500,3.0,1,100000.0,,500000.0,100.0,,500.0,0.4998115709232934,0.178916369907109,0.038594036783138955,1.0003771635327083,100.03771635327084,
3,3,0.04,500,5.0,1,100000.0,,500000.0,100.0,,500.0,0.4997787755424042,0.17974105061159987,0.038275124699885504,1.0004427485721255,100.04427485721251,
4,4,0.04,501,1.5,1,100000.0,,500000.0,100.0,,501.0,0.5008449767697811,0.17860357337637123,0.03801680091014544,1.0003095831277342,100.0309583127734,
5,5,0.04,501,2.25,1,100000.0,,500000.0,100.0,,501.0,0.5008793799359296,0.17817222814305428,0.03806226109883386,1.0002408216264131,100.02408216264134,
6,6,0.04,501,3.0,1,100000.0,,500000.0,100.0,,501.0,0.5006527003139809,0.1786416194197485,0.03825124102170156,1.0006948865690295,100.06948865690296,
7,7,0.04,501,5.0,1,100000.0,,500000.0,100.0,,501.0,0.5008028533256038,0.17927221980115873,0.039241783127185806,1.0003938194166384,100.03938194166383,
8,8,0.04,502,1.5,1,100000.0,,500000.0,100.0,,502.0,0.5019230682955254,0.1798290625515261,0.038655429541274385,1.0001532769286516,100.01532769286516,
9,9,0.04,502,2.25,1,100000.0,,500000.0,100.0,,502.0,0.5017819312764231,0.17856259267531926,0.038368999028483834,1.0004349245988324,100.04349245988324,
10,10,0.04,502,3.0,1,100000.0,,500000.0,100.0,,502.0,0.5018685310525711,0.18008652040803502,0.03818706577746124,1.0002619795184315,100.02619795184316,
11,11,0.04,502,5.0,1,100000.0,,500000.0,100.0,,502.0,0.5008742341737047,0.17911721796422078,0.03835273970151697,1.0022633609006273,100.22633609006272,
12,12,0.04,503,1.5,1,100000.0,,500000.0,100.0,,503.0,0.5026484908678526,0.1799833127948364,0.03834409709580433,1.0006998810120424,100.06998810120425,
13,13,0.04,503,2.25,1,100000.0,,500000.0,100.0,,503.0,0.5028125020035985,0.180684941806836,0.03818172040217727,1.0003730042840324,100.03730042840324,
14,14,0.04,503,3.0,1,100000.0,,500000.0,100.0,,503.0,0.5015190420803377,0.1775955137449337,0.03837345752587865,1.0029602529921111,100.2960252992111,
15,15,0.04,503,5.0,1,100000.0,,500000.0,100.0,,503.0,0.5026386371101352,0.18506111795000135,0.03828269996045638,1.0007192441098962,100.07192441098964,
16,16,0.04,504,1.5,1,100000.0,,500000.0,100.0,,504.0,0.5036134532265919,0.17731801569174682,0.03821998080488859,1.000767833446002,100.07678334460017,
17,17,0.04,504,2.25,1,100000.0,,500000.0,100.0,,504.0,0.5018785781978977,0.17854512285976226,0.03822173337775634,1.004286615060145,100.42866150601452,
18,18,0.04,504,3.0,1,100000.0,,500000.0,100.0,,504.0,0.5039090894503261,0.1784452146030866,0.03857112615786702,1.000180422805304,100.0180422805304,
