# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.000000000000000000e+01	4.995607016397514422e-02	1.994003946651185522e-01	9.340615864181432693e-02	1.000880482630140733e+00	1.000880482630140875e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.000000000000000000e+01	4.996598155551197629e-02	1.987202865396311968e-01	9.419925589026559298e-02	1.000681014346518127e+00	1.000681014346517941e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.000000000000000000e+01	4.998332762026365395e-02	1.987526878221032578e-01	9.367579747769123888e-02	1.000333593990554215e+00	1.000333593990554135e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	5.000000000000000000e+01	4.998555034012639592e-02	2.035475984212605505e-01	9.366282125453988250e-02	1.000289112091708787e+00	1.000289112091708716e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+01	5.997075970047518328e-02	1.944983645432942221e-01	8.667311641088487617e-02	1.000487728695877987e+00	1.000487728695877934e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+01	5.612569568081926530e-02	1.933127311723682185e-01	8.644246071334846238e-02	1.094771815566515816e+00	1.094771815566515869e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+01	5.998739173706155864e-02	1.933627243887619807e-01	8.648263298600794569e-02	1.000210183616868864e+00	1.000210183616868562e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	6.000000000000000000e+01	5.997148332659350128e-02	1.940623147667078219e-01	8.868964327449264939e-02	1.000475696915031687e+00	1.000475696915031705e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	7.000000000000000000e+01	6.995561791357260417e-02	1.917083023480131709e-01	8.051515608394313461e-02	1.000634648573395902e+00	1.000634648573395964e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	7.000000000000000000e+01	6.995864796574835509e-02	1.908883107233564080e-01	8.054480364222502131e-02	1.000591374284186763e+00	1.000591374284186656e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	7.000000000000000000e+01	6.993624934465003662e-02	1.927798903981558787e-01	8.011768962435392161e-02	1.000912803104135218e+00	1.000912803104135236e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	7.000000000000000000e+01	6.996733731847371018e-02	1.924305046266437946e-01	7.967864358215186182e-02	1.000466997321300067e+00	1.000466997321300369e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	8.000000000000000000e+01	7.996298782101404767e-02	1.892242311179688496e-01	7.610363197728886586e-02	1.000462991031162208e+00	1.000462991031162119e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	8.000000000000000000e+01	7.995187436349623922e-02	1.913869988000792832e-01	7.683414711889782756e-02	1.000602144617099398e+00	1.000602144617099327e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	8.000000000000000000e+01	7.996439168339578019e-02	1.887046588870268105e-01	7.498751904341464936e-02	1.000445380962710740e+00	1.000445380962710544e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	8.000000000000000000e+01	7.484386204767047579e-02	1.914372451988434753e-01	7.527315949454092825e-02	1.094637929035159551e+00	1.094637929035159658e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	9.000000000000000000e+01	8.996531095666568389e-02	1.904848703431234469e-01	7.162636758108706370e-02	1.000385650088818190e+00	1.000385650088818181e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	9.000000000000000000e+01	8.995274452294096945e-02	1.880847919522106726e-01	7.214527239762839883e-02	1.000525720955303566e+00	1.000525720955303512e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	9.000000000000000000e+01	8.994934914432235751e-02	1.892175478069828276e-01	7.198808144434792888e-02	1.000563212026833071e+00	1.000563212026833355e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	9.000000000000000000e+01	8.988415281311859517e-02	1.884790278644874473e-01	7.174288208421156221e-02	1.001289760531584916e+00	1.001289760531584960e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.998497515726682827e-02	1.882319796817691349e-01	6.831926279301903104e-02	1.000150274124897321e+00	1.000150274124897436e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.996184829921617165e-02	1.884039358066691427e-01	6.846254409744759184e-02	1.000381779550377104e+00	1.000381779550377104e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.996564893415608999e-02	1.883292361393081316e-01	6.808865112430639854e-02	1.000343726431326186e+00	1.000343726431326132e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.000000000000000000e+02	9.989661265977929638e-02	1.870072402246478194e-01	6.848236313979945422e-02	1.001036097278876769e+00	1.001036097278876724e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+02	1.098917896991537246e-01	1.857134855356203929e-01	6.611953280839422131e-02	1.000985121007944789e+00	1.000985121007944940e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+02	1.099654063134067883e-01	1.861643871942356143e-01	6.615477347505889505e-02	1.000314686593289482e+00	1.000314686593289366e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+02	1.099028902797272167e-01	1.863400375790133234e-01	6.640012640404027722e-02	1.000884545068883025e+00	1.000884545068882971e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.100000000000000000e+02	1.099203508885608499e-01	1.873379352287035393e-01	6.550792294471823041e-02	1.000725395011080598e+00	1.000725395011080678e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.200000000000000000e+02	1.199048642397343711e-01	1.866296190895334883e-01	6.515851493175983666e-02	1.000794241678641061e+00	1.000794241678641185e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.200000000000000000e+02	1.199380474092293924e-01	1.874550972238747948e-01	6.361749955669696033e-02	1.000516715434076831e+00	1.000516715434076929e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.200000000000000000e+02	1.199361501254600226e-01	1.869746712653109488e-01	6.363080190400620395e-02	1.000532532035749211e+00	1.000532532035749398e+02	nan
nan	5.000000000000000000e+05	1.000000000000000000e+02	nan	1.200000000000000000e+02	1.199755880144692810e-01	1.867514173692597645e-01	6.354087992446544320e-02	1.000203489890745034e+00	1.000203489890744777e+02	nan
