,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.04,50,1.5,1,500000.0,,22.84,0.004568,,10.0,0.0006006170660953302,0.003337190476472963,0.002505485086126578,3.3750773014648687,0.07774387234771024,
1,1,0.04,50,2.25,1,500000.0,,10.28,0.002056,,10.0,0.0004272382376872645,0.004751205115318384,0.002180590435413261,4.75801175942492,0.04910456699326413,
2,2,0.04,50,3.0,1,500000.0,,7.08,0.001416,,10.0,0.0003471953756035656,0.00438819565407428,0.00212867866255653,5.7917189986781565,0.040993614568875646,
3,3,0.04,50,5.0,1,500000.0,,2.4,0.00048000000000000007,,10.0,0.00022616764165911735,0.005552229841808185,0.0021524302445908826,8.990257728500092,0.021881442674998475,
4,4,0.04,60,1.5,1,500000.0,,35.160000000000004,0.007031999999999999,,12.0,0.0006951791548783603,0.0033848536403367864,0.0027422858436181355,3.5081037355295104,0.12393135397867598,
5,5,0.04,60,2.25,1,500000.0,,17.04,0.003408,,12.0,0.0004994379821604449,0.0046557610171761,0.002222947530935219,4.833630913600336,0.08244816678537695,
6,6,0.04,60,3.0,1,500000.0,,10.48,0.002096,,12.0,0.00043546603798881047,0.00462739948197916,0.0023505936752266413,5.517245743725312,0.05779471058156129,
7,7,0.04,60,5.0,1,500000.0,,4.24,0.0008480000000000001,,12.0,0.00030399051827767,0.004296869083151899,0.00221002307015778,7.9910257916244065,0.03371021154808372,
8,8,0.04,70,1.5,1,500000.0,,59.96,0.011992,,14.0,0.0010046935045392048,0.0037421187178509775,0.0026828286287336866,2.860742640250249,0.17302071056045326,
9,9,0.04,70,2.25,1,500000.0,,27.52,0.005504,,14.0,0.00047475646687246355,0.004142951848966728,0.0021927353796087445,7.281886451090687,0.20746270084423504,
10,10,0.04,70,3.0,1,500000.0,,17.48,0.003496,,14.0,0.0005015747598103267,0.003724791356548068,0.00228376695673834,5.622880378795718,0.09842179371261693,
11,11,0.04,70,5.0,1,500000.0,,6.8,0.0013599999999999997,,14.0,0.00036660776294045286,0.00435777796150947,0.0022902962560423248,7.6420700318015395,0.05205347489755753,
12,12,0.04,80,1.5,1,500000.0,,85.0,0.016999999999999994,,16.0,0.000892172824447357,0.003549242263853787,0.0024061567819990844,3.6726786746765745,0.3131523198315815,
13,13,0.04,80,2.25,1,500000.0,,40.68,0.008136,,16.0,0.0006930969016690369,0.00353118414506239,0.0028429085072232286,4.652160731962852,0.18873196617553767,
14,14,0.04,80,3.0,1,500000.0,,24.44,0.004888000000000001,,16.0,0.0004504353247682502,0.002796994773426239,0.002435656900985736,7.193541138557883,0.1764130214753198,
15,15,0.04,80,5.0,1,500000.0,,10.4,0.00208,,16.0,0.0004504722744049556,0.004357202072461597,0.002204346582646118,7.218382741524758,0.07607961025440527,
16,16,0.04,90,1.5,1,500000.0,,121.8,0.02436,,18.0,0.0009488936552622816,0.003634513367685804,0.002860940506023897,3.85857407839932,0.46892948890443864,
17,17,0.04,90,2.25,1,500000.0,,55.2,0.011039999999999996,,18.0,0.0006385087600966699,0.0030406988536121446,0.002509714340106156,5.849930693563929,0.32392641048502574,
18,18,0.04,90,3.0,1,500000.0,,36.4,0.00728,,18.0,0.0004920846718556504,0.0035892829363597368,0.0027051052033601774,7.883354947380797,0.28581883025070914,
19,19,0.04,90,5.0,1,500000.0,,13.6,0.0027199999999999998,,18.0,0.0005824658434544109,0.004713755499836199,0.0022262370171779984,6.251888477443206,0.08556711602552924,
20,20,0.04,100,1.5,1,500000.0,,166.68,0.033336,,20.0,0.0012017965500507443,0.003094370439396508,0.002756717347403236,3.3620508855585625,0.5616277138901973,
21,21,0.04,100,2.25,1,500000.0,,75.64,0.015128,,20.0,0.0007748013708879852,0.003265717336700913,0.002591762582406672,5.250663133917427,0.396985473813299,
22,22,0.04,100,3.0,1,500000.0,,45.16,0.009032,,20.0,0.0006810819785346212,0.0034816234187619666,0.0023756827995187768,5.948186020699739,0.2681667673934345,
23,23,0.04,100,5.0,1,500000.0,,18.92,0.003784,,20.0,0.0006089455237253121,0.0043308715231759,0.0023295505786315256,6.643375939753118,0.12507534494241004,
24,24,0.04,110,1.5,1,500000.0,,208.2,0.04164,,22.0,0.0014068086004942867,0.0035925936786648177,0.0028390403432721695,3.140786220489635,0.6531486857088671,
25,25,0.04,110,2.25,1,500000.0,,96.24,0.019248,,22.0,0.0009552381642663476,0.003686384445643966,0.002666944690081441,4.662292878855034,0.4486826384495911,
26,26,0.04,110,3.0,1,500000.0,,56.44,0.011288,,22.0,0.0007553132161581289,0.003820806528955756,0.0025561461179051644,5.906365048438253,0.3334689609206079,
27,27,0.04,110,5.0,1,500000.0,,23.96,0.004791999999999999,,22.0,0.0005163770837657467,0.00360285246579284,0.0020900132894026363,9.66935160477119,0.2319166069817036,
28,28,0.04,120,1.5,1,500000.0,,248.64,0.04972800000000001,,24.0,0.001703121292635501,0.00377679416547184,0.0028737046891494917,2.8199089921519533,0.701055347128981,
29,29,0.04,120,2.25,1,500000.0,,107.47999999999998,0.021496000000000005,,24.0,0.0010629653616160794,0.0039215142352921565,0.002569295397716096,4.583880036221565,0.4941819102747981,
30,30,0.04,120,3.0,1,500000.0,,63.16,0.012632,,24.0,0.0009508621838335784,0.003544388829802384,0.002650712433697403,5.168214001687363,0.32612718194692836,
31,31,0.04,120,5.0,1,500000.0,,27.76,0.005552,,24.0,0.0006400720860710862,0.003742076624994504,0.0024493516755530265,7.792741179702166,0.21337073570377652,
32,32,0.04,130,1.5,1,500000.0,,278.68,0.055735999999999994,,26.0,0.0017560646968809122,0.0033907320438151555,0.002777717662079178,2.990881879855285,0.8332985094282158,
