# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.302160000000000082e+03	2.604319999999999968e-01	nan	1.000000000000000000e+01	5.920582831649312972e-04	4.037132803845286909e-03	2.909304240510916448e-03	3.406928519394207378e+00	4.436119470569407142e+00	nan
nan	9.633600000000000136e+02	1.926720000000000099e-01	nan	1.000000000000000000e+01	3.669732135230674300e-04	4.081779758280654202e-03	2.868125887605132204e-03	5.480323212755301654e+00	5.276849800917342570e+00	nan
nan	7.987200000000000273e+02	1.597439999999999971e-01	nan	1.000000000000000000e+01	2.928989664385994902e-04	3.895907705032189416e-03	2.932071972128004900e-03	6.866657242045110188e+00	5.488415651048720534e+00	nan
nan	5.475600000000000591e+02	1.095120000000000121e-01	nan	1.000000000000000000e+01	2.317022473329189011e-04	4.081898722176569017e-03	2.873585602814861077e-03	8.694868074607077446e+00	4.762027787762175279e+00	nan
nan	4.024080000000000382e+03	8.048159999999999759e-01	nan	3.000000000000000000e+01	2.171908208911190602e-03	3.762096805452488056e-03	2.940619831054671479e-03	2.768296582519998772e+00	1.113856952594957228e+01	nan
nan	3.089359999999999673e+03	6.178719999999999768e-01	nan	3.000000000000000000e+01	1.458013572681693491e-03	3.903665221214597161e-03	2.968247949430061292e-03	4.127129307329850505e+00	1.275491033442707867e+01	nan
nan	2.630800000000000182e+03	5.261599999999999611e-01	nan	3.000000000000000000e+01	1.219860712573108720e-03	3.784916855055982330e-03	2.946600180662643006e-03	4.925332551762421573e+00	1.295891498689278443e+01	nan
nan	1.833240000000000236e+03	3.666479999999999739e-01	nan	3.000000000000000000e+01	1.096903823537331846e-03	3.867712962322027333e-03	2.884715798882945409e-03	5.478962613028317108e+00	1.004670820379781659e+01	nan
nan	5.652119999999999891e+03	1.130424000000000095e+00	nan	5.000000000000000000e+01	4.316065532254924168e-03	3.787153964124716395e-03	2.979641742457834249e-03	2.324312422011964863e+00	1.313601487242713084e+01	nan
nan	4.565079999999999927e+03	9.130160000000000498e-01	nan	5.000000000000000000e+01	3.006126975836877907e-03	3.781709123205725855e-03	2.954713204264275937e-03	3.327482228289302846e+00	1.518994543680446974e+01	nan
nan	4.056319999999999709e+03	8.112640000000002072e-01	nan	5.000000000000000000e+01	2.541068742873449013e-03	3.722821665023702629e-03	2.910591809495720588e-03	3.951086081522382720e+00	1.602797670349107406e+01	nan
nan	3.022400000000000091e+03	6.044800000000000173e-01	nan	5.000000000000000000e+01	2.305622977693246901e-03	3.628299331583297906e-03	2.993822551654481794e-03	4.343148918011129567e+00	1.312650375968185834e+01	nan
nan	6.918360000000000582e+03	1.383672000000000013e+00	nan	7.000000000000000000e+01	6.773683254778006813e-03	3.684007129939239483e-03	2.992721277382397703e-03	2.069389139420747536e+00	1.431867418829379801e+01	nan
nan	5.668719999999999345e+03	1.133743999999999863e+00	nan	7.000000000000000000e+01	4.498248886509372685e-03	3.631608040420978342e-03	2.923265804748555532e-03	3.115262269592479427e+00	1.765889581894450444e+01	nan
nan	5.189800000000000182e+03	1.037960000000000216e+00	nan	7.000000000000000000e+01	4.188929532767815198e-03	3.698389033533742900e-03	2.961071409345573512e-03	3.343775832644497736e+00	1.735561067291970971e+01	nan
nan	4.059119999999999891e+03	8.118239999999999901e-01	nan	7.000000000000000000e+01	3.952546336961404450e-03	3.821149579676126791e-03	2.989201365977272283e-03	3.543718825796408289e+00	1.438310854376918257e+01	nan
nan	7.976880000000000109e+03	1.595375999999999905e+00	nan	9.000000000000000000e+01	9.154712605218265006e-03	3.793845394786645765e-03	2.977954181755359999e-03	1.969418148286729009e+00	1.570885640627086310e+01	nan
nan	6.635880000000000109e+03	1.327176000000000133e+00	nan	9.000000000000000000e+01	6.653828387686644592e-03	3.677947995962207225e-03	2.933277445897725186e-03	2.715372272851311664e+00	1.801501602579667960e+01	nan
nan	6.114760000000000218e+03	1.222952000000000039e+00	nan	9.000000000000000000e+01	5.995891983093315676e-03	3.879396962429772396e-03	2.920484289955669385e-03	3.008602575198521478e+00	1.839197844367723889e+01	nan
nan	4.974680000000000291e+03	9.949360000000000426e-01	nan	9.000000000000000000e+01	5.815358519412257635e-03	3.725790859532172958e-03	2.994842048849644979e-03	3.096093742962403361e+00	1.540157305524009246e+01	nan
nan	8.957119999999998981e+03	1.791423999999999905e+00	nan	1.100000000000000000e+02	1.200311593126571034e-02	3.603516343517028375e-03	2.947073569679764006e-03	1.844579773651874977e+00	1.652206193651074528e+01	nan
nan	7.402680000000000291e+03	1.480536000000000296e+00	nan	1.100000000000000000e+02	8.894708009556780148e-03	3.571261705196652429e-03	2.962310503765584052e-03	2.479848873063124071e+00	1.835751544166831906e+01	nan
nan	6.959719999999999345e+03	1.391944000000000070e+00	nan	1.100000000000000000e+02	8.264082728919675339e-03	3.585139677951841575e-03	2.905570474633808499e-03	2.664741749813308580e+00	1.854557519861058523e+01	nan
nan	5.798920000000000073e+03	1.159783999999999926e+00	nan	1.100000000000000000e+02	7.686851847561229287e-03	3.703738633524783670e-03	2.964130821821557137e-03	2.863196716817219656e+00	1.660354463976862149e+01	nan
nan	9.770200000000000728e+03	1.954039999999999777e+00	nan	1.300000000000000000e+02	1.493372726937195784e-02	3.631579367816985433e-03	2.943115667149868823e-03	1.742629011467859979e+00	1.702590325447977904e+01	nan
