# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	6.572000000000000000e+03	1.314400000000000013e+00	nan	5.000000000000000000e+01	3.030148250317665770e-03	2.095752896076247956e-02	1.407454305421665733e-02	1.650084282006936576e+01	2.168870780269917375e+01	nan
nan	4.873000000000000000e+03	9.745999999999999108e-01	nan	5.000000000000000000e+01	1.694811884505043054e-03	2.173074134696135681e-02	1.399511965011668128e-02	2.950179925992324570e+01	2.875245355872119291e+01	nan
nan	3.981000000000000000e+03	7.962000000000000188e-01	nan	5.000000000000000000e+01	1.515489961178673184e-03	2.074185927566504772e-02	1.424199125709741352e-02	3.299263029173250317e+01	2.626873223827741555e+01	nan
nan	2.708000000000000000e+03	5.415999999999999703e-01	nan	5.000000000000000000e+01	1.227280104991734788e-03	2.227634929002606304e-02	1.407187914487691843e-02	4.074049583027888133e+01	2.206505254167904084e+01	nan
nan	1.996000000000000000e+04	3.991999999999999549e+00	nan	1.500000000000000000e+02	1.175837096641885182e-02	2.042354942731637590e-02	1.454903676069586697e-02	1.275686916396755244e+01	5.092542170255846656e+01	nan
nan	1.535500000000000000e+04	3.071000000000000174e+00	nan	1.500000000000000000e+02	7.072013970656598758e-03	2.012642566122816584e-02	1.421500075465133295e-02	2.121036533898041654e+01	6.513703195600886886e+01	nan
nan	1.315700000000000000e+04	2.631400000000000183e+00	nan	1.500000000000000000e+02	6.074882403908077322e-03	1.821834859608134280e-02	1.501039073246833618e-02	2.469183599397782558e+01	6.497409723455325548e+01	nan
nan	9.263000000000000000e+03	1.852600000000000025e+00	nan	1.500000000000000000e+02	5.787900600182638300e-03	1.865254274592632183e-02	1.456333713446848234e-02	2.591613269848945222e+01	4.801222743722155428e+01	nan
nan	2.842700000000000000e+04	5.685400000000000453e+00	nan	2.500000000000000000e+02	2.318843912132706464e-02	1.841070700507507069e-02	1.454921474636280271e-02	1.078123450620994639e+01	6.129563066160603313e+01	nan
nan	2.294000000000000000e+04	4.588000000000000078e+00	nan	2.500000000000000000e+02	1.586659703900750173e-02	1.857741422666866343e-02	1.476041512171000041e-02	1.575637166466024830e+01	7.229023319746121956e+01	nan
nan	2.045900000000000000e+04	4.091800000000000104e+00	nan	2.500000000000000000e+02	1.335813039628419574e-02	1.930303771026600085e-02	1.489770228945686524e-02	1.871519386197502754e+01	7.657883024442941178e+01	nan
