,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,500000.0,,891.6,0.17832,,500.0,0.05503542450990153,0.01934316711524283,0.013858880048004308,9.121065170476081,1.6250599535895263,,,
1,1,0.04,500,2.25,1,500000.0,,1158.0,0.2316,,500.0,0.03891320177453962,0.020006381093016057,0.013832854264219346,12.935653263354302,2.994789976355936,,,
2,2,0.04,500,3.0,1,500000.0,,961.6,0.19232,,500.0,0.03692068377184796,0.01872010271340692,0.013594395320267844,13.600858381706532,2.618933246643451,,,
3,3,0.04,500,5.0,1,500000.0,,559.4,0.11188,,500.0,0.03164100340956111,0.016828213415633626,0.013475202726682104,16.197113542020244,1.8135691818509971,,,
4,4,0.04,501,1.5,1,500000.0,,876.3999999999999,0.17528,,501.0,0.051118201072779354,0.017022885305614244,0.013645152738856551,9.870439358615055,1.729057200416136,,,
5,5,0.04,501,2.25,1,500000.0,,1138.6,0.22772,,501.0,0.04096769519513828,0.018193842483991616,0.01405052536166664,12.284583897808592,2.800201801666475,,,
6,6,0.04,501,3.0,1,500000.0,,958.8,0.19176,,501.0,0.0362608725987343,0.01732456322757162,0.013255393673029756,13.875557664862578,2.6552768853791338,,,
7,7,0.04,501,5.0,1,500000.0,,549.2,0.10984,,501.0,0.03489943030373297,0.01867846276686748,0.013086554626409872,14.426726202961603,1.5857785249279848,,,
8,8,0.04,502,1.5,1,500000.0,,902.2,0.18044,,502.0,0.05317692087808154,0.017876796255622097,0.013627337677791776,9.514544945484369,1.7159715696189575,,,
9,9,0.04,502,2.25,1,500000.0,,1152.6,0.23052,,502.0,0.040863005684389005,0.01892495477620116,0.012794753590874374,12.338977291143493,2.853757094233656,,,
10,10,0.04,502,3.0,1,500000.0,,954.8,0.19096,,502.0,0.04009154183946748,0.019023842470779127,0.013132360100549228,12.591348160044223,2.4021940170466807,,,
11,11,0.04,502,5.0,1,500000.0,,565.0,0.11299999999999998,,502.0,0.032967703612905554,0.01641106427700268,0.013419238107721632,15.708011870787136,1.7754450988892423,,,
12,12,0.04,503,1.5,1,500000.0,,906.4,0.18128,,503.0,0.05346002370407632,0.017426104386416574,0.013465734248454148,9.545478808638851,1.7289394943825895,,,
13,13,0.04,503,2.25,1,500000.0,,1152.6,0.23052,,503.0,0.03788193933755792,0.017754526754864313,0.013536531884827868,13.401078746181955,3.0868402496365284,,,
14,14,0.04,503,3.0,1,500000.0,,952.8,0.19056,,503.0,0.03707086482586419,0.01789029711925458,0.01374382428966472,13.69195265590178,2.6130110016448684,,,
15,15,0.04,503,5.0,1,500000.0,,554.6,0.11092,,503.0,0.0351466929456592,0.017174185577177974,0.013241119916581385,14.390509288325015,1.5966717401898327,,,
16,16,0.04,504,1.5,1,500000.0,,912.6,0.18252,,504.0,0.0572673571476912,0.016850113991001198,0.013513990303932076,8.91382809263194,1.6239851105958167,,,
17,17,0.04,504,2.25,1,500000.0,,1143.0,0.2286,,504.0,0.03966430617114156,0.017655459652189193,0.013330273309313762,12.743087896999487,2.9107183718191574,,,
18,18,0.04,504,3.0,1,500000.0,,979.2,0.19583999999999996,,504.0,0.035425751810078045,0.018803744796522748,0.013448947609213785,14.2965768483864,2.800447543420728,,,
19,19,0.04,504,5.0,1,500000.0,,558.2,0.11164,,504.0,0.037390839821603086,0.019493238489529087,0.01320780926355242,13.576190508213084,1.5158478746745858,,,
20,20,0.04,505,1.5,1,500000.0,,906.8,0.18136,,505.0,0.05325219704801611,0.020855522057232248,0.0142351837649493,9.595145274682077,1.740402145900166,,,
21,21,0.04,505,2.25,1,500000.0,,1118.6,0.22372,,505.0,0.03644293448654708,0.019355556444525017,0.013828635592936872,13.980019077015251,3.124645264801116,,,
22,22,0.04,505,3.0,1,500000.0,,973.2,0.19464,,505.0,0.03925358073468033,0.02009408248545686,0.013758155595589659,12.918381106238789,2.513330424320228,,,
23,23,0.04,505,5.0,1,500000.0,,556.6,0.11132,,505.0,0.033719109039873275,0.01570455388665419,0.014544382795638836,15.06556688877905,1.681725428230049,,,
24,24,0.04,506,1.5,1,500000.0,,903.2,0.18064,,506.0,0.055945884049003775,0.021051295999153796,0.013217219227434927,9.109791973018606,1.6452734788930168,,,
25,25,0.04,506,2.25,1,500000.0,,1136.0,0.2272,,506.0,0.04116240375877851,0.018311201097784117,0.013995772513999935,12.304849979889063,2.796741565208043,,,
26,26,0.04,506,3.0,1,500000.0,,986.0,0.1972,,506.0,0.039071387749618235,0.016722629887541494,0.013654093984601396,13.004216197593204,2.5638653625579684,,,
27,27,0.04,506,5.0,1,500000.0,,542.0,0.1084,,506.0,0.03468108003535235,0.018512846717843905,0.013118436607192707,14.64593145058971,1.5850122159684834,,,
28,28,0.04,507,1.5,1,500000.0,,911.8,0.18236,,507.0,0.051563756923474105,0.01923829127006752,0.013713998886868651,9.913484586560712,1.8076929731406928,,,
29,29,0.04,507,2.25,1,500000.0,,1122.0,0.2244,,507.0,0.040477001093699984,0.01796356133865358,0.013730578608114984,12.59289060670515,2.8291637652621477,,,
30,30,0.04,507,3.0,1,500000.0,,970.0,0.194,,507.0,0.036485083118600416,0.016771038307472053,0.012576828907447936,14.280502548140646,2.7784138399538394,,,
31,31,0.04,507,5.0,1,500000.0,,565.8,0.11316,,507.0,0.03136454029516926,0.017229395345574727,0.012532254988634481,16.22560667856066,1.8367451533325423,,,
32,32,0.04,508,1.5,1,500000.0,,921.2,0.18424,,508.0,0.05036459057063212,0.0166414181651874,0.01361694224126927,10.138283662929291,1.8686404012967743,,,
33,33,0.04,508,2.25,1,500000.0,,1147.8,0.22956,,508.0,0.03819521294548167,0.01818696012667377,0.013884941536370408,13.473214461113907,3.0918218810350404,,,
34,34,0.04,508,3.0,1,500000.0,,974.6,0.19492,,508.0,0.03821340828974371,0.01806139587710142,0.01288011649261692,13.420375994237544,2.6167153565786214,,,
35,35,0.04,508,5.0,1,500000.0,,549.4,0.10988,,508.0,0.034945398885304256,0.01724131813900295,0.011814309228138453,14.737731178318004,1.6272558558638797,,,
36,36,0.04,509,1.5,1,500000.0,,915.2,0.18304,,509.0,0.05188876159827487,0.01713195323866021,0.013444070753705118,9.980655612315655,1.8226104306918944,,,
37,37,0.04,509,2.25,1,500000.0,,1148.0,0.2296,,509.0,0.04163447402137308,0.018876098357829368,0.013481505803296108,12.31267389990621,2.826847444311183,,,
38,38,0.04,509,3.0,1,500000.0,,967.2,0.19344,,509.0,0.03705951267430692,0.018527308655147574,0.012645170237770844,13.807228736093352,2.6749356537623354,,,
39,39,0.04,509,5.0,1,500000.0,,575.6,0.11512,,509.0,0.0371526205649161,0.018482424816547285,0.013055385189456916,13.772838195534202,1.5838247364452531,,,
40,40,0.04,510,1.5,1,500000.0,,926.8,0.18536,,510.0,0.05622408862780048,0.018610281319468003,0.01307730455091492,9.156954535203571,1.6957431505469152,,,
41,41,0.04,510,2.25,1,500000.0,,1155.0,0.23099999999999996,,510.0,0.03789354897044177,0.0176506251842554,0.013400667677519917,13.565492113662923,3.1336210897869874,,,
42,42,0.04,510,3.0,1,500000.0,,970.8,0.19416,,510.0,0.03703131913613333,0.01812191147054682,0.01303336293094493,13.843481917937345,2.691404886872838,,,
43,43,0.04,510,5.0,1,500000.0,,567.2,0.11344,,510.0,0.035336748572137824,0.016883063250548152,0.013134597389918895,14.683612791656545,1.6610549158764611,,,
44,44,0.04,511,1.5,1,500000.0,,935.6,0.18712,,511.0,0.05686991595122208,0.018827731699444388,0.013783903125962177,9.036156318765762,1.6938286788533088,,,
45,45,0.04,511,2.25,1,500000.0,,1149.8,0.22996,,511.0,0.04206698642861965,0.01943008130309947,0.013354434488277616,12.267910126187456,2.81566639178527,,,
46,46,0.04,511,3.0,1,500000.0,,975.2,0.19504,,511.0,0.038309196175544,0.017175602817550328,0.013702476614390556,13.396384939538436,2.610612947693632,,,
47,47,0.04,511,5.0,1,500000.0,,571.2,0.11424,,511.0,0.036980180270779775,0.017656822168901926,0.01331239578721129,13.944959669613183,1.5955447007866135,,,
48,48,0.04,512,1.5,1,500000.0,,910.0,0.182,,512.0,0.05352954676477566,0.018379421015956892,0.012879152460776812,9.746966812529944,1.7766386087143105,,,
49,49,0.04,512,2.25,1,500000.0,,1161.6,0.23232,,512.0,0.04284835967524714,0.016776548656169094,0.013113808117682847,12.136904884569095,2.8097126723015764,,,
50,50,0.04,512,3.0,1,500000.0,,978.6,0.19572,,512.0,0.040463029356635614,0.019899009268443606,0.013830116355788328,12.856434933111448,2.508640366230088,,,
51,51,0.04,512,5.0,1,500000.0,,578.2,0.11564,,512.0,0.0338898001969369,0.01785373536341667,0.013021427669982186,15.130262783690652,1.74967626407637,,,
