,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,500000.0,,2380.3975,0.4760795000000001,,25.0,0.002807276554450766,0.0009681792297482553,0.0007225432946635015,0.4463046304347456,4.249610984542654,,,
1,1,0.04,500,2.25,1,500000.0,,1964.3175,0.3928635,,25.0,0.002108936998567544,0.0009507494994866099,0.0007226037618978238,0.5938357523543412,4.666412140481312,,,
2,2,0.04,500,3.0,1,500000.0,,1805.4425,0.3610885,,25.0,0.0019581487308204257,0.00093826386343708,0.000717889363361737,0.639014193427261,4.614873069279623,,,
3,3,0.04,500,5.0,1,500000.0,,1434.1875,0.2868375,,25.0,0.001846118681729223,0.0009601699944529304,0.0007294141585298475,0.6781007420332381,3.8899713049525526,,,
4,4,0.04,600,1.5,1,500000.0,,2626.16,0.525232,,30.0,0.003606561132015144,0.0009367319987964249,0.0007213890297455462,0.41727927453141006,4.383601504750892,,,
5,5,0.04,600,2.25,1,500000.0,,2179.66,0.43593199999999993,,30.0,0.0027518241730598446,0.0009606999125897264,0.0007256958558954829,0.5463705341435555,4.763907214951436,,,
6,6,0.04,600,3.0,1,500000.0,,2022.3675,0.40447349999999993,,30.0,0.0025600118633633422,0.0009529090791186714,0.0007123180118846952,0.5867705058127719,4.7466390198051345,,,
7,7,0.04,600,5.0,1,500000.0,,1649.8849999999995,0.329977,,30.0,0.00244670923594839,0.0009503664611591664,0.0007321061102165641,0.6135379709792657,4.049094431445188,,,
8,8,0.04,700,1.5,1,500000.0,,2853.255,0.5706509999999999,,35.0,0.004510405386659215,0.0009577275261557491,0.0007313423402866998,0.38954179053884774,4.445784615046811,,,
9,9,0.04,700,2.25,1,500000.0,,2366.475,0.473295,,35.0,0.003444954023796924,0.0009605851396252312,0.0007225239013795734,0.508661373300799,4.81466401405916,,,
10,10,0.04,700,3.0,1,500000.0,,2207.7225,0.4415445,,35.0,0.0032023098799231777,0.0009444943268388444,0.0007149285863483322,0.5473868869956712,4.834488282475832,,,
11,11,0.04,700,5.0,1,500000.0,,1852.07,0.370414,,35.0,0.003080384916681567,0.0009525841167605406,0.0007215639703076278,0.5689854108658392,4.21520877317946,,,
12,12,0.04,800,1.5,1,500000.0,,3054.9275,0.6109855,,40.0,0.005465487397367212,0.0009416565253991683,0.0007286919045297837,0.3667800135544647,4.482094980624365,,,
13,13,0.04,800,2.25,1,500000.0,,2543.86,0.508772,,40.0,0.0041195682267076,0.0009354969093440816,0.0007244614017223389,0.4864450392765932,4.949951261590533,,,
14,14,0.04,800,3.0,1,500000.0,,2389.6075,0.47792149999999994,,40.0,0.004001784604289184,0.0009729067862478544,0.0007245877628934569,0.500641614004538,4.785271680436859,,,
15,15,0.04,800,5.0,1,500000.0,,2040.2475,0.4080495,,40.0,0.0037834636360986446,0.000946166278319176,0.0007283206196816156,0.5291254575067491,4.318371271979065,,,
16,16,0.04,900,1.5,1,500000.0,,3248.4675,0.6496934999999999,,45.0,0.0063708381702130635,0.0009072883088439117,0.0007347126276774473,0.3539191046195394,4.598572084152336,,,
17,17,0.04,900,2.25,1,500000.0,,2703.825,0.540765,,45.0,0.005063062173045694,0.0009536518838264611,0.0007223098281362925,0.4456265465569077,4.819628550799433,,,
18,18,0.04,900,3.0,1,500000.0,,2541.2075,0.5082415000000001,,45.0,0.004700751728489934,0.0009361360516020733,0.000723927772131014,0.4792083683444539,4.871448286920595,,,
19,19,0.04,900,5.0,1,500000.0,,2215.0150000000003,0.443003,,45.0,0.0044826203651126655,0.0009595275866882042,0.0007251867722264476,0.5025520338105108,4.452865209097864,,,
20,20,0.04,1000,1.5,1,500000.0,,3433.9475,0.6867895,,50.0,0.007389044047602907,0.0009227264074062656,0.0007337144783764733,0.3393566917686789,4.661405768661874,,,
21,21,0.04,1000,2.25,1,500000.0,,2850.5575,0.5701115,,50.0,0.005798886142831633,0.0009414468493172702,0.0007266993639266144,0.43162363551798577,4.921388336184928,,,
22,22,0.04,1000,3.0,1,500000.0,,2705.855,0.541171,,50.0,0.0054809578378157645,0.0009326483127880281,0.0007277196985130742,0.4567517087688626,4.9436075331414875,,,
23,23,0.04,1000,5.0,1,500000.0,,2372.9025,0.4745804999999999,,50.0,0.005260655151264189,0.0009396951143286687,0.000719006854631468,0.4757872929600381,4.516011432599711,,,
24,24,0.04,1100,1.5,1,500000.0,,3605.975,0.7211949999999998,,55.0,0.008584832569301284,0.0009284446849761096,0.0007310134958231316,0.32112364083129286,4.63185205640629,,,
25,25,0.04,1100,2.25,1,500000.0,,2992.805,0.5985609999999999,,55.0,0.006783301235129784,0.0009428061376530874,0.0007286135869164654,0.4059729773758158,4.859977764664393,,,
26,26,0.04,1100,3.0,1,500000.0,,2840.4275,0.5680854999999999,,55.0,0.006384091982378095,0.0009422801454865816,0.0007248652388076934,0.43174712511152047,4.905693742752801,,,
27,27,0.04,1100,5.0,1,500000.0,,2522.8775,0.5045755,,55.0,0.006014483724276829,0.0009517464672959821,0.0007260574243924747,0.4578125249701829,4.620145085541632,,,
28,28,0.04,1200,1.5,1,500000.0,,3763.17,0.752634,,60.0,0.009677349991626442,0.0009608632756294285,0.0007318252393420803,0.3109676293613476,4.68098402811494,,,
29,29,0.04,1200,2.25,1,500000.0,,3137.5725,0.6275145,,60.0,0.007604537863604151,0.0009187073867944032,0.000723766639658835,0.394997434294397,4.957456899999699,,,
30,30,0.04,1200,3.0,1,500000.0,,2970.0525,0.5940105000000001,,60.0,0.007343946353337856,0.0009373972799800216,0.0007322261714537054,0.40886251619676767,4.857493287984673,,,
31,31,0.04,1200,5.0,1,500000.0,,2668.585,0.533717,,60.0,0.006987907548395356,0.0009470425468585552,0.0007248551567768785,0.4299143645430407,4.588970826252945,,,
32,32,0.04,1300,1.5,1,500000.0,,3921.625,0.784325,,65.0,0.010999353075883391,0.000955408079103956,0.0007347174738483739,0.2961740495691219,4.645603520598645,,,
