# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs	AXUVCurrentAmp	GaAsPCurrentAmp
nan	4.760794999999999709e+04	9.521590000000001552e+00	nan	5.000000000000000000e+02	5.614553108901532141e-02	1.936358459496510462e-02	1.445086589327003110e-02	8.926092608694911945e+00	8.499221969085307649e+01	nan	nan	nan
nan	3.928634999999999854e+04	7.857269999999999754e+00	nan	5.000000000000000000e+02	4.217873997135086761e-02	1.901498998973220195e-02	1.445207523795647916e-02	1.187671504708682413e+01	9.332824280962624641e+01	nan	nan	nan
nan	3.610884999999999854e+04	7.221769999999999357e+00	nan	5.000000000000000000e+02	3.916297461640851768e-02	1.876527726874160223e-02	1.435778726723473987e-02	1.278028386854521870e+01	9.229746138559247015e+01	nan	nan	nan
nan	2.868375000000000000e+04	5.736749999999998906e+00	nan	5.000000000000000000e+02	3.692237363458446275e-02	1.920339988905860745e-02	1.458828317059695026e-02	1.356201484066476226e+01	7.779942609905106110e+01	nan	nan	nan
nan	5.252319999999999709e+04	1.050464000000000020e+01	nan	6.000000000000000000e+02	7.213122264030288888e-02	1.873463997592849511e-02	1.442778059491092724e-02	8.345585490628200986e+00	8.767203009501784550e+01	nan	nan	nan
nan	4.359319999999999709e+04	8.718639999999998835e+00	nan	6.000000000000000000e+02	5.503648346119689727e-02	1.921399825179452570e-02	1.451391711790965891e-02	1.092741068287111084e+01	9.527814429902872462e+01	nan	nan	nan
nan	4.044734999999999854e+04	8.089469999999998606e+00	nan	6.000000000000000000e+02	5.120023726726685709e-02	1.905818158237342422e-02	1.424636023769390580e-02	1.173541011625543895e+01	9.493278039610268593e+01	nan	nan	nan
nan	3.299769999999999709e+04	6.599540000000000184e+00	nan	6.000000000000000000e+02	4.893418471896780059e-02	1.900732922318332935e-02	1.464212220433128153e-02	1.227075941958531402e+01	8.098188862890376072e+01	nan	nan	nan
nan	5.706509999999999854e+04	1.141301999999999772e+01	nan	7.000000000000000000e+02	9.020810773318430065e-02	1.915455052311498124e-02	1.462684680573399579e-02	7.790835810776956194e+00	8.891569230093622878e+01	nan	nan	nan
nan	4.732950000000000000e+04	9.465899999999999537e+00	nan	7.000000000000000000e+02	6.889908047593848450e-02	1.921170279250462506e-02	1.445047802759147001e-02	1.017322746601597849e+01	9.629328028118320049e+01	nan	nan	nan
nan	4.415444999999999709e+04	8.830890000000000128e+00	nan	7.000000000000000000e+02	6.404619759846355564e-02	1.888988653677688839e-02	1.429857172696664437e-02	1.094773773991342125e+01	9.668976564951665864e+01	nan	nan	nan
nan	3.704140000000000146e+04	7.408280000000000420e+00	nan	7.000000000000000000e+02	6.160769833363133330e-02	1.905168233521080737e-02	1.443127940615255775e-02	1.137970821731678406e+01	8.430417546358918912e+01	nan	nan	nan
nan	6.109855000000000291e+04	1.221970999999999918e+01	nan	8.000000000000000000e+02	1.093097479473442435e-01	1.883313050798336719e-02	1.457383809059567201e-02	7.335600271089293578e+00	8.964189961248729333e+01	nan	nan	nan
