# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.904000000000000000e+03	1.904000000000000137e+00	nan	5.020000000000000000e+02	3.452865531050974823e-02	1.983784001598237062e-02	7.503396186372618577e-03	1.453864899995692817e+01	2.768158769591799029e+01	nan
nan	1.957000000000000000e+03	1.957000000000000073e+00	nan	5.220000000000000000e+02	3.711596841219488851e-02	1.838652718264050662e-02	7.389152844139870377e-03	1.406402748819267678e+01	2.752330179439307045e+01	nan
nan	1.941000000000000000e+03	1.941000000000000059e+00	nan	5.420000000000000000e+02	3.679653344647704216e-02	1.821298537526697126e-02	7.316053703090820252e-03	1.472964839985196939e+01	2.859024754411267466e+01	nan
nan	1.710000000000000000e+03	1.709999999999999964e+00	nan	5.620000000000000000e+02	4.564202189658317366e-02	1.996014358308013936e-02	7.319154987977275102e-03	1.231321437234734262e+01	2.105559657671395613e+01	nan
nan	1.146000000000000000e+03	1.145999999999999908e+00	nan	5.820000000000000000e+02	3.131154447237349814e-02	1.965125672721113395e-02	7.146431858073315491e-03	1.858739355746264010e+01	2.130115301685218299e+01	nan
nan	1.375000000000000000e+03	1.375000000000000000e+00	nan	6.020000000000000000e+02	3.698823506465487299e-02	1.743978579522743183e-02	6.111185195880120165e-03	1.627544539358834186e+01	2.237873741618397361e+01	nan
nan	1.606000000000000000e+03	1.606000000000000094e+00	nan	6.220000000000000000e+02	4.690589987171733810e-02	1.926956184804719946e-02	7.784686659174757176e-03	1.326059198738546741e+01	2.129651073174106202e+01	nan
nan	1.561000000000000000e+03	1.561000000000000165e+00	nan	6.420000000000000000e+02	3.915282179082169023e-02	1.731449625293597638e-02	6.509756896837234907e-03	1.639728557573593193e+01	2.559616278372379128e+01	nan
nan	1.647000000000000000e+03	1.646999999999999797e+00	nan	6.620000000000000000e+02	3.982454124206924462e-02	1.603256670642603035e-02	7.124296396935238598e-03	1.662291590444453249e+01	2.737794249462013951e+01	nan
nan	1.770000000000000000e+03	1.770000000000000018e+00	nan	6.820000000000000000e+02	4.279678100613182323e-02	1.513714214797663195e-02	6.720447455497356032e-03	1.593577797129846552e+01	2.820632700919828295e+01	nan
