,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.04,500,1.5,1,500000.0,,100000.0,20.0,100.0,0.099934026922233,0.035942676847322,0.0078610662660402,,0.2001321204105406,20.01321204105407,,,
1,1,0.04,500,2.25,1,500000.0,,100000.0,20.0,100.0,0.0999597560532083,0.0360138151343158,0.0075816862472238,,0.2000805358099112,20.008053580991117,,,
2,2,0.04,500,3.0,1,500000.0,,100000.0,20.0,100.0,0.0999898107282138,0.0360328521470866,0.007672818421882,,0.2000203815187318,20.00203815187318,,,
3,3,0.04,500,5.0,1,500000.0,,100000.0,20.0,100.0,0.0999781505858777,0.0357906653766189,0.0076301570642317,,0.200043709916971,20.004370991697098,,,
4,4,0.04,501,1.5,1,500000.0,,100000.0,20.0,100.2,0.1001769604615083,0.0358388745717367,0.0076567846188637,,0.2000460020201865,20.00460020201865,,,
5,5,0.04,501,2.25,1,500000.0,,100000.0,20.0,100.2,0.1001795862169524,0.0358131692679965,0.0076644449726584,,0.2000407569687455,20.00407569687456,,,
6,6,0.04,501,3.0,1,500000.0,,100000.0,20.0,100.2,0.1001296782894064,0.0359071503934705,0.0076213479975654,,0.2001405376301891,20.01405376301892,,,
7,7,0.04,501,5.0,1,500000.0,,100000.0,20.0,100.2,0.0937647392907955,0.03587680828535,0.0076746549444811,,0.2188645114295863,21.886451142958634,,,
8,8,0.04,502,1.5,1,500000.0,,100000.0,20.0,100.4,0.1003220948951843,0.0359245499001333,0.0077426636645022,,0.2001553641522496,20.01553641522495,,,
9,9,0.04,502,2.25,1,500000.0,,100000.0,20.0,100.4,0.1003665461695391,0.0357575983493943,0.0076384667871671,,0.2000666942748052,20.00666942748052,,,
10,10,0.04,502,3.0,1,500000.0,,100000.0,20.0,100.4,0.1003641504026109,0.0357669014815775,0.0075965902902635,,0.2000714508529342,20.007145085293427,,,
11,11,0.04,502,5.0,1,500000.0,,100000.0,20.0,100.4,0.1003695875965718,0.0357848018564426,0.007642791343683,,0.2000606085930239,20.0060608593024,,,
12,12,0.04,503,1.5,1,500000.0,,100000.0,20.0,100.6,0.09412009832802,0.0361222247501387,0.0075550759957919,,0.2189013965962309,21.890139659623088,,,
13,13,0.04,503,2.25,1,500000.0,,100000.0,20.0,100.6,0.1005279121811736,0.0357794533059907,0.0076111567355316,,0.2001436784929214,20.014367849292142,,,
14,14,0.04,503,3.0,1,500000.0,,100000.0,20.0,100.6,0.1005382523350954,0.0358176149107132,0.0076644137557182,,0.2001229074178642,20.012290741786423,,,
15,15,0.04,503,5.0,1,500000.0,,100000.0,20.0,100.6,0.1005849446275965,0.0357666187757385,0.0076314965110709,,0.2000299365226301,20.00299365226302,,,
16,16,0.04,504,1.5,1,500000.0,,100000.0,20.0,100.8,0.1007712683940485,0.0356581990449123,0.0076544820140334,,0.2000570260570868,20.00570260570869,,,
17,17,0.04,504,2.25,1,500000.0,,100000.0,20.0,100.8,0.1007576487301821,0.0358198412330048,0.0078173897295721,,0.2000841066944857,20.008410669448573,,,
18,18,0.04,504,3.0,1,500000.0,,100000.0,20.0,100.8,0.1007391372055394,0.0353236295232288,0.0076327719358406,,0.2001208512597811,20.012085125978118,,,
19,19,0.04,504,5.0,1,500000.0,,100000.0,20.0,100.8,0.1007032823094527,0.0357720706458634,0.0076872373653278,,0.2001922391469883,20.019223914698838,,,
20,20,0.04,505,1.5,1,500000.0,,100000.0,20.0,101.0,0.1009593670351318,0.0356186210747618,0.0075998758047567,,0.2000804997445296,20.00804997445297,,,
21,21,0.04,505,2.25,1,500000.0,,100000.0,20.0,101.0,0.1008300866000968,0.0358218076886136,0.0076312893783975,,0.2003384691325737,20.03384691325737,,,
22,22,0.04,505,3.0,1,500000.0,,100000.0,20.0,101.0,0.0945190438327281,0.0359590868045071,0.0075700406864961,,0.2188692669160462,21.88692669160462,,,
23,23,0.04,505,5.0,1,500000.0,,100000.0,20.0,101.0,0.1009017946449239,0.0359818927834708,0.0076234612005143,,0.2001948421891829,20.01948421891829,,,
24,24,0.04,506,1.5,1,500000.0,,100000.0,20.0,101.2,0.1011742091599512,0.0358754673391916,0.0076215470869185,,0.2000509872173439,20.00509872173439,,,
25,25,0.04,506,2.25,1,500000.0,,100000.0,20.0,101.2,0.1011340827111735,0.0358336612189973,0.007677077813112,,0.2001303835533843,20.013038355338438,,,
26,26,0.04,506,3.0,1,500000.0,,100000.0,20.0,101.2,0.1011203334657943,0.0353022850023764,0.0076543281532537,,0.2001576347145306,20.01576347145306,,,
27,27,0.04,506,5.0,1,500000.0,,100000.0,20.0,101.2,0.1011478232409081,0.0367865320040605,0.0074936850590412,,0.2001032097982228,20.01032097982229,,,
28,28,0.04,507,1.5,1,500000.0,,100000.0,20.0,101.4,0.1013243272093404,0.0357995027602478,0.007634065364439,,0.2001494141871314,20.014941418713143,,,
29,29,0.04,507,2.25,1,500000.0,,100000.0,20.0,101.4,0.1012966957175285,0.0358260408310673,0.0076446389527163,,0.2002041406099777,20.020414060997776,,,
30,30,0.04,507,3.0,1,500000.0,,100000.0,20.0,101.4,0.1013607632030562,0.0358012342454559,0.0075595433832339,,0.2000774355424267,20.00774355424268,,,
31,31,0.04,507,5.0,1,500000.0,,100000.0,20.0,101.4,0.1013574137214777,0.0356952133695169,0.0077174240536338,,0.2000840621995744,20.008406219957447,,,
32,32,0.04,508,1.5,1,500000.0,,100000.0,20.0,101.6,0.1015394010713157,0.0356733033261472,0.0076662412775867,,0.2001193980583752,20.011939805837528,,,
33,33,0.04,508,2.25,1,500000.0,,100000.0,20.0,101.6,0.1015545396935795,0.0356346740242002,0.0076335612543216,,0.2000895681476107,20.00895681476108,,,
34,34,0.04,508,3.0,1,500000.0,,100000.0,20.0,101.6,0.1015558639167647,0.0358410783544053,0.0076390319630373,,0.200086940042307,20.008694004230705,,,
35,35,0.04,508,5.0,1,500000.0,,100000.0,20.0,101.6,0.1015673078432269,0.0357431978383393,0.0075890785778695,,0.2000643828657562,20.006438286575623,,,
36,36,0.04,509,1.5,1,500000.0,,100000.0,20.0,101.8,0.0952765220504439,0.0356056063570424,0.007620066555004,,0.2188358681417582,21.88358681417582,,,
37,37,0.04,509,2.25,1,500000.0,,100000.0,20.0,101.8,0.1017635504428494,0.0358678583424386,0.0078466726112161,,0.2000716483688118,20.007164836881184,,,
38,38,0.04,509,3.0,1,500000.0,,100000.0,20.0,101.8,0.1017784967324064,0.0359412525618674,0.0076143784468686,,0.2000422577144773,20.00422577144773,,,
39,39,0.04,509,5.0,1,500000.0,,100000.0,20.0,101.8,0.1017241096451357,0.0355724233437691,0.0076401734725357,,0.2001493752118959,20.01493752118959,,,
40,40,0.04,510,1.5,1,500000.0,,100000.0,20.0,102.0,0.1019456022856729,0.0360037478822398,0.0075995766203975,,0.2001067402761613,20.010674027616133,,,
41,41,0.04,510,2.25,1,500000.0,,100000.0,20.0,102.0,0.1019765570524396,0.0356748544054018,0.0075928472312631,,0.2000459780359775,20.00459780359776,,,
42,42,0.04,510,3.0,1,500000.0,,100000.0,20.0,102.0,0.101967701161011,0.0358085864350247,0.0076402783955191,,0.2000633657772836,20.00633657772836,,,
43,43,0.04,510,5.0,1,500000.0,,100000.0,20.0,102.0,0.0954408594656943,0.0367613443397677,0.007627035022096,,0.2188981779747934,21.889817797479346,,,
44,44,0.04,511,1.5,1,500000.0,,100000.0,20.0,102.2,0.1021214862427928,0.035771998914002,0.0075900384559023,,0.2001538946377508,20.015389463775087,,,
45,45,0.04,511,2.25,1,500000.0,,100000.0,20.0,102.2,0.1020891587251958,0.0356411092067386,0.0075984732310849,,0.2002172428061157,20.02172428061157,,,
46,46,0.04,511,3.0,1,500000.0,,100000.0,20.0,102.2,0.1021325416679928,0.0356534313546979,0.0075895554291304,,0.2001321339524371,20.013213395243707,,,
47,47,0.04,511,5.0,1,500000.0,,100000.0,20.0,102.2,0.1021508851585031,0.036023614360329,0.0076348163054535,,0.2000962163113712,20.00962163113712,,,
48,48,0.04,512,1.5,1,500000.0,,100000.0,20.0,102.4,0.1023473313827139,0.037570937962339,0.0075708854340694,,0.2001029724605881,20.010297246058805,,,
49,49,0.04,512,2.25,1,500000.0,,100000.0,20.0,102.4,0.1022464977636695,0.0353171687836473,0.0076110718872669,,0.2003008578389399,20.030085783894,,,
50,50,0.04,512,3.0,1,500000.0,,100000.0,20.0,102.4,0.102311254850324,0.0360005566530802,0.0075711627241577,,0.200173545619102,20.017354561910206,,,
51,51,0.04,512,5.0,1,500000.0,,100000.0,20.0,102.4,0.1023758980437196,0.0360844080307353,0.0076069203791719,,0.2000470957526843,20.00470957526844,,,
52,52,0.04,513,1.5,1,500000.0,,100000.0,20.0,102.6,0.1025822366185912,0.0357200819258958,0.0075854010558709,,0.2000346340591107,20.003463405911077,,,
53,53,0.04,513,2.25,1,500000.0,,100000.0,20.0,102.6,0.1025494751474025,0.0358363790361928,0.0075825833609875,,0.2000985753650865,20.009857536508648,,,
54,54,0.04,513,3.0,1,500000.0,,100000.0,20.0,102.6,0.1024209011682978,0.0375922473550125,0.0076363503227279,,0.2003505949078173,20.03505949078173,,,
55,55,0.04,513,5.0,1,500000.0,,100000.0,20.0,102.6,0.1025415584291431,0.0356695761011021,0.0075988498341869,,0.2001140072010135,20.011400720101346,,,
56,56,0.04,514,1.5,1,500000.0,,100000.0,20.0,102.8,0.102730414088196,0.0355876059339096,0.0076504113460733,,0.2001355023973231,20.013550239732314,,,
57,57,0.04,514,2.25,1,500000.0,,100000.0,20.0,102.8,0.1027334039411653,0.0353726704790878,0.0075662454180865,,0.2001297126174473,20.012971261744735,,,
58,58,0.04,514,3.0,1,500000.0,,100000.0,20.0,102.8,0.1027062969460666,0.0357594277798433,0.0075845027007322,,0.2001826083747464,20.01826083747465,,,
59,59,0.04,514,5.0,1,500000.0,,100000.0,20.0,102.8,0.1027333675336285,0.0367443478134952,0.0075920660674238,,0.2001297447175673,20.01297447175673,,,
60,60,0.04,515,1.5,1,500000.0,,100000.0,20.0,103.0,0.1029530584838721,0.0359651173010499,0.0074892452976673,,0.2000912282030269,20.009122820302693,,,
61,61,0.04,515,2.25,1,500000.0,,100000.0,20.0,103.0,0.1029639017074214,0.0360049990114411,0.0077533818585031,,0.2000701444132065,20.00701444132066,,,
62,62,0.04,515,3.0,1,500000.0,,100000.0,20.0,103.0,0.1029690910283761,0.0359913524992899,0.0076140217260122,,0.2000600528979104,20.00600528979104,,,
63,63,0.04,515,5.0,1,500000.0,,100000.0,20.0,103.0,0.1029551036895418,0.0356896041872984,0.0076340937580375,,0.2000872376754388,20.008723767543888,,,
64,64,0.04,516,1.5,1,500000.0,,100000.0,20.0,103.2,0.103162392049021,0.0358718335744811,0.0075945456743768,,0.200072918717246,20.0072918717246,,,
65,65,0.04,516,2.25,1,500000.0,,100000.0,20.0,103.2,0.0965071836736951,0.0358613408675937,0.0075889874391726,,0.2190053987249766,21.90053987249766,,,
