,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.04,500,1.5,1,500000.0,,500000.0,100.0,,500.0,0.4998494456399385,0.17840804535178717,0.037884551339725736,1.0003012039209525,100.03012039209521,
1,1,0.04,500,2.25,1,500000.0,,500000.0,100.0,,500.0,0.4998990906543668,0.17987753539574547,0.037846912725054416,1.000201868650258,100.0201868650258,
2,2,0.04,500,3.0,1,500000.0,,500000.0,100.0,,500.0,0.4997788316490812,0.1781347901261522,0.037557504140547246,1.0004425523723564,100.04425523723566,
3,3,0.04,500,5.0,1,500000.0,,500000.0,100.0,,500.0,0.4998187442296569,0.18033219509994744,0.03845545640045109,1.0003627296513913,100.0362729651391,
4,4,0.04,510,1.5,1,500000.0,,500000.0,100.0,,510.0,0.5085526554237845,0.17935452906819793,0.0376477746755916,1.00285339243863,100.285339243863,
5,5,0.04,510,2.25,1,500000.0,,500000.0,100.0,,510.0,0.4282154661090676,0.17926908312043782,0.0377878204119437,1.2356736332892573,123.56736332892572,
6,6,0.04,510,3.0,1,500000.0,,500000.0,100.0,,510.0,0.5098774207567089,0.17866986405437985,0.038032114301987725,1.0002404189624643,100.02404189624644,
7,7,0.04,510,5.0,1,500000.0,,500000.0,100.0,,510.0,0.5098959629002024,0.1791731782078652,0.0380924363728197,1.0002040461276092,100.02040461276091,
8,8,0.04,520,1.5,1,500000.0,,500000.0,100.0,,520.0,0.5198679684804688,0.17604638937297837,0.037834409402713126,1.0002539779588628,100.02539779588628,
9,9,0.04,520,2.25,1,500000.0,,500000.0,100.0,,520.0,0.4363343558929538,0.1809927561004752,0.03756787406892824,1.2365726828920884,123.65726828920884,
10,10,0.04,520,3.0,1,500000.0,,500000.0,100.0,,520.0,0.5199184812184967,0.17810007043230275,0.03802187858085462,1.0001567915780565,100.01567915780564,
11,11,0.04,520,5.0,1,500000.0,,500000.0,100.0,,520.0,0.5198945305421603,0.17891338646103275,0.03759435136668592,1.0002028842269173,100.02028842269172,
12,12,0.04,530,1.5,1,500000.0,,500000.0,100.0,,530.0,0.5288758283129482,0.1784637487342968,0.03732656621021953,1.002126748865808,100.21267488658081,
13,13,0.04,530,2.25,1,500000.0,,500000.0,100.0,,530.0,0.5298034615356073,0.17914391310207656,0.03805265239198988,1.0003710358789273,100.03710358789272,
14,14,0.04,530,3.0,1,500000.0,,500000.0,100.0,,530.0,0.5295298427923854,0.1788273349258284,0.03747021360000065,1.0008880809503222,100.08880809503222,
15,15,0.04,530,5.0,1,500000.0,,500000.0,100.0,,530.0,0.5298467584158857,0.178260568310218,0.03801959835734273,1.0002892516571282,100.02892516571282,
16,16,0.04,540,1.5,1,500000.0,,500000.0,100.0,,540.0,0.5399349280838804,0.18013963582671924,0.03796630676048516,1.000120520691996,100.0120520691996,
17,17,0.04,540,2.25,1,500000.0,,500000.0,100.0,,540.0,0.45353774177844186,0.1767179423340801,0.037661674910600525,1.2353485483500535,123.53485483500533,
18,18,0.04,540,3.0,1,500000.0,,500000.0,100.0,,540.0,0.5399033658994767,0.17789278236548847,0.03991657215749759,1.0001789871085283,100.0178987108528,
19,19,0.04,540,5.0,1,500000.0,,500000.0,100.0,,540.0,0.5398910476990864,0.17944313876990292,0.03737684707231372,1.0002018140423103,100.02018140423105,
20,20,0.04,550,1.5,1,500000.0,,500000.0,100.0,,550.0,0.5494039154991697,0.1811928170379752,0.03765342597354861,1.0010849679184997,100.10849679184996,
21,21,0.04,550,2.25,1,500000.0,,500000.0,100.0,,550.0,0.5498973082629277,0.17670442353445376,0.03737316099913226,1.0001867538868807,100.01867538868808,
22,22,0.04,550,3.0,1,500000.0,,500000.0,100.0,,550.0,0.5498616891834445,0.17811813233217816,0.03742738299636885,1.000251571481842,100.0251571481842,
23,23,0.04,550,5.0,1,500000.0,,500000.0,100.0,,550.0,0.4620842120613388,0.17981566248110908,0.0368861745686495,1.2349311114143249,123.49311114143248,
24,24,0.04,560,1.5,1,500000.0,,500000.0,100.0,,560.0,0.5598090791631307,0.19130868735166104,0.03735613367282972,1.0003410566953044,100.03410566953043,
25,25,0.04,560,2.25,1,500000.0,,500000.0,100.0,,560.0,0.5598389831177428,0.18076256498453477,0.03721962654550914,1.000287615289002,100.0287615289002,
26,26,0.04,560,3.0,1,500000.0,,500000.0,100.0,,560.0,0.559922347777956,0.17776235078032762,0.03713867925406954,1.0001386849713536,100.01386849713536,
27,27,0.04,560,5.0,1,500000.0,,500000.0,100.0,,560.0,0.5596641672136116,0.1778294327257554,0.036853985365497145,1.00060019269038,100.060019269038,
28,28,0.04,570,1.5,1,500000.0,,500000.0,100.0,,570.0,0.5699040734505729,0.18011192843547064,0.03666433514165385,1.0001683212400492,100.0168321240049,
29,29,0.04,570,2.25,1,500000.0,,500000.0,100.0,,570.0,0.5698818291788825,0.18012458824795846,0.036809483705656953,1.0002073714260766,100.02073714260769,
30,30,0.04,570,3.0,1,500000.0,,500000.0,100.0,,570.0,0.5698842486637545,0.18047532740806796,0.03662500717204144,1.0002031318719216,100.02031318719219,
31,31,0.04,570,5.0,1,500000.0,,500000.0,100.0,,570.0,0.569648907735143,0.1786136266349511,0.03681198642561027,1.0006164826275907,100.06164826275908,
32,32,0.04,580,1.5,1,500000.0,,500000.0,100.0,,580.0,0.5798096899085863,0.17862223823985798,0.03639033986130878,1.0003282340534283,100.03282340534284,
33,33,0.04,580,2.25,1,500000.0,,500000.0,100.0,,580.0,0.5796523532644642,0.1784428545673635,0.03678759324806096,1.0005998073912072,100.05998073912072,
34,34,0.04,580,3.0,1,500000.0,,500000.0,100.0,,580.0,0.5798630599985586,0.1809352902810324,0.03691608094404314,1.000236160259841,100.02361602598413,
35,35,0.04,580,5.0,1,500000.0,,500000.0,100.0,,580.0,0.5796988642622978,0.17788185991722438,0.036801184593715584,1.0005196706589563,100.05196706589564,
36,36,0.04,590,1.5,1,500000.0,,500000.0,100.0,,590.0,0.5874771862513056,0.17757405894520015,0.03636532018914371,1.0043122390375228,100.43122390375228,
37,37,0.04,590,2.25,1,500000.0,,500000.0,100.0,,590.0,0.5897961532871817,0.1768879599708937,0.03681612749878609,1.000345698774869,100.03456987748687,
38,38,0.04,590,3.0,1,500000.0,,500000.0,100.0,,590.0,0.5892762835656526,0.17927618315473126,0.03669324697356162,1.0012286831556052,100.1228683155605,
39,39,0.04,590,5.0,1,500000.0,,500000.0,100.0,,590.0,0.5899068243942907,0.176388385975127,0.036393342027883205,1.000157949857928,100.0157949857928,
40,40,0.04,600,1.5,1,500000.0,,500000.0,100.0,,600.0,0.5996132032309447,0.17818416073844542,0.036056186615923386,1.0006451645213184,100.06451645213183,
41,41,0.04,600,2.25,1,500000.0,,500000.0,100.0,,600.0,0.5998384025432415,0.17891608700845996,0.03629690520048925,1.0002694062070927,100.02694062070925,
42,42,0.04,600,3.0,1,500000.0,,500000.0,100.0,,600.0,0.5997901036250823,0.17568591038973283,0.03608649431795806,1.0003500297807604,100.03500297807604,
