,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,502,2,500000.0,1.17662360156545,,500000.0,100.0,502.0,0.5017484755132955,0.1805035450950141,0.0382485146990068,,1.0005012959659665,100.05012959659662,,,
1,1,0.02,504,2,500000.0,1.17747901516844,,500000.0,100.0,504.0,0.5034107746981249,0.1788322430913356,0.0385256892761914,,1.0011704662106775,100.11704662106774,,,
2,2,0.02,506,2,500000.0,1.17837189466193,,500000.0,100.0,506.0,0.5056790598914063,0.1788123472955939,0.038196188321453,,1.000634671541793,100.0634671541793,,,
3,3,0.02,508,2,500000.0,1.1791362468331,,500000.0,100.0,508.0,0.5079491450223372,0.1791035427533478,0.037233077179085,,1.000100118246405,100.01001182464054,,,
4,4,0.02,510,2,500000.0,1.18000708146274,,500000.0,100.0,510.0,0.5096744498225689,0.1797957504776442,0.0427663849171021,,1.000638741411394,100.0638741411394,,,
5,5,0.02,512,2,500000.0,1.18089388467086,,500000.0,100.0,512.0,0.5118799790937487,0.1821046854099405,0.0384580610625462,,1.000234470796189,100.0234470796189,,,
6,6,0.02,514,2,500000.0,1.18169303123046,,500000.0,100.0,514.0,0.5133360303548216,0.1794883673472596,0.0385410974913945,,1.0012934405650809,100.12934405650807,,,
7,7,0.02,516,2,500000.0,1.18256256858225,,500000.0,100.0,516.0,0.5157557290563091,0.1774386685439766,0.0370620918083828,,1.000473617509083,100.04736175090832,,,
8,8,0.02,518,2,500000.0,1.18333929872482,,500000.0,100.0,518.0,0.5179450086911856,0.18035601962785,0.0380960800725781,,1.0001061720991449,100.0106172099145,,,
9,9,0.02,520,2,500000.0,1.18413280440169,,500000.0,100.0,520.0,0.519912632865271,0.1779133782859573,0.0373488442818823,,1.000168041953987,100.01680419539866,,,
10,10,0.02,522,2,500000.0,1.184814908884,,500000.0,100.0,522.0,0.5217823790026159,0.1804438400215089,0.0376940118965518,,1.0004170723392385,100.04170723392386,,,
11,11,0.02,524,2,500000.0,1.18564428721044,,500000.0,100.0,524.0,0.5238762396279526,0.1797885274828738,0.0379821710430385,,1.0002362397121414,100.02362397121416,,,
12,12,0.02,526,2,500000.0,1.18623535979449,,500000.0,100.0,526.0,0.5259451510678446,0.1803775298505959,0.0376764692066828,,1.0001042864109386,100.01042864109388,,,
13,13,0.02,528,2,500000.0,1.18691311580508,,500000.0,100.0,528.0,0.5279284678180147,0.1815896534995741,0.0373138569897045,,1.000135495974068,100.0135495974068,,,
14,14,0.02,530,2,500000.0,1.18740617352132,,500000.0,100.0,530.0,0.5298220220004168,0.1800984198511603,0.0374881476664124,,1.0003359203509723,100.03359203509724,,,
15,15,0.02,532,2,500000.0,1.18810554884438,,500000.0,100.0,532.0,0.5317593686713735,0.1799173043437464,0.0379327338118338,,1.0004525192085054,100.04525192085056,,,
16,16,0.02,534,2,500000.0,1.18943277689967,,500000.0,100.0,534.0,0.5339456428837366,0.1778692871948372,0.0371165588680359,,1.0001018027152913,100.01018027152912,,,
17,17,0.02,536,2,500000.0,1.19165789569026,,500000.0,100.0,536.0,0.5350412254066441,0.1796023980451936,0.0377890835648642,,1.001791963960585,100.1791963960585,,,
18,18,0.02,538,2,500000.0,1.1933953170949,,500000.0,100.0,538.0,0.5378527811632239,0.1821402807601078,0.0372917982782627,,1.0002737158604214,100.02737158604216,,,
19,19,0.02,540,2,500000.0,1.19462031821519,,500000.0,100.0,540.0,0.3670000563749678,0.1782264444315105,0.0377780384770985,,1.471389419756046,147.13894197560458,,,
20,20,0.02,542,2,500000.0,1.19557065892945,,500000.0,100.0,542.0,0.5416703026173764,0.1803036763849453,0.0375372249165585,,1.0006086680052988,100.06086680052988,,,
21,21,0.02,544,2,500000.0,1.19668353378915,,500000.0,100.0,544.0,0.543599001820894,0.1817034056565102,0.0377729136317963,,1.0007376727657018,100.07376727657018,,,
22,22,0.02,546,2,500000.0,1.19757869607337,,500000.0,100.0,546.0,0.3712086887446762,0.17668558955911,0.0376680671151923,,1.4708707434796828,147.08707434796827,,,
23,23,0.02,548,2,500000.0,1.19860065465315,,500000.0,100.0,548.0,0.5479597198584543,0.1769427895946227,0.0371683335819752,,1.000073509311152,100.0073509311152,,,
24,24,0.02,550,2,500000.0,1.19963845879841,,500000.0,100.0,550.0,0.549851307789595,0.1807190150614233,0.0378089739499816,,1.0002704225820664,100.02704225820663,,,
25,25,0.02,552,2,500000.0,1.20065872263705,,500000.0,100.0,552.0,0.5517027185994721,0.180805976514019,0.0375583043438578,,1.0005388434577278,100.0538843457728,,,
26,26,0.02,554,2,500000.0,1.20181115118366,,500000.0,100.0,554.0,0.553851420985211,0.1787777637835172,0.0375380217650304,,1.00026826511436,100.026826511436,,,
27,27,0.02,556,2,500000.0,1.20295231364558,,500000.0,100.0,556.0,0.5558287519379519,0.1805817059153608,0.0368878380604571,,1.0003080950048933,100.03080950048933,,,
28,28,0.02,558,2,500000.0,1.20410472404016,,500000.0,100.0,558.0,0.5579421235277096,0.1761420602563661,0.0365346084403714,,1.0001037320357251,100.01037320357254,,,
29,29,0.02,560,2,500000.0,1.20514112000624,,500000.0,100.0,560.0,0.5599244214049577,0.1805357000611854,0.0370850514470074,,1.0001349799940011,100.01349799940012,,,
30,30,0.02,562,2,500000.0,1.20653239223348,,500000.0,100.0,562.0,0.5618701815993745,0.1779364096049472,0.0415174029797802,,1.0002310469657885,100.02310469657884,,,
31,31,0.02,564,2,500000.0,1.20811897847302,,500000.0,100.0,564.0,0.5635844275415138,0.1774013183025218,0.0372012283156014,,1.0007373739198206,100.07373739198208,,,
32,32,0.02,566,2,500000.0,1.2098506842126,,500000.0,100.0,566.0,0.5659423780322186,0.1795449505934035,0.036331424616602,,1.000101815962222,100.01018159622218,,,
33,33,0.02,568,2,500000.0,1.21147483348648,,500000.0,100.0,568.0,0.5678239245780787,0.1804460898022664,0.0373342189350151,,1.000310088064803,100.03100880648032,,,
