# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	2.510000000000000000e+02	2.509240974394799650e-01	8.946702517847961167e-02	1.920192445084051291e-02	5.001512552039761861e-01	5.001512552039762483e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	2.610000000000000000e+02	2.607685426286820984e-01	9.023488379484151389e-02	1.918358450509369956e-02	5.004440816898947375e-01	5.004440816898947020e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	2.710000000000000000e+02	2.709171445187621430e-01	9.053419949136184974e-02	1.874050511660435223e-02	5.001529215689928254e-01	5.001529215689928520e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	2.810000000000000000e+02	2.809393176905814471e-01	8.997644655086267651e-02	1.859349685016369741e-02	5.001080022654273982e-01	5.001080022654274160e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	2.910000000000000000e+02	2.900952408594719145e-01	8.906272651397595386e-02	1.834907813958171902e-02	5.015639585691462621e-01	5.015639585691461377e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.010000000000000000e+02	3.009529646324153873e-01	8.930677355555649566e-02	1.832599756170909255e-02	5.000781455176284140e-01	5.000781455176284851e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.110000000000000000e+02	3.109575261308918925e-01	9.469390971794264256e-02	1.809091586274819835e-02	5.000682959260507321e-01	5.000682959260507232e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.210000000000000000e+02	3.209136625350481609e-01	8.891892711936073834e-02	1.799987121002369350e-02	5.001345232236961147e-01	5.001345232236960925e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.310000000000000000e+02	3.309262467572011701e-01	8.883805450821280481e-02	1.806425594615852087e-02	5.001114356480025336e-01	5.001114356480025691e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.410000000000000000e+02	3.408567294108024726e-01	8.893111342222723148e-02	1.791640350905361612e-02	5.002101796895018770e-01	5.002101796895018992e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.510000000000000000e+02	3.508880227835220467e-01	8.973624521267298260e-02	1.748711146435735428e-02	5.001595738328492580e-01	5.001595738328492757e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.610000000000000000e+02	3.604857139181660841e-01	8.981266952859377761e-02	1.735486272257671242e-02	5.007133262481058278e-01	5.007133262481059433e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.710000000000000000e+02	3.708312208891015871e-01	8.980745174153176302e-02	1.739887628413382820e-02	5.002275941752730715e-01	5.002275941752731114e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.810000000000000000e+02	3.801023332650288467e-01	8.947508705674010743e-02	1.728995191290786521e-02	5.011828048541797642e-01	5.011828048541796932e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	3.910000000000000000e+02	3.906674299791177418e-01	8.887539223539439592e-02	1.802097375487865180e-02	5.004258547924876899e-01	5.004258547924876410e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	4.010000000000000000e+02	4.002258861505083587e-01	9.019143350350869448e-02	1.715954606940879590e-02	5.009681685724135525e-01	5.009681685724135036e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	4.110000000000000000e+02	4.104690631147605018e-01	8.867168279924442231e-02	1.684747974014570021e-02	5.006470583602177227e-01	5.006470583602177271e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	4.210000000000000000e+02	4.209059155764975912e-01	8.876268943051598970e-02	1.663660867540452809e-02	5.001117754747367306e-01	5.001117754747367883e+01	nan
nan	2.500000000000000000e+05	5.000000000000000000e+01	nan	4.310000000000000000e+02	4.309327088762984204e-01	8.965965718736296219e-02	1.692208483185479728e-02	5.000780762486030095e-01	5.000780762486029829e+01	nan
