,Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.02,502,2,500000.0,1.17662360156545,,5030.75,1.00615,,251.0,0.018726153066410237,0.00964299672613249,0.0035234560595665734,6.70199091160692,13.48682074366378,
1,1,0.02,522,2,500000.0,1.184814908884,,5035.25,1.00705,,261.0,0.019672734307278002,0.009165936459657182,0.003556081031097823,6.681004913453275,13.45075003350961,
2,2,0.02,542,2,500000.0,1.19557065892945,,4892.25,0.97845,,271.0,0.02092406269832736,0.009195814109384505,0.003620754754891728,6.490118059512949,12.699627935216427,
3,3,0.02,562,2,500000.0,1.20653239223348,,4533.0,0.9066,,281.0,0.0207597695928996,0.009390041681285105,0.003611302040294669,6.777279641943305,12.293556150386443,
4,4,0.02,582,2,500000.0,1.21559007975785,,3230.75,0.64615,,291.0,0.02155223647852722,0.008509201210980328,0.00363147588745922,6.7511916399428085,8.724927095639892,
5,5,0.02,602,2,500000.0,1.22050059246538,,3903.75,0.78075,,301.0,0.022925488080062447,0.009219648997480083,0.0036047459637371286,6.594952387882833,10.304400688640664,
6,6,0.02,622,2,500000.0,1.22741865002142,,4088.75,0.8177499999999999,,311.0,0.02271141185465808,0.009494031350874605,0.003649619697488223,6.851858200661353,11.206755132035754,
7,7,0.02,642,2,500000.0,1.23521015912391,,4270.25,0.8540499999999999,,321.0,0.02249313637165073,0.008652338861138982,0.0036920741593918153,7.193119783096796,12.282383628228423,
8,8,0.02,662,2,500000.0,1.24314995045508,,4303.25,0.8606499999999998,,331.0,0.024517409867115703,0.009086113161708001,0.003639482449471455,6.75942274450569,11.638544376418285,
9,9,0.02,682,2,500000.0,1.2512710931248,,4396.5,0.8793,,341.0,0.02260260026574201,0.009995393297900033,0.003682617744705192,7.5433904774385585,13.265849417382933,
10,10,0.02,702,2,500000.0,1.25928548443795,,4441.5,0.8882999999999999,,351.0,0.022891819528865653,0.00840978546694259,0.003560660486211875,7.666778553292712,13.62092019039785,
11,11,0.02,722,2,500000.0,1.26742532522346,,4518.25,0.90365,,361.0,0.02362083870846732,0.009465947809570848,0.003542312177881012,7.641995270611744,13.811048410606462,
12,12,0.02,742,2,500000.0,1.27528577565715,,4527.25,0.90545,,371.0,0.026167584497954977,0.009273911053624656,0.0036432301999138744,7.089297216320608,12.83804436819723,
13,13,0.02,762,2,500000.0,1.28337129179016,,4698.25,0.9396500000000002,,381.0,0.02628538313865647,0.00905618180946795,0.0036099360103645367,7.268879518483023,13.67206885199617,
14,14,0.02,782,2,500000.0,1.29164824012589,,4727.75,0.94555,,391.0,0.026058022892129884,0.009993089680910783,0.0036919483508559177,7.504768427596646,14.195106481515236,
15,15,0.02,802,2,500000.0,1.30021834112426,,4772.5,0.9545,,401.0,0.024739353907563096,0.008884270376693773,0.0036394706472098175,8.10621651423175,15.47434220312447,
16,16,0.02,822,2,500000.0,1.30869521201282,,4820.5,0.9641,,411.0,0.0287691100891152,0.009048620237532147,0.0035057718678176124,7.149808125820556,13.78525097596226,
17,17,0.02,842,2,500000.0,1.31711516242917,,4910.5,0.9821,,421.0,0.02726696430272568,0.008512871330482594,0.0033795270726408883,7.776411551476518,15.269922321856956,
