# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
nan	1.380150000000000000e+04	2.760299999999999976e+00	nan	5.020000000000000000e+02	3.740662007112405263e-02	1.875709193609489955e-02	7.501509809702664247e-03	1.342163838002386811e+01	3.705018907588465993e+01	nan
nan	1.409150000000000000e+04	2.818299999999999805e+00	nan	5.220000000000000000e+02	3.725489008161275706e-02	1.941392763690837076e-02	7.241787529621750499e-03	1.401159754966659321e+01	3.948914290890006384e+01	nan
nan	1.402000000000000000e+04	2.804000000000000270e+00	nan	5.420000000000000000e+02	4.126002264570161060e-02	1.805982446758985435e-02	7.163223342797380572e-03	1.313700818997424946e+01	3.683580052527107540e+01	nan
nan	1.399300000000000000e+04	2.798599999999999977e+00	nan	5.620000000000000000e+02	4.541032492829799594e-02	1.810225524140185102e-02	7.176151885113302500e-03	1.237735378025515409e+01	3.463989987281043881e+01	nan
nan	1.416350000000000000e+04	2.832699999999999996e+00	nan	5.820000000000000000e+02	4.420047526423331874e-02	1.778835172002665027e-02	7.216498420891272365e-03	1.316745081718827315e+01	3.729949021558036293e+01	nan
nan	1.428750000000000000e+04	2.857499999999999929e+00	nan	6.020000000000000000e+02	4.308926257783696201e-02	1.845063445116736783e-02	7.234294158496592207e-03	1.397556908440615686e+01	3.992874346488915194e+01	nan
nan	1.430400000000000000e+04	2.860800000000000232e+00	nan	6.220000000000000000e+02	4.296312097102372718e-02	1.835730432273105159e-02	7.195587417970639686e-03	1.447960981527154800e+01	4.142475911031898761e+01	nan
nan	1.424700000000000000e+04	2.849400000000000155e+00	nan	6.420000000000000000e+02	4.779734476966268630e-02	1.828032636369601033e-02	7.117083893138096209e-03	1.344097635096698085e+01	3.829469445176964371e+01	nan
nan	1.446750000000000000e+04	2.893499999999999961e+00	nan	6.620000000000000000e+02	4.914911123341880739e-02	1.932530028855018733e-02	7.442382287243549249e-03	1.348016931244240091e+01	3.899614733647058529e+01	nan
nan	1.450600000000000000e+04	2.901200000000000223e+00	nan	6.820000000000000000e+02	4.578277192211999136e-02	1.937057598826450594e-02	7.488589844700476589e-03	1.489892309935936154e+01	4.322991760172661202e+01	nan
nan	1.461600000000000000e+04	2.923199999999999577e+00	nan	7.020000000000000000e+02	4.601099785310225343e-02	1.803316781069427485e-02	7.549803432516702904e-03	1.529015586163706786e+01	4.469008084504851297e+01	nan
nan	1.457850000000000000e+04	2.915700000000000180e+00	nan	7.220000000000000000e+02	5.087645777842908501e-02	1.858765202931501187e-02	7.401415055078158778e-03	1.421405629665087744e+01	4.143634973178786396e+01	nan
nan	1.470500000000000000e+04	2.940999999999999837e+00	nan	7.420000000000000000e+02	4.983705264680793334e-02	1.847713884178098231e-02	7.397458350459493008e-03	1.489302143832972902e+01	4.380337923147378376e+01	nan
nan	1.473450000000000000e+04	2.946900000000000297e+00	nan	7.620000000000000000e+02	5.637603160761273102e-02	1.829411444596193426e-02	7.258160636864515597e-03	1.351654773561792666e+01	3.983196652665772319e+01	nan
nan	1.471600000000000000e+04	2.943200000000000038e+00	nan	7.820000000000000000e+02	5.357258903205774914e-02	1.874682090393879966e-02	7.177510418399401723e-03	1.462564493233992025e+01	4.306211609508510918e+01	nan
nan	1.493250000000000000e+04	2.986499999999999932e+00	nan	8.020000000000000000e+02	5.346219244347594213e-02	1.974467461592989415e-02	7.302415486560965598e-03	1.502833634218978887e+01	4.490541172312429552e+01	nan
nan	1.492800000000000000e+04	2.985599999999999810e+00	nan	8.220000000000000000e+02	5.282584482080210364e-02	1.882256062621400286e-02	7.274784560962822486e-03	1.557666490109832580e+01	4.650889571944838963e+01	nan
nan	1.500550000000000000e+04	3.001100000000000101e+00	nan	8.420000000000000000e+02	5.991406613645722246e-02	1.846476818122256072e-02	7.257187190847556521e-03	1.408827340977797071e+01	4.227758609122746236e+01	nan
nan	1.500400000000000000e+04	3.000799999999999912e+00	nan	8.620000000000000000e+02	5.711439201655821307e-02	1.910829956325539938e-02	7.424624865523248018e-03	1.512416194648037404e+01	4.538209469376239014e+01	nan
nan	1.524950000000000000e+04	3.049900000000000055e+00	nan	8.820000000000000000e+02	5.776533542677952937e-02	1.855607326594021361e-02	7.274607544522301156e-03	1.527318954042078403e+01	4.658256753404905481e+01	nan
nan	1.529200000000000000e+04	3.058399999999999785e+00	nan	9.020000000000000000e+02	5.489066025336342136e-02	1.769422774710762564e-02	7.345084247358697749e-03	1.643268932988028297e+01	5.025755760533753858e+01	nan
nan	1.518850000000000000e+04	3.037700000000000067e+00	nan	9.220000000000000000e+02	6.027441164388847028e-02	1.863587153001337871e-02	7.308894008413290705e-03	1.533717970571598244e+01	4.663127159847788050e+01	nan
nan	1.545300000000000000e+04	3.090600000000000236e+00	nan	9.420000000000000000e+02	6.062005713869211831e-02	1.818401522016067223e-02	7.310183429098181945e-03	1.554693902789148652e+01	4.805935912011624822e+01	nan
nan	1.528250000000000000e+04	3.056499999999999773e+00	nan	9.620000000000000000e+02	6.381766046160919359e-02	1.807796916170907944e-02	7.321678029969839845e-03	1.507728401530703621e+01	4.608404219139148950e+01	nan
nan	1.541000000000000000e+04	3.081999999999999851e+00	nan	9.820000000000000000e+02	5.882839316939225682e-02	1.907530229327325522e-02	7.243268125582553660e-03	1.670916255048188503e+01	5.149858533507169511e+01	nan
nan	1.542050000000000000e+04	3.084100000000000286e+00	nan	1.002000000000000000e+03	6.416129082197130629e-02	1.938128070307723952e-02	7.315881092068743895e-03	1.571625088516441693e+01	4.847661246669331092e+01	nan
nan	1.555150000000000000e+04	3.110300000000000065e+00	nan	1.022000000000000000e+03	6.916205946981790476e-02	1.875332461385059019e-02	7.176498219620577705e-03	1.477959918225833746e+01	4.596916749761714271e+01	nan
nan	1.549400000000000000e+04	3.098799999999999777e+00	nan	1.042000000000000000e+03	6.344427800240737270e-02	1.859275390706099235e-02	7.295455093312327652e-03	1.642461221195584642e+01	5.089809903587054407e+01	nan
nan	1.553850000000000000e+04	3.107699999999999907e+00	nan	1.062000000000000000e+03	6.587945357853186579e-02	1.742024680860249433e-02	7.200172425031288286e-03	1.612252666245177579e+01	5.011002375803070663e+01	nan
nan	1.572450000000000000e+04	3.144899999999999807e+00	nan	1.082000000000000000e+03	6.281386393982302252e-02	1.856478227171617229e-02	7.261749604220638435e-03	1.725503421931490777e+01	5.425543371797336079e+01	nan
nan	1.555200000000000000e+04	3.110400000000000276e+00	nan	1.102000000000000000e+03	7.157760829682047188e-02	1.737581753219070990e-02	7.063028692028794353e-03	1.547424931832684081e+01	4.815687446520508530e+01	nan
nan	1.585900000000000000e+04	3.171800000000000175e+00	nan	1.122000000000000000e+03	6.258482371481477458e-02	1.906842120797886536e-02	7.285979881443374606e-03	1.795558456892828403e+01	5.693481471070968780e+01	nan
nan	1.592750000000000000e+04	3.185500000000000220e+00	nan	1.142000000000000000e+03	7.077845096148394077e-02	1.834068045101606981e-02	6.956738319713529593e-03	1.619764290084887648e+01	5.159063296912732000e+01	nan
nan	1.582950000000000000e+04	3.165900000000000158e+00	nan	1.162000000000000000e+03	7.821490210949377797e-02	1.898850676568785562e-02	7.512857573053652663e-03	1.485656070817083751e+01	4.703381335088596416e+01	nan
nan	1.590950000000000000e+04	3.181899999999999729e+00	nan	1.182000000000000000e+03	7.549875368124503439e-02	1.842406114257997760e-02	7.300660211669370014e-03	1.573367448938882696e+01	5.010048203303187364e+01	nan
nan	1.596200000000000000e+04	3.192399999999999682e+00	nan	1.202000000000000000e+03	6.889609944653329876e-02	1.707216827393923109e-02	7.135951756175864732e-03	1.746191036010592512e+01	5.575099396341194335e+01	nan
nan	1.616250000000000000e+04	3.232499999999999929e+00	nan	1.222000000000000000e+03	7.590792439646065759e-02	1.835596045077282634e-02	7.225895838481977834e-03	1.611038138449541890e+01	5.206536532393376149e+01	nan
nan	1.607250000000000000e+04	3.214500000000000135e+00	nan	1.242000000000000000e+03	7.497327310920809396e-02	1.911955769565992086e-02	7.230087173776541393e-03	1.656908717767329620e+01	5.326006750020623315e+01	nan
nan	1.595350000000000000e+04	3.190700000000000536e+00	nan	1.262000000000000000e+03	8.132871229577176564e-02	1.981450714134251612e-02	7.253001357144459212e-03	1.551862055881925073e+01	4.951530596685738317e+01	nan
nan	1.613150000000000000e+04	3.226300000000000168e+00	nan	1.282000000000000000e+03	7.460566557529091369e-02	1.897286232838871906e-02	7.336926976495827465e-03	1.733878850058293608e+01	5.594652906166308526e+01	nan
nan	1.624650000000000000e+04	3.249299999999999855e+00	nan	1.302000000000000000e+03	7.480585826533570071e-02	1.908564807998318694e-02	7.171467685027927558e-03	1.740653398849025635e+01	5.655855332112248135e+01	nan
nan	1.619350000000000000e+04	3.238700000000000578e+00	nan	1.322000000000000000e+03	8.213304671016885550e-02	1.783524566120909746e-02	7.600547947652807820e-03	1.613222469959328720e+01	5.222805163673238127e+01	nan
nan	1.645450000000000000e+04	3.290900000000000158e+00	nan	1.342000000000000000e+03	7.441454549984882760e-02	1.743294867532976800e-02	7.382372440746801795e-03	1.803412787645236293e+01	5.934837183720998155e+01	nan
nan	1.621400000000000000e+04	3.242799999999999905e+00	nan	1.362000000000000000e+03	8.153808737142753671e-02	1.883125840487891861e-02	7.009424940423463271e-03	1.677566635471032797e+01	5.442822985216745479e+01	nan
nan	1.640000000000000000e+04	3.279999999999999805e+00	nan	1.382000000000000000e+03	8.122828853481678379e-02	1.767153817348827635e-02	7.258882136704090243e-03	1.701523836729524675e+01	5.580197172424311702e+01	nan
nan	1.638850000000000000e+04	3.277700000000000280e+00	nan	1.402000000000000000e+03	7.880734123773436295e-02	1.848520038351265243e-02	7.275891149074360104e-03	1.780535142748515653e+01	5.835712278064933400e+01	nan
nan	1.644950000000000000e+04	3.289899999999999824e+00	nan	1.422000000000000000e+03	8.448574700128119730e-02	1.955339796662490179e-02	7.459515104890307273e-03	1.684004396866242104e+01	5.540263817426009041e+01	nan
nan	1.655700000000000000e+04	3.311399999999999899e+00	nan	1.442000000000000000e+03	8.121903807591479563e-02	1.881408622403366038e-02	7.160121083072571585e-03	1.776019580093857897e+01	5.882528596086882544e+01	nan
nan	1.648850000000000000e+04	3.297699999999999854e+00	nan	1.462000000000000000e+03	8.794383552663020964e-02	1.866988153120028790e-02	7.098251296741931241e-03	1.664206093682613385e+01	5.489103300081593773e+01	nan
nan	1.654800000000000000e+04	3.309599999999999653e+00	nan	1.482000000000000000e+03	8.524072932266335556e-02	1.886678801736383498e-02	7.414982635929037377e-03	1.738708781288641347e+01	5.754599438019704394e+01	nan
nan	1.649300000000000000e+04	3.298600000000000421e+00	nan	1.502000000000000000e+03	9.034889177451077558e-02	1.751485794154869838e-02	7.157458711037700295e-03	1.662685177476607734e+01	5.484133073494083987e+01	nan
nan	1.691950000000000000e+04	3.383900000000000130e+00	nan	1.522000000000000000e+03	9.251900249842037738e-02	1.819508287087914788e-02	7.428724336909926437e-03	1.646758349103942365e+01	5.570455105256522188e+01	nan
nan	1.668550000000000000e+04	3.337100000000000399e+00	nan	1.542000000000000000e+03	9.343438411247007025e-02	1.773925257579887782e-02	7.050985502528367074e-03	1.653910285956809645e+01	5.519394355574051048e+01	nan
nan	1.687300000000000000e+04	3.374600000000000044e+00	nan	1.562000000000000000e+03	8.583369552400199609e-02	1.910707232162721370e-02	7.168294604038402164e-03	1.819800180087599983e+01	6.141029583553570603e+01	nan
nan	1.679050000000000000e+04	3.358100000000000307e+00	nan	1.582000000000000000e+03	9.001033199353969394e-02	1.715501671161301714e-02	7.303751454998232487e-03	1.757747242898584261e+01	5.902734388845793490e+01	nan
nan	1.697050000000000000e+04	3.394099999999999895e+00	nan	1.602000000000000000e+03	9.478939618918502674e-02	1.796291208892156210e-02	7.346019398906194174e-03	1.692675550032139853e+01	5.744704394670633008e+01	nan
nan	1.702600000000000000e+04	3.405200000000000227e+00	nan	1.622000000000000000e+03	9.707700131082219741e-02	1.799442447808596857e-02	7.668098532062126056e-03	1.673218275533472621e+01	5.697403088137546945e+01	nan
nan	1.694750000000000000e+04	3.389499999999999957e+00	nan	1.642000000000000000e+03	8.829977911136666080e-02	1.820144716178591360e-02	7.328490236078196059e-03	1.859605350312626371e+01	6.302953765997013136e+01	nan
nan	1.705150000000000000e+04	3.410300000000000331e+00	nan	1.662000000000000000e+03	9.421005886656530492e-02	1.789908708234564175e-02	7.411089566156172335e-03	1.764511843106628675e+01	6.017466255943180897e+01	nan
nan	1.723200000000000000e+04	3.446400000000000130e+00	nan	1.682000000000000000e+03	8.998249907835997874e-02	1.861923571412068060e-02	7.310459145424191840e-03	1.875139715547252450e+01	6.463048890667943169e+01	nan
nan	1.724650000000000000e+04	3.449300000000000033e+00	nan	1.702000000000000000e+03	9.485000029201273719e-02	1.833525051480926205e-02	7.394234590904100353e-03	1.794475682485706614e+01	6.189506762839770460e+01	nan
nan	1.719950000000000000e+04	3.439899999999999736e+00	nan	1.722000000000000000e+03	9.480144729468520381e-02	1.896473288712663754e-02	7.273102670889691063e-03	1.818734640240936784e+01	6.255067032961873252e+01	nan
nan	1.731250000000000000e+04	3.462499999999999911e+00	nan	1.742000000000000000e+03	9.542645107399039262e-02	1.714304800837292142e-02	7.391359622311329328e-03	1.829440734711372940e+01	6.333868915794503351e+01	nan
nan	1.720150000000000000e+04	3.440299999999999692e+00	nan	1.762000000000000000e+03	1.040866600087611005e-01	1.758530375415212968e-02	7.180960927170262562e-03	1.701657199714655277e+01	5.851133308764171659e+01	nan
nan	1.737100000000000000e+04	3.474200000000000621e+00	nan	1.782000000000000000e+03	9.721315492402027303e-02	1.836433460734698472e-02	7.153426622218515482e-03	1.833195583510156013e+01	6.368967740436921332e+01	nan
nan	1.741250000000000000e+04	3.482499999999999929e+00	nan	1.802000000000000000e+03	1.023117602093179812e-01	1.719611401209762344e-02	7.365808901231857969e-03	1.762056607742193393e+01	6.135775230463496399e+01	nan
nan	1.733750000000000000e+04	3.467500000000000249e+00	nan	1.822000000000000000e+03	9.645537625874567311e-02	1.852140388354912154e-02	7.323979293301198859e-03	1.888978374735430066e+01	6.550109189229524986e+01	nan
nan	1.750000000000000000e+04	3.500000000000000000e+00	nan	1.842000000000000000e+03	9.898390971852677467e-02	1.767209819330411297e-02	7.315000753659909108e-03	1.863935935393135779e+01	6.524541991874900759e+01	nan
nan	1.742800000000000000e+04	3.485600000000000254e+00	nan	1.862000000000000000e+03	1.045112350003591928e-01	1.879324363156881575e-02	7.389399805151863204e-03	1.782309310185839379e+01	6.212431284287892908e+01	nan
nan	1.758900000000000000e+04	3.517800000000000260e+00	nan	1.882000000000000000e+03	9.556121493824321078e-02	1.748426261983537788e-02	7.413001894302726283e-03	1.972161243604831782e+01	6.936918610156217824e+01	nan
nan	1.763150000000000000e+04	3.526299999999999990e+00	nan	1.902000000000000000e+03	1.013512297947727347e-01	1.885328163312254696e-02	7.156752628379713446e-03	1.878007245586969631e+01	6.622938446565498793e+01	nan
nan	1.772550000000000000e+04	3.545099999999999696e+00	nan	1.940000000000000000e+03	1.059125463500549813e-01	1.682405132134839193e-02	7.404726071570222334e-03	1.840940165418449226e+01	6.532460016852377294e+01	nan
