x y z
-10.0 -15.0 0.0
-9.333333 -15.0 0.0
-8.666667 -15.0 0.0
-8.0 -15.0 0.0
-7.333333 -15.0 0.0
-6.666667 -15.0 0.0
-6.0 -15.0 0.0
-5.333333 -15.0 0.0
-4.666667 -15.0 0.0
-4.0 -15.0 0.0
-3.333333 -15.0 0.0
-2.666667 -15.0 0.0
-2.0 -15.0 0.0
-1.333333 -15.0 0.0
-0.6666667 -15.0 0.0
0.0 -15.0 0.0
0.6666667 -15.0 0.0
1.333333 -15.0 0.0
2.0 -15.0 0.0
2.666667 -15.0 0.0
3.333333 -15.0 0.0
4.0 -15.0 0.0
4.666667 -15.0 0.0
5.333333 -15.0 0.0
6.0 -15.0 0.0
6.666667 -15.0 0.0
7.333333 -15.0 0.0
8.0 -15.0 0.0
8.666667 -15.0 0.0
9.333333 -15.0 0.0
10.0 -15.0 0.0
-10.0 -14.4 0.0
-9.333333 -14.4 0.0
-8.666667 -14.4 0.0
-8.0 -14.4 0.0
-7.333333 -14.4 0.0
-6.666667 -14.4 0.0
-6.0 -14.4 0.0
-5.333333 -14.4 0.0
-4.666667 -14.4 0.0
-4.0 -14.4 0.0
-3.333333 -14.4 0.0
-2.666667 -14.4 0.0
-2.0 -14.4 0.0
-1.333333 -14.4 0.0
-0.6666667 -14.4 0.0
0.0 -14.4 0.0
0.6666667 -14.4 0.0
1.333333 -14.4 0.0
2.0 -14.4 0.0
2.666667 -14.4 0.0
3.333333 -14.4 0.0
4.0 -14.4 0.0
4.666667 -14.4 0.0
5.333333 -14.4 0.0
6.0 -14.4 0.0
6.666667 -14.4 0.0
7.333333 -14.4 0.0
8.0 -14.4 0.0
8.666667 -14.4 0.0
9.333333 -14.4 0.0
10.0 -14.4 0.0
-10.0 -13.8 0.0
-9.333333 -13.8 0.0
-8.666667 -13.8 0.0
-8.0 -13.8 0.0
-7.333333 -13.8 0.0
-6.666667 -13.8 0.0
-6.0 -13.8 0.0
-5.333333 -13.8 0.0
-4.666667 -13.8 0.0
-4.0 -13.8 0.0
-3.333333 -13.8 0.0
-2.666667 -13.8 0.0
-2.0 -13.8 0.0
-1.333333 -13.8 0.0
-0.6666667 -13.8 0.0
0.0 -13.8 0.0
0.6666667 -13.8 0.0
1.333333 -13.8 0.0
2.0 -13.8 0.0
2.666667 -13.8 0.0
3.333333 -13.8 0.0
4.0 -13.8 0.0
4.666667 -13.8 0.0
5.333333 -13.8 0.0
6.0 -13.8 0.0
6.666667 -13.8 0.0
7.333333 -13.8 0.0
8.0 -13.8 0.0
8.666667 -13.8 0.0
9.333333 -13.8 0.0
10.0 -13.8 0.0
-10.0 -13.2 0.0
-9.333333 -13.2 0.0
-8.666667 -13.2 0.0
-8.0 -13.2 0.0
-7.333333 -13.2 0.0
-6.666667 -13.2 0.0
-6.0 -13.2 0.0
-5.333333 -13.2 0.0
-4.666667 -13.2 0.0
-4.0 -13.2 0.0
-3.333333 -13.2 0.0
-2.666667 -13.2 0.0
-2.0 -13.2 0.0
-1.333333 -13.2 0.0
-0.6666667 -13.2 0.0
0.0 -13.2 0.0
0.6666667 -13.2 0.0
1.333333 -13.2 0.0
2.0 -13.2 0.0
2.666667 -13.2 0.0
3.333333 -13.2 0.0
4.0 -13.2 0.0
4.666667 -13.2 0.0
5.333333 -13.2 0.0
6.0 -13.2 0.0
6.666667 -13.2 0.0
7.333333 -13.2 0.0
8.0 -13.2 0.0
8.666667 -13.2 0.0
9.333333 -13.2 0.0
10.0 -13.2 0.0
