,Simulation Number,CPMU20.photonEnergy,CPMU20.energySpread,CPMU20.numberRays,M3.radius,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,500,0.1,50000.0,225,1.6,,0.5,5279.0,10.558,500.0,0.0723092685166193,2.2618860054445618,0.0297842578196858,-0.0005685049034731,0.0001610014373903,146469056549865.22,6.914742885071249,73.00585538058223,1012795866661278.8,0.0031782487513584,0.001777226510778
1,1,500,0.1,50000.0,225,2.25,,0.5,4494.0,8.988,500.0,0.0795863975451993,2.485048371276663,0.0297978003626937,-0.01621261084874,-0.0001643115370553,124688755471698.12,6.282480617570809,56.46693579072643,783354689479969.5,0.0027056355159319,0.0015129486530472
2,2,500,0.1,50000.0,225,5.0,,0.5,4139.0,8.278,500.0,0.1323434651882848,2.5166461128407365,0.0269387167392672,0.0180818223401732,9.218194086691448e-05,114839065175202.16,3.7780482722637694,31.274683597799484,433867531773558.9,0.0024919059636053,0.0013934344626085
3,3,500,0.1,50000.0,225,10.0,,0.5,3381.0,6.762,500.0,0.2652694677045701,2.3369383576326195,0.0218331878598611,0.0995147291751076,-3.208532065866592e-05,93807895471698.12,1.884875799414837,12.745530155643127,176816231968640.44,0.0020355482152572,0.0011382464165449
4,4,500,0.1,50000.0,232,1.6,,0.5,5178.0,10.356,500.0,0.0558268774022963,2.5015186078860663,0.0296952646755793,0.0086813852054633,-4.9091854158208384e-05,143666750296495.97,8.956259480481595,92.7510231798674,1286716694372974.0,0.0031174411885838,0.0017432238819489
5,5,500,0.1,50000.0,232,2.25,,0.5,4529.0,9.058,500.0,0.0449224924170721,2.4669133118206634,0.0299431417887034,-0.0282789003414966,-3.6869091740782335e-06,125659851698113.2,11.130281805334166,100.81809259271688,1398629561016499.0,0.0027267074436261,0.0015247317422454
6,6,500,0.1,50000.0,232,5.0,,0.5,4235.0,8.469999999999999,500.0,0.0317271903350615,2.643927629169013,0.0298868153655242,-0.000233364897448,0.000128859800456,117502643396226.4,15.759353246210797,133.48172199540542,1851765664644669.2,0.0025497032509951,0.0014257537929806
7,7,500,0.1,50000.0,232,10.0,,0.5,3777.0,7.553999999999999,500.0,0.038042592262343,2.7026264657475707,0.0297869293623394,0.0085262172352864,-0.0002068605390133,104795155633423.16,13.14316323535426,99.28345507986609,1377339836764435.2,0.0022739620257399,0.0012715636543301
8,8,500,0.1,50000.0,240,1.6,,0.5,5201.0,10.402,500.0,0.079617776577038,2.5280504117663467,0.0286279669577986,-0.0115027771211875,-1.3472368013831295e-06,144304899245283.03,6.280004560491596,65.32460743823358,906235425361657.8,0.0031312884553543,0.0017509670548506
9,9,500,0.1,50000.0,240,2.25,,0.5,4516.0,9.032,500.0,0.0745279522088253,2.553314778357564,0.0296512281677022,-0.0155182270299391,6.019524769416089e-05,125299158814016.16,6.708892236821605,60.594714682972736,840618553847630.5,0.0027188807276254,0.0015203551662575
