,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,2.25,1,500000.0,,1145.0,0.2289999999999999,500.0,0.0371138060616544,0.0097120851839039,0.0094806421567945,-0.0001684709888399,-1.0176578134256331e-05,3176871940700.8086,13.472075571268173,3.085105305820411,42799058865362.67,6.893530631379913e-05,3.854753466264158e-05
1,1,0.03,501.0,2.25,1,500000.0,,1081.0,0.2161999999999999,501.0,0.0374469952662934,0.0095196506789228,0.0090424171111388,-3.885815899889674e-05,7.529887467560224e-06,2997573506488.321,13.378910549091682,2.8925204607136217,40104267807634.34,6.516274789519636e-05,3.64552203019564e-05
2,2,0.03,502.0,2.25,1,500000.0,,1187.0,0.2373999999999999,502.0,0.0469699783967598,0.0092858508206167,0.0094266541203264,-0.0002107153972664,-0.0001337076134303,3289611846276.7017,10.687677898413286,2.537254733083314,35158311823810.03,7.166983483844163e-05,4.009865489435258e-05
3,3,0.03,503.0,2.25,1,500000.0,,1114.0,0.2228,503.0,0.0396893139291023,0.0089392844475097,0.0093286139847572,-0.0005089934852636,1.4501434650922202e-05,3085522905969.2554,12.673436504811264,2.8236416532719497,39104178632942.09,6.735731848815967e-05,3.769740632003541e-05
4,4,0.03,504.0,2.25,1,500000.0,,1098.0,0.2196,504.0,0.0498395999712784,0.0103176930856069,0.0088412336961047,-0.0003589814018481,-0.0001523620412597,3039452955080.8545,10.112440715624633,2.2206919811511696,30736287816185.24,6.648842663108963e-05,3.722013691492461e-05
5,5,0.03,505.0,2.25,1,500000.0,,1094.0,0.2188,505.0,0.0420136384411762,0.0084833432583302,0.0086864731490935,-0.0002786015924928,0.0001184156559307,3026633011778.7983,12.019906362241306,2.6299555120583973,36379845394449.54,6.63515980210485e-05,3.714877158257734e-05
6,6,0.03,506.0,2.25,1,500000.0,,1120.0,0.2239999999999999,506.0,0.0400555323537901,0.0084217318345263,0.0099496453458171,-0.0003618291490918,8.33407304718204e-05,3096775180674.7856,12.632462240939898,2.8296715419705367,39119895538554.055,6.80111766120881e-05,3.809770723821377e-05
7,7,0.03,507.0,2.25,1,500000.0,,1077.0,0.2154,507.0,0.0366625979210084,0.0078465084621843,0.0095139673539449,-0.0002818177694517,-0.000100468227956,2976161029746.4565,13.828807251803564,2.978725082038488,41156757230692.96,6.54914308351894e-05,3.669884419380056e-05
8,8,0.03,508.0,2.25,1,500000.0,,1106.0,0.2212,508.0,0.0444061834216427,0.0076889247806699,0.0087192959175491,-0.0003350692435128,0.000107039681547,3054532650029.946,11.4398482566374,2.530494434368193,34943390011287.094,6.735357306401739e-05,3.775286112867484e-05
9,9,0.03,509.0,2.25,1,500000.0,,1194.0,0.2387999999999999,509.0,0.0403623803429127,0.0071985883454732,0.0096661759048912,-0.0003252882524222,0.0001265908266854,3295662638450.7886,12.610752777106116,3.0114477631729404,41560786770248.16,7.282975654432296e-05,4.082811559269375e-05
10,10,0.03,510.0,2.25,1,500000.0,,1152.0,0.2304,510.0,0.048383202281343,0.008952543443041,0.0089310479314822,-0.0002908698268356,-3.2985659722734306e-06,3177894918746.257,10.540848392679868,2.428611469673441,33497708546372.0,7.036521774713378e-05,3.9461171043958274e-05
