,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.roughnessCoating1,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessCoating1,KB_ver.roughnessCoating1,KB_hor.roughnessCoating1,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
0,0,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,20915.1,5.228775000000001,500.0,0.0392998437883022,0.009421349765453,0.0096304735837353,-0.0006387639765384,-1.0158117786710109e-05,72537766732479.78,12.744316784686143,66.63386907916757,924398554488815.0,0.0015740052675586,0.0008801588888892
1,1,0.03,500.0,5,1,400000.0,0.3,0.3,0.3,0.3,0.3,0.3,,0.5,20881.2,5.2203,500.0,0.0392364464407591,0.0089973998774209,0.0097757660185231,-0.0006327535883515,-5.477541478737379e-06,72420194725067.39,12.762449224194954,66.61577530045444,924147543056959.2,0.0015714540591699,0.000878732293447
2,2,0.03,500.0,5,1,400000.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.5,20867.1,5.216774999999999,500.0,0.0384959109859664,0.0095466562819059,0.0097283216963891,-0.0006100781347537,6.44680155216449e-06,72371293093665.77,13.013503141683742,67.88930534374343,941814974760733.6,0.0015703929370967,0.000878138930741
3,3,0.03,500.0,5,1,400000.0,0.2,0.0,0.0,0.0,0.0,0.0,,0.5,20863.7,5.215925,500.0,0.0384592157565918,0.0091019921956188,0.0096177251366441,-0.0006213540050767,-2.0007791846141627e-06,72359501210916.44,13.033672159262414,67.98580260461087,943153662273415.6,0.001570137063689,0.0008779958503721
4,4,0.03,500.0,5,1,400000.0,0.3,0.0,0.0,0.0,0.0,0.0,,0.5,20855.0,5.213749999999999,500.0,0.0387623774639677,0.009369742585473,0.0097556954716773,-0.0006107655065958,1.8635763713008811e-06,72329327863881.4,12.920955427090195,67.36571152149935,934551260689940.8,0.0015694823287928,0.0008776297329578
5,5,0.03,500.0,5,1,400000.0,0.4,0.0,0.0,0.0,0.0,0.0,,0.5,20854.1,5.213525000000001,500.0,0.040746318473441,0.0091902828851946,0.009706181085104,-0.0006246843091965,6.390970548910076e-06,72326206483153.64,12.294733788963049,64.11055069195926,889393055005075.2,0.0015694145975966,0.0008775918587425
6,6,0.03,500.0,5,1,400000.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.5,20898.1,5.224525,500.0,0.0405314655986159,0.0089380131086415,0.0097166663386663,-0.0006273039689961,1.458770206065681e-06,72478807318733.16,12.347026124007842,64.5096920330324,894930264292537.8,0.00157272590052,0.000879443487045
7,7,0.03,500.0,5,1,400000.0,0.0,0.1,0.0,0.0,0.0,0.0,,0.5,20823.4,5.20585,500.0,0.0385788527172507,0.009581291437468,0.0096488727378525,-0.0006090084011987,9.530457546892622e-06,72219732718328.84,12.988679426797352,67.62693813660336,938175206120893.6,0.0015671042112387,0.0008762999271768
8,8,0.03,500.0,5,1,400000.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.5,20837.4,5.2093500000000015,500.0,0.0396763592793319,0.0093342731024157,0.0097201196963935,-0.0006378757750963,2.336094687277945e-06,72268287529649.6,12.667093217719785,65.97991378239175,915326361332484.2,0.0015681578076234,0.0008768890816367
9,9,0.03,500.0,5,1,400000.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.5,20901.3,5.225325000000001,500.0,0.0388092448580379,0.0090095128415151,0.0095944252803324,-0.0006155843315055,-8.465614629605716e-07,72489905561320.75,12.902863470254353,67.42008426427606,935305563051802.2,0.0015729667225508,0.0008795781509216
10,10,0.03,500.0,5,1,400000.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.5,20905.8,5.226450000000002,500.0,0.0398396617729246,0.009137662741652,0.0097448248733589,-0.0006258310182724,-7.91747991227859e-07,72505512464959.6,12.562653047608592,65.65048397870267,910756246486325.2,0.0015733053785316,0.000879767521998
11,11,0.03,500.0,5,1,400000.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,20909.4,5.22735,500.0,0.0391887302447059,0.0092736423783526,0.0096446185025325,-0.0006271242954314,-5.172998974446294e-07,72517997987870.61,12.803706913287234,66.93358754488526,928556489789463.4,0.0015735763033162,0.0008799190188591
12,12,0.03,500.0,5,1,400000.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.5,20801.2,5.2003,500.0,0.039735248673827,0.0094002200232368,0.0097158956457729,-0.0006203449416365,2.397046908954101e-06,72142738660377.34,12.613162603476663,65.59819616015776,910030867868090.4,0.0015654335084001,0.0008753656965332
13,13,0.03,500.0,5,1,400000.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.5,20889.8,5.22245,500.0,0.0398708120421872,0.0091783266689846,0.0096706842992194,-0.0006338429671489,-3.700555796484695e-06,72450021252021.56,12.581816935483898,65.7106746802323,911591260245192.4,0.0015721012683776,0.0008790942026152
14,14,0.03,500.0,5,1,400000.0,0.0,0.0,0.3,0.0,0.0,0.0,,0.5,20872.2,5.21805,500.0,0.0384181430163436,0.0088968921924223,0.0097045163447896,-0.000612436126942,4.604498860848681e-06,72388980917789.75,13.0664136755185,68.18948681385942,945979333230295.8,0.0015707767472083,0.0008783535512942
15,15,0.03,500.0,5,1,400000.0,0.0,0.0,0.4,0.0,0.0,0.0,,0.5,20801.4,5.200349999999999,500.0,0.0395970689163675,0.0093840991806689,0.009651111124022,-0.0006355256919134,-6.76310579987665e-06,72143432300539.1,12.659446648702897,65.82577182605313,913187980302017.6,0.001565448559777,0.0008753741130255
16,16,0.03,500.0,5,1,400000.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.5,20819.0,5.20475,500.0,0.0390552332555159,0.009352442851843,0.0094991000456062,-0.0006114576659479,9.423516635856174e-06,72204472634770.89,12.839323641993342,66.81515158961652,926913451086130.0,0.0015667730809464,0.0008761147643465
17,17,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.1,0.0,0.0,,0.5,20917.1,5.229275,500.0,0.0392380640153248,0.0093954511638115,0.0097432914986804,-0.0006229470453224,-2.974980685195751e-07,72544703134097.05,12.805217247375143,66.94535485067686,928719735307310.2,0.0015741557813278,0.0008802430538121
18,18,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.2,0.0,0.0,,0.5,20830.3,5.207575,500.0,0.0397274582143665,0.0091676638458011,0.0096765388568105,-0.0006172682437355,3.267312118696423e-06,72243663303908.36,12.642647014158488,65.85800019108451,913635078068667.8,0.0015676234837426,0.0008765902961606
19,19,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.3,0.0,0.0,,0.5,20825.8,5.206450000000001,500.0,0.0383994579763111,0.0089661830963229,0.0096768707229034,-0.0006103061409094,-8.535266861094192e-06,72228056400269.53,13.047341211840513,67.93654557421533,942470329182822.8,0.0015672848277618,0.0008764009250842
20,20,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.4,0.0,0.0,,0.5,20872.9,5.218225,500.0,0.0382046787479168,0.0092303638493956,0.0096316339100223,-0.000627563356117,5.644564667401779e-06,72391408658355.78,13.138543976422728,68.56503536173676,951189244340001.0,0.0015708294270275,0.0008783830090172
21,21,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.5,20866.4,5.2166,500.0,0.0395415977245306,0.0093426740361609,0.0097288734749316,-0.0006360000358018,-2.9876411555851984e-06,72368865353099.72,12.692195948718744,66.20352457068158,918428469799540.8,0.0015703402572775,0.000878109473018
22,22,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.5,20851.2,5.2128,500.0,0.0391503582823701,0.0095586367880465,0.0096865129323143,-0.0006224345735108,-7.922077338481027e-08,72316148700808.61,12.787463617826957,66.66098092637304,924774671810420.6,0.0015691963526312,0.0008774698196044
23,23,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.5,20897.9,5.224475,500.0,0.0391505104934708,0.0091986312156079,0.009732346030459,-0.0006037599556226,2.679351029304635e-06,72478113678571.42,12.83102503244425,67.04815187075491,930145818139946.2,0.0015727108491431,0.0008794350705527
24,24,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.3,0.0,,0.5,20916.1,5.229025000000001,500.0,0.0390515406003884,0.0091675350089499,0.0096884247529719,-0.000614874730757,3.634683043811384e-06,72541234933288.4,12.825569940590906,67.07067154571958,930458229159636.0,0.0015740805244432,0.0008802009713506
25,25,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.5,20868.6,5.217150000000001,500.0,0.0384529736463491,0.0092129808962329,0.0097076551780828,-0.0006279297426426,-1.4093169082839108e-05,72376495394878.72,13.034553958754191,68.00195449149541,943377734222030.8,0.0015705058224237,0.0008782020544331
26,26,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.5,20849.5,5.212375,500.0,0.038806608840673,0.0092882837490719,0.0096529577486622,-0.000617770764798,-4.1732089459307205e-06,72310252759433.97,12.92829592743396,67.37816165934419,934723979002504.6,0.0015690684159274,0.0008773982794199
27,27,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.1,,0.5,20916.2,5.22905,500.0,0.0393667682795523,0.0093482767500131,0.0096834108724277,-0.0006232498006724,3.5393868373725987e-06,72541581753369.27,12.741016462738894,66.63470632392122,924410169420541.8,0.0015740880501317,0.0008802051795968
28,28,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.5,20873.8,5.218449999999999,500.0,0.0384002711482309,0.0092346535434337,0.0096717817091821,-0.0006037876825529,-6.326470467788676e-06,72394530039083.55,13.0760077370295,68.24620715161274,946766203315342.2,0.0015708971582237,0.0008784208832325
29,29,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.3,,0.5,20821.5,5.205374999999999,500.0,0.0399506642683206,0.0090800008746383,0.0096396156885964,-0.0006269670777983,4.487656577041352e-09,72213143136792.45,12.54193511384068,65.29195301807235,905782417016024.0,0.0015669612231579,0.0008762199705001
30,30,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.4,,0.5,20887.8,5.22195,500.0,0.039284746690265,0.0091783049160275,0.0096834947065716,-0.0006074881609971,4.3362391918453e-06,72443084850404.3,12.786468538170272,66.76099237895735,926162111013319.6,0.0015719507546084,0.0008790100376924
31,31,0.03,500.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,20831.8,5.207950000000001,500.0,0.0388386908183292,0.0090374862288664,0.0096775688721531,-0.0006021871122201,8.666653098167111e-06,72248865605121.28,12.901516110751484,67.1914664396224,932133992954482.4,0.0015677363690696,0.0008766534198527
32,32,0.03,750.0,5,1,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.75,28813.9,7.203475,750.0,0.0718610237064694,0.0091193733271654,0.0096957473907763,-0.0005703559138692,3.4391659789245404e-06,81473207740991.2,10.463854872007134,75.37212704994151,852478694660600.2,0.0026617326324887,0.0015048254796428
33,33,0.03,750.0,5,1,400000.0,0.3,0.3,0.3,0.3,0.3,0.3,,0.75,28839.1,7.209775,750.0,0.0717160588532578,0.0094497559405327,0.0097082674330715,-0.0005660991300693,1.4089083505619578e-05,81544462407491.53,10.472486023397046,75.49933237313549,853917420514767.1,0.0026640605250107,0.0015061415667427
34,34,0.03,750.0,5,1,400000.0,0.1,0.0,0.0,0.0,0.0,0.0,,0.75,28750.1,7.187524999999999,750.0,0.0709867537708077,0.0088650213259774,0.0096384458503798,-0.0005714147750898,-2.601238718713071e-06,81292809021835.7,10.582512940531178,76.07448831110547,860422586315674.6,0.0026558389998339,0.0015014934813503
